system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000009e3a_0,Artificial land,1,37382208,2598,-9813,1837,-3777,1550,6399,-12441,2771,-1944,3160,LUCAS_point,0.9874056725794531,
00000000000000009f2b_0,Artificial land,1,38122294,2919,-12758,1650,-4371,1906,5699,-12468,1806,-2188,2016,LUCAS_point,0.9632610907001151,
00000000000000009f47_0,Artificial land,1,38102276,1771,-13666,1881,-7717,1695,1798,-13304,2054,-7397,2077,LUCAS_point,0.9610603977901644,
00000000000000009f6d_0,Artificial land,1,38362302,1054,-5422,2086,-5142,1050,871,-9373,2078,-10767,1799,LUCAS_point,0.9586257720468246,
00000000000000009f8e_0,Artificial land,1,37482266,2058,-13455,1690,-6537,1575,1669,-11944,1969,-7157,1805,LUCAS_point,0.9566948945442919,
0000000000000000a0a6_0,Artificial land,1,37502260,1874,-11127,1601,-5937,2390,-3518,-10236,2436,2910,3569,LUCAS_point,0.9370824367381039,
0000000000000000a1b6_0,Artificial land,1,38502292,1818,-13214,1833,-7269,1693,2298,-15373,12624,-6690,15721,LUCAS_point,0.9202207331619097,
0000000000000000a2a8_0,Artificial land,1,37482240,3228,-9617,1970,-2979,1707,3779,-14214,2076,-3761,2283,LUCAS_point,0.9043966042624605,
0000000000000000a41a_0,Artificial land,1,37782282,1848,-12680,1934,-6861,2183,12977,-10803,2238,-833,3440,LUCAS_point,0.8808025589161492,
0000000000000000a43c_0,Artificial land,1,38542316,2819,-17317,2078,-6143,3053,2918,-11137,13954,-3816,16854,LUCAS_point,0.8782142245863359,
0000000000000000a479_0,Artificial land,1,38262296,9559,-13250,2205,-1386,2331,2451,-12851,2000,-5243,2906,LUCAS_point,0.8732695631984873,
0000000000000000a4ad_0,Artificial land,1,37322260,1592,-10752,2651,-6753,2690,3827,-14971,2210,-3912,2665,LUCAS_point,0.8692682262389803,
0000000000000000a51e_0,Artificial land,1,37302222,1707,-11375,1947,-6666,2060,1932,-13076,1932,-6769,1965,LUCAS_point,0.8610326498523093,
0000000000000000a550_0,Artificial land,1,38622312,16925,-12647,2254,-747,2675,-5503,-10889,2343,1979,1678,LUCAS_point,0.8578033547581391,
0000000000000000a5d1_0,Artificial land,1,37742280,2003,-14274,2389,-7128,2358,1668,-14312,3328,-8581,2440,LUCAS_point,0.849965467854399,
0000000000000000a63c_0,Artificial land,1,38622372,2090,-10376,2020,-4964,2701,2194,-12690,1913,-5783,1598,LUCAS_point,0.8437989795397117,
0000000000000000a64a_0,Artificial land,1,37322202,4357,-13474,2376,-3093,1929,3657,-11031,2055,-3017,3536,LUCAS_point,0.8430418337420746,
0000000000000000a66a_0,Artificial land,1,37102372,-4376,-6556,2903,1498,3776,1686,-13111,2549,-7776,1907,LUCAS_point,0.8399155347989896,
000000000000000061aa_0,Woodland,3,36922212,1597,-13670,2124,-8559,1765,1577,-15329,1786,-9720,1959,LUCAS_point,1,
