system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000009e2e_0,Artificial land,1,36982110,14709,-6205,1405,-422,1606,3149,-10746,2174,-3412,2187,LUCAS_point,0.9921911663216011,
00000000000000009e7c_0,Artificial land,1,37342172,-21700,-13476,1981,621,1673,-12085,-5465,2516,452,3525,LUCAS_point,0.9784398496240602,
00000000000000009e9d_0,Artificial land,1,37242126,-10779,-12969,2001,1203,2334,2864,-13390,2193,-4675,2349,LUCAS_point,0.9751019214703425,
00000000000000009ec8_0,Artificial land,1,36842078,-9936,-8498,1960,855,2394,1781,-11759,2241,-6604,2435,LUCAS_point,0.9709185488683456,
00000000000000009edb_0,Artificial land,1,36882080,39722,-7714,2576,-194,2247,-4734,-6387,2008,1349,3806,LUCAS_point,0.969498343858809,
00000000000000009ef7_0,Artificial land,1,36722072,4380,-7700,2247,-1758,1709,1109,-6828,3698,-6154,1597,LUCAS_point,0.9669693415179951,
00000000000000009f0d_0,Artificial land,1,37242124,2080,-11921,1943,-5732,1999,-8079,-9971,2906,1234,5004,LUCAS_point,0.9648354960773385,
0000000000000000a16f_0,Artificial land,1,36982088,2259,-10857,2293,-4807,1468,1564,-8721,2753,-5575,2645,LUCAS_point,0.9247225866382475,
0000000000000000a1b1_0,Artificial land,1,36822076,2852,-13045,2143,-4574,1469,1860,-12652,2084,-6803,1770,LUCAS_point,0.9204667555175151,
0000000000000000a279_0,Artificial land,1,36802086,1336,-6062,1181,-4536,3070,8690,-12127,1885,-1395,2135,LUCAS_point,0.9083142464995806,
0000000000000000a303_0,Artificial land,1,36942082,2195,-13682,2190,-6233,2128,2075,-10623,1564,-5120,2503,LUCAS_point,0.8985037939191467,
0000000000000000a486_0,Artificial land,1,37562170,5952,-12781,2412,-2147,1794,-13054,-7538,1913,577,1969,LUCAS_point,0.8722436602135311,
0000000000000000a502_0,Artificial land,1,37522138,-57324,-16054,2559,280,4414,1520,-11759,1652,-7734,1612,LUCAS_point,0.8632174416384942,
0000000000000000a628_0,Artificial land,1,37382106,1627,-11966,2175,-7357,1936,3236,-17255,2183,-5332,1001,LUCAS_point,0.8451703736577851,
000000000000000080f9_0,Bare land,6,36922180,1722,-22637,5009,-13143,3331,1536,-21185,3524,-13794,2658,LUCAS_point,0.10829288707649405,
000000000000000082bc_0,Bare land,6,37002140,1634,-18298,1471,-11197,2118,1759,-18297,2276,-10400,2376,LUCAS_point,0.014735243805011247,
000000000000000093eb_0,Water,7,37082202,1767,-21765,3444,-12320,3226,1474,-24604,5002,-16691,3661,LUCAS_point,0.6774071768891109,
000000000000000000b8_0,Cropland,2,37442126,1488,-18980,2448,-12758,2038,1686,-15301,2151,-9075,2035,LUCAS_polygon,NA,
000000000000000019ec_0,Cropland,2,37442134,1808,-19062,3302,-10544,3000,1618,-18966,2879,-11720,2367,LUCAS_polygon,NA,
00000000000000002336_0,Cropland,2,37522160,1645,-15723,1880,-9556,2008,1565,-16350,2522,-10449,2487,LUCAS_polygon,NA,
000000000000000025c9_0,Cropland,2,36822126,1626,-20203,3820,-12423,2842,1805,-18155,4128,-10057,3150,LUCAS_polygon,NA,
0000000000000000289c_0,Cropland,2,37302152,1643,-19575,3331,-11913,2764,1644,-18682,3653,-11365,2786,LUCAS_polygon,NA,
00000000000000002bad_0,Cropland,2,37242096,1868,-15839,2489,-8478,2092,1812,-16457,2287,-9084,2123,LUCAS_polygon,NA,
00000000000000002bd5_0,Cropland,2,37122088,1466,-21047,3770,-14360,2356,1638,-19842,5238,-12114,3209,LUCAS_polygon,NA,
00000000000000002cde_0,Cropland,2,37502126,7571,-14832,2296,-1959,4824,1706,-15804,2189,-9264,2033,LUCAS_polygon,NA,
00000000000000003711_0,Cropland,2,37542130,1894,-16423,4208,-8669,2938,1781,-15851,3971,-8903,2329,LUCAS_polygon,NA,
00000000000000003af5_0,Cropland,2,37402126,1648,-14389,2064,-8730,1949,1728,-16694,2470,-9659,2304,LUCAS_polygon,NA,
00000000000000003b4e_0,Cropland,2,37482138,1563,-18781,2770,-12016,2310,1484,-17392,2464,-11716,2651,LUCAS_polygon,NA,
00000000000000003fe4_0,Cropland,2,37202124,2004,-14689,4162,-7331,2628,1774,-17151,3648,-9670,2287,LUCAS_polygon,NA,
0000000000000000cd6a_0,Cropland,2,37262164,1753,-18062,3277,-10306,1926,1572,-19097,3144,-12149,2336,LUCAS_polygon,NA,
0000000000000000cdd3_0,Cropland,2,37302156,1786,-18193,2565,-10184,2489,1684,-16967,2900,-10073,2829,LUCAS_polygon,NA,
0000000000000000d2d7_0,Cropland,2,37182134,1922,-15050,3239,-7830,2391,1642,-15822,2983,-9634,2127,LUCAS_polygon,NA,
0000000000000000dbe8_0,Cropland,2,37202116,1660,-20172,3270,-12152,2387,1618,-19810,3988,-12246,3139,LUCAS_polygon,NA,
0000000000000000dd36_0,Cropland,2,36822094,1907,-17879,2764,-9375,2427,1858,-16914,3210,-9102,3213,LUCAS_polygon,NA,
0000000000000000e75b_0,Cropland,2,36902098,1488,-16998,2734,-11423,3059,1606,-16171,3039,-10069,2988,LUCAS_polygon,NA,
0000000000000000eb07_0,Cropland,2,37242118,1793,-17159,4308,-9571,4712,1678,-17142,4034,-10213,3506,LUCAS_polygon,NA,
0000000000000000eb9a_0,Cropland,2,36742088,1621,-17891,2578,-11036,3163,1823,-18885,2998,-10360,3135,LUCAS_polygon,NA,
0000000000000000f996_0,Cropland,2,37422150,1911,-18821,4162,-9851,3030,1921,-18927,3613,-9853,3208,LUCAS_polygon,NA,
0000000000000000feb4_0,Cropland,2,37382134,1653,-18331,2635,-11091,2744,1765,-17108,2683,-9693,2940,LUCAS_polygon,NA,
00000000000000010cba_0,Cropland,2,36842134,1698,-16592,3169,-9774,2827,1836,-16683,3887,-9086,3198,LUCAS_polygon,NA,
00000000000000010d23_0,Cropland,2,37422160,1705,-18289,2920,-10725,2731,1497,-18595,2931,-12422,2598,LUCAS_polygon,NA,
000000000000000112ba_0,Cropland,2,37322132,1914,-15476,2050,-8088,2365,1728,-14975,2043,-8667,2104,LUCAS_polygon,NA,
