system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000009eed_0,Artificial land,1,39363212,-202,-1845,6475,9115,4235,-377,-3412,6279,9061,5112,LUCAS_point,0.9678040128040128,
00000000000000009efe_0,Artificial land,1,39163222,-1700,-4197,1509,2469,1472,-12516,-8157,4018,652,4876,LUCAS_point,0.9665092588776799,
00000000000000009fb5_0,Artificial land,1,39403214,3265,-11300,2571,-3461,2273,1706,-12088,3578,-7087,4154,LUCAS_point,0.9533858885345479,
00000000000000009fd9_0,Artificial land,1,39183216,2343,-13509,2579,-5766,2933,-1555,-5194,4589,3340,2966,LUCAS_point,0.9505407765236407,
0000000000000000a000_0,Artificial land,1,39263228,2707,-8119,1556,-2999,1827,-60371,-9388,3747,156,3058,LUCAS_point,0.948215425518057,
0000000000000000a08e_0,Artificial land,1,39243226,1410,-6978,1902,-4950,2172,115,409,2720,3564,2175,LUCAS_point,0.9387877830765883,
0000000000000000a0cf_0,Artificial land,1,39123224,6,35,2637,5791,2669,-162,-1415,18090,8759,21888,LUCAS_point,0.9341428251861887,
0000000000000000a0d1_0,Artificial land,1,39323212,2163,-10153,1895,-4693,2014,-3059,-11411,3768,3730,3714,LUCAS_point,0.9338792048500719,
0000000000000000a10e_0,Artificial land,1,39123222,-1532,-9866,4310,6440,6231,-4104,-8976,15646,2187,10444,LUCAS_point,0.9305464308514911,
0000000000000000a12c_0,Artificial land,1,39263212,-16019,-10537,2097,658,1650,2328,-10881,3887,-4674,4489,LUCAS_point,0.9287711700947497,
0000000000000000a153_0,Artificial land,1,39323226,1800,-12944,2744,-7190,2958,3291,-7607,4423,-2312,2542,LUCAS_point,0.9262020937020937,
0000000000000000a172_0,Artificial land,1,39323214,-6186,-7487,4016,1210,3158,-3130,-12348,3831,3945,3278,LUCAS_point,0.9246247992989668,
0000000000000000a18f_0,Artificial land,1,39283228,4113,-12444,2152,-3026,2019,1772,-12132,3752,-6846,4855,LUCAS_point,0.9231934124912132,
0000000000000000a200_0,Artificial land,1,39103220,2237,-18312,3594,-8184,1821,1505,-13611,13461,-9046,14955,LUCAS_point,0.915969371988314,
0000000000000000a291_0,Artificial land,1,39203214,1067,-6385,2447,-5984,2437,2968,-11400,3725,-3841,5752,LUCAS_point,0.906767106920255,
0000000000000000a2b3_0,Artificial land,1,39343226,1821,-10529,1847,-5782,2296,1847,-11614,3776,-6287,4625,LUCAS_point,0.9036445117473504,
0000000000000000a3f7_0,Artificial land,1,39163208,2929,-16573,2796,-5658,2577,-789,-2137,5401,2710,2070,LUCAS_point,0.8826994847377885,
0000000000000000a40d_0,Artificial land,1,39243220,1753,-13382,1837,-7636,1552,1718,-13899,3507,-8090,3840,LUCAS_point,0.8813514834029502,
0000000000000000a592_0,Artificial land,1,39183200,3311,-9615,2370,-2904,2226,12737,-14191,3699,-1114,4589,LUCAS_point,0.853541738906956,
