system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000008008_0,Bare land,6,48264770,2615,-16865,3783,-6450,2837,1402,-28909,5107,-20624,7817,LUCAS_point,0.19524699612741409,
0000000000000000803d_0,Bare land,6,48544786,1545,-22613,3795,-14637,2786,1677,-20946,3266,-12493,2768,LUCAS_point,0.17356313855744912,
00000000000000008140_0,Bare land,6,48144768,2031,-14258,2439,-7019,2139,1445,-17707,2563,-12254,2465,LUCAS_point,0.08172749541080594,
000000000000000081e2_0,Bare land,6,47824922,1539,-18581,4272,-12074,2996,1585,-18948,4197,-11955,2502,LUCAS_point,0.04662179700723344,
0000000000000000821d_0,Bare land,6,48744744,1534,-17488,3002,-11399,2476,1656,-19232,8244,-11612,8401,LUCAS_point,0.03507347473147747,
000000000000000092c6_0,Water,7,48004848,1372,-25622,4162,-18674,3441,1260,-25620,6313,-20326,4267,LUCAS_point,0.9220192760705291,
000000000000000092fc_0,Water,7,48284914,1317,-24296,4796,-18454,4135,1332,-25701,5712,-19298,3988,LUCAS_point,0.8955418540314198,
00000000000000009325_0,Water,7,48624782,1224,-25715,5799,-21010,5904,1414,-24282,5328,-17178,4094,LUCAS_point,0.8673071811229706,
0000000000000000947e_0,Water,7,47924814,1617,-14249,2994,-8810,2362,1541,-30610,6829,-19858,8587,LUCAS_point,0.47828644630838363,
0000000000000000949b_0,Water,7,48244752,1307,-25668,6062,-19644,4550,1519,-22893,3525,-15069,3099,LUCAS_point,0.4410606770096642,
000000000000000094c6_0,Water,7,48724744,1564,-19739,2444,-12621,2357,1639,-18151,7171,-11074,8656,LUCAS_point,0.3898494000811981,
00000000000000009532_0,Wetland,8,47924840,1749,-20164,4911,-11531,4350,1706,-20690,7195,-12130,9548,LUCAS_point,0.9974358974358974,
00000000000000009534_0,Wetland,8,48104884,1629,-20762,5553,-12745,4250,1741,-20830,5256,-11966,4659,LUCAS_point,0.9952934662236987,
00000000000000009535_0,Wetland,8,48564944,1729,-20929,6437,-12106,4169,1667,-20030,5476,-12015,4177,LUCAS_point,0.9949717159019484,
00000000000000009538_0,Wetland,8,48224948,1999,-22328,6218,-11168,4166,1680,-22417,5164,-13344,3906,LUCAS_point,0.9916138125440451,
0000000000000000953a_0,Wetland,8,48304952,1643,-20951,5986,-12749,4498,1757,-22207,5050,-12642,3982,LUCAS_point,0.9898713883016208,
0000000000000000953b_0,Wetland,8,48364872,1595,-19476,5252,-12207,4300,1692,-19797,4488,-11699,3693,LUCAS_point,0.9894987468671679,
00000000000000009543_0,Wetland,8,48584860,1998,-20061,6866,-10042,4201,1704,-21804,5223,-12795,3228,LUCAS_point,0.9874962859265185,
00000000000000009544_0,Wetland,8,47884824,1957,-18427,6297,-9416,4336,1723,-19967,10453,-11588,9641,LUCAS_point,0.9872503840245775,
0000000000000000954d_0,Wetland,8,48544868,1865,-19867,5054,-10654,3381,1720,-22043,5494,-12814,3900,LUCAS_point,0.9854012654012654,
0000000000000000954f_0,Wetland,8,48644854,1857,-21628,7465,-11646,4010,1750,-21102,6631,-12055,3012,LUCAS_point,0.9850598109900436,
00000000000000009559_0,Wetland,8,48644914,1752,-21360,4316,-12193,3396,1882,-21687,4152,-11523,3463,LUCAS_point,0.9818123020533077,
0000000000000000955a_0,Wetland,8,48104880,1693,-21182,5631,-12512,3632,1636,-20180,4162,-12335,3272,LUCAS_point,0.9813765826707549,
0000000000000000955c_0,Wetland,8,48144722,1863,-22475,6223,-12067,3358,1726,-21960,4992,-12725,3807,LUCAS_point,0.9810536539254084,
0000000000000000955e_0,Wetland,8,48004836,1841,-20262,4769,-11005,3601,1739,-21486,4195,-12355,3591,LUCAS_point,0.9807391156937436,
00000000000000009563_0,Wetland,8,48384926,1745,-21285,5867,-12201,4008,1761,-21992,5383,-12485,3563,LUCAS_point,0.9789274779318105,
00000000000000009566_0,Wetland,8,48504852,1677,-20162,3420,-12022,3231,1720,-20538,4571,-11943,3355,LUCAS_point,0.9784535533219744,
00000000000000009575_0,Wetland,8,48184866,1552,-18321,5050,-11807,3957,1563,-18831,6428,-12048,4295,LUCAS_point,0.9749833887043189,
00000000000000009579_0,Wetland,8,48164880,1567,-19118,4989,-12199,3663,1647,-20303,4484,-12331,3192,LUCAS_point,0.9743049230670658,
0000000000000000957c_0,Wetland,8,48344838,1801,-21416,4161,-11890,3868,1825,-20821,3855,-11409,2659,LUCAS_point,0.973660827955439,
0000000000000000957e_0,Wetland,8,48304892,1644,-21438,5072,-13038,4406,1727,-19965,4561,-11563,3148,LUCAS_point,0.9728770157487703,
00000000000000009582_0,Wetland,8,48644924,1667,-21357,5872,-12811,3438,1721,-21306,5061,-12376,3449,LUCAS_point,0.9725842949884185,
00000000000000009584_0,Wetland,8,47924810,1811,-21831,6181,-12054,3837,1663,-22209,6217,-13356,9547,LUCAS_point,0.9725233078458885,
00000000000000009594_0,Wetland,8,48064794,1784,-19073,4903,-10690,3253,1738,-20332,4595,-11696,3209,LUCAS_point,0.9691337180335172,
00000000000000009599_0,Wetland,8,48064800,1837,-19702,5426,-10727,3904,1881,-20575,4366,-10939,3814,LUCAS_point,0.9682765648220998,
000000000000000095a2_0,Wetland,8,48524926,1656,-21447,4413,-12948,3107,1925,-21949,3811,-11400,3238,LUCAS_point,0.9667072077266979,
000000000000000095a3_0,Wetland,8,48284852,1509,-20667,5025,-13698,3536,1718,-20944,4228,-12193,3565,LUCAS_point,0.9661655363379501,
000000000000000095aa_0,Wetland,8,48404948,1633,-20925,7208,-12812,3766,1791,-21194,4626,-11831,3226,LUCAS_point,0.964969888239257,
000000000000000095ca_0,Wetland,8,48624844,2077,-20382,5913,-9811,4281,2133,-20335,5169,-9531,4536,LUCAS_point,0.9597054692703605,
000000000000000095d0_0,Wetland,8,48364874,1623,-20928,4962,-12896,4626,1781,-20817,4067,-11690,3276,LUCAS_point,0.957786627260764,
000000000000000095d7_0,Wetland,8,48384930,1599,-18626,4714,-11645,3612,1669,-18968,5184,-11365,3277,LUCAS_point,0.9573470132772458,
000000000000000095d9_0,Wetland,8,48164728,1874,-19884,5360,-10613,3360,1693,-19192,3531,-11336,2635,LUCAS_point,0.9569280445170538,
000000000000000095dc_0,Wetland,8,48564954,1628,-21078,6733,-12949,4159,1667,-20892,6017,-12534,4012,LUCAS_point,0.9568039165576785,
000000000000000095e2_0,Wetland,8,48064892,1575,-21981,4492,-13956,3531,1598,-21546,4616,-13479,3826,LUCAS_point,0.9560054511822877,
000000000000000095e4_0,Wetland,8,47984884,1670,-23284,6225,-13939,4073,1638,-21696,5032,-13249,9177,LUCAS_point,0.9556884842009584,
000000000000000095ee_0,Wetland,8,48004868,1768,-22415,5446,-12675,3847,1705,-21625,4851,-12683,3589,LUCAS_point,0.9542861712550934,
00000000000000009607_0,Wetland,8,48864822,1882,-21477,4923,-11414,3845,1616,-21679,4817,-13419,9029,LUCAS_point,0.9507914642287545,
0000000000000000960a_0,Wetland,8,47784902,1610,-21110,5456,-13111,4437,1692,-19063,4343,-11264,3761,LUCAS_point,0.9505619575319895,
0000000000000000960d_0,Wetland,8,48124896,1585,-18694,4049,-11797,3255,1622,-18803,3395,-11591,2894,LUCAS_point,0.950337348217783,
00000000000000009611_0,Wetland,8,48104948,1607,-21417,6213,-13327,6143,1625,-21849,5208,-13449,4158,LUCAS_point,0.9494702370376311,
00000000000000009617_0,Wetland,8,47884816,1744,-21465,6905,-12309,3995,1782,-23006,8941,-12909,8962,LUCAS_point,0.9482853010512585,
0000000000000000961d_0,Wetland,8,48224894,1627,-22155,7471,-13614,5855,1743,-20461,6486,-11739,4514,LUCAS_point,0.9480132817632818,
0000000000000000962b_0,Wetland,8,47684920,1685,-19393,5072,-11511,3923,1667,-20964,4494,-12580,3531,LUCAS_point,0.9448455089918505,
0000000000000000962c_0,Wetland,8,47864896,1501,-22791,6973,-15186,4530,1880,-21142,6346,-11244,4679,LUCAS_point,0.9442916450809886,
0000000000000000962d_0,Wetland,8,47924898,1694,-22062,5484,-13024,4269,1914,-20891,8557,-10914,8702,LUCAS_point,0.9442902051145327,
00000000000000009633_0,Wetland,8,48024910,1597,-21044,6461,-13176,4559,1597,-19308,5324,-12090,10029,LUCAS_point,0.9430769857893491,
00000000000000009634_0,Wetland,8,48444718,1700,-20098,4326,-11822,3231,1755,-20916,4438,-11915,3531,LUCAS_point,0.9430066770134938,
00000000000000009635_0,Wetland,8,48244956,1609,-20121,5454,-12502,3476,1683,-21694,4925,-12890,3126,LUCAS_point,0.9428363058116663,
00000000000000009637_0,Wetland,8,48264878,1568,-21417,6750,-13662,4662,1567,-20671,6097,-13187,4181,LUCAS_point,0.942482113079836,
0000000000000000963c_0,Wetland,8,48444928,1773,-19310,4517,-10892,3676,1712,-18956,4473,-11072,2853,LUCAS_point,0.9416145870833034,
0000000000000000963d_0,Wetland,8,48544856,1472,-21862,5081,-14849,3460,1961,-17418,5276,-8883,4257,LUCAS_point,0.9415712418360044,
00000000000000009641_0,Wetland,8,48304886,1611,-20688,5273,-12842,3005,1901,-20899,4730,-10994,3014,LUCAS_point,0.9406883388346803,
00000000000000009646_0,Wetland,8,48544962,1655,-23265,5465,-14061,4087,1522,-22908,6235,-15055,3921,LUCAS_point,0.9397609017792885,
00000000000000009668_0,Wetland,8,48024874,1746,-22849,5356,-13085,4719,1610,-20965,5077,-13025,4449,LUCAS_point,0.9332134572424954,
0000000000000000966c_0,Wetland,8,48444952,1633,-22864,6328,-13998,4565,1636,-23454,5813,-14334,4067,LUCAS_point,0.9328135000114148,
00000000000000009672_0,Wetland,8,47924844,1627,-17423,4998,-10709,3576,1705,-18086,6312,-10605,9604,LUCAS_point,0.9320474781628045,
00000000000000009687_0,Wetland,8,48744822,1725,-18606,4680,-10784,2503,1790,-19185,4500,-10715,2532,LUCAS_point,0.9273390761856767,
00000000000000009689_0,Wetland,8,47984844,1879,-18795,4845,-10005,3592,1872,-19382,4008,-10352,2869,LUCAS_point,0.927043263324223,
0000000000000000968e_0,Wetland,8,47904842,1716,-19406,5500,-11308,3972,1719,-18211,9523,-10591,9536,LUCAS_point,0.9263896694209206,
00000000000000009697_0,Wetland,8,48764864,1686,-18693,4108,-11090,2923,1679,-18823,4229,-11211,2706,LUCAS_point,0.9247531692433236,
000000000000000096a1_0,Wetland,8,47864874,1700,-20246,4785,-11909,3998,1571,-18156,5591,-11557,3675,LUCAS_point,0.9235509208801023,
000000000000000096a5_0,Wetland,8,48384764,1918,-18266,4622,-9525,3323,1857,-20161,4553,-10856,2714,LUCAS_point,0.9228820423509645,
000000000000000096b1_0,Wetland,8,47924808,1753,-18159,3898,-10361,3019,1683,-20008,5029,-11885,9315,LUCAS_point,0.9199077938222675,
000000000000000096c0_0,Wetland,8,48324732,2003,-22476,4740,-11221,3225,2176,-22237,4044,-10220,3405,LUCAS_point,0.9183606934001671,
000000000000000096c2_0,Wetland,8,48064910,1749,-22635,4336,-12939,3798,1606,-20425,4018,-12718,3235,LUCAS_point,0.9179694023866919,
000000000000000096d1_0,Wetland,8,48044740,1940,-18824,6002,-9701,2786,1642,-21436,4076,-13054,3004,LUCAS_point,0.9150589458200896,
000000000000000096f4_0,Wetland,8,48584846,1838,-19119,5346,-10404,3083,1765,-19800,4009,-11220,2985,LUCAS_point,0.9078852356540614,
000000000000000096f9_0,Wetland,8,48104900,1686,-20759,4613,-12311,3290,1554,-18932,3880,-12180,3038,LUCAS_point,0.9070702502696691,
000000000000000096fa_0,Wetland,8,48404746,2006,-20138,3559,-10037,3140,2114,-21165,4193,-10013,2723,LUCAS_point,0.9065783404429095,
00000000000000009702_0,Wetland,8,48304936,1610,-21915,5833,-13615,3977,1706,-19063,4334,-11177,3930,LUCAS_point,0.9058613968381852,
00000000000000009709_0,Wetland,8,48584918,1692,-20595,5674,-12170,3426,1652,-20408,4735,-12357,3044,LUCAS_point,0.9053501009162963,
0000000000000000970b_0,Wetland,8,48024914,1610,-23126,5194,-14363,3948,1884,-20372,4909,-10814,10430,LUCAS_point,0.9049572327745702,
00000000000000009713_0,Wetland,8,47764894,1548,-24879,4873,-16077,3537,1816,-17157,4555,-9446,2967,LUCAS_point,0.9041800292945984,
00000000000000009714_0,Wetland,8,48004742,1665,-20432,3709,-12270,3107,1643,-21058,4215,-12820,2580,LUCAS_point,0.9037784751989163,
0000000000000000971a_0,Wetland,8,47664934,1727,-21179,4334,-12260,3747,1752,-20436,5399,-11666,2888,LUCAS_point,0.9031408498835721,
00000000000000009731_0,Wetland,8,48104944,1490,-18888,4541,-12678,3404,1599,-19074,4552,-11929,3424,LUCAS_point,0.8992263208081481,
00000000000000009737_0,Wetland,8,48404916,1733,-20148,5429,-11623,3392,1755,-20926,4453,-11921,3103,LUCAS_point,0.8979502905728629,
00000000000000009744_0,Wetland,8,48084846,1714,-18828,5159,-10985,4295,1625,-17093,4273,-10522,2938,LUCAS_point,0.8952816965951268,
00000000000000009747_0,Wetland,8,47744926,1711,-20987,5942,-12269,3668,1721,-20139,5719,-11702,3680,LUCAS_point,0.8949225997974147,
00000000000000009749_0,Wetland,8,47984878,1637,-21340,4000,-13040,3353,1512,-19962,4628,-13204,8989,LUCAS_point,0.8944808917441565,
0000000000000000975a_0,Wetland,8,48264900,1601,-20376,6021,-12730,3956,1557,-19551,5323,-12557,3197,LUCAS_point,0.8910521956497188,
0000000000000000975d_0,Wetland,8,47944890,1714,-20467,4531,-11938,3187,1715,-19495,9089,-11366,9188,LUCAS_point,0.8898038361287405,
0000000000000000975e_0,Wetland,8,47944778,1864,-21414,5813,-11489,3510,1617,-18295,3830,-11312,3327,LUCAS_point,0.8897042870304828,
0000000000000000975f_0,Wetland,8,48244882,1618,-21224,4334,-13121,3508,1657,-21195,3121,-12795,2848,LUCAS_point,0.8896777349684326,
00000000000000009763_0,Wetland,8,48224918,1543,-19583,8326,-12689,8097,1549,-18385,4326,-11868,2840,LUCAS_point,0.8894277597974254,
00000000000000009764_0,Wetland,8,48824842,1665,-17304,3566,-10394,2576,1693,-19090,6949,-11273,8675,LUCAS_point,0.8894114850895709,
0000000000000000977d_0,Wetland,8,48564852,1638,-20088,3978,-12264,2421,1716,-21121,5340,-12307,2991,LUCAS_point,0.8858821216730527,
00000000000000009784_0,Wetland,8,48224914,1584,-21641,7138,-13664,4663,1638,-21929,5903,-13388,3824,LUCAS_point,0.8845424259066393,
0000000000000000978d_0,Wetland,8,47964798,1726,-18548,3468,-10748,2774,1607,-19016,3825,-11833,2476,LUCAS_point,0.8833507672356824,
00000000000000009791_0,Wetland,8,48484952,1780,-18505,3474,-10395,2839,1679,-21717,4162,-12937,3145,LUCAS_point,0.8822404898505021,
