system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000009ec7_0,Artificial land,1,42762942,1518,-13186,5627,-8686,5203,2710,-12258,2292,-4523,1993,LUCAS_point,0.9709622003673638,
00000000000000009ed2_0,Artificial land,1,43862978,-1480,-11768,2688,7950,4691,1970,-11279,2580,-5726,2169,LUCAS_point,0.9702416721848214,
00000000000000009f20_0,Artificial land,1,43162964,6274,-10341,2264,-1648,2033,2022,-7113,2198,-3517,3037,LUCAS_point,0.963717868213836,
00000000000000009ff6_0,Artificial land,1,42983048,3424,-9498,2485,-2774,2258,-1577,-10976,1902,6958,1521,LUCAS_point,0.9486928564887294,
0000000000000000a067_0,Artificial land,1,42503008,3937,-17094,2250,-4342,2250,1702,-15654,2699,-9197,3213,LUCAS_point,0.9411037531956863,
0000000000000000a1e0_0,Artificial land,1,43943100,1539,-14989,2305,-9741,2169,-1649,-7143,1887,4332,2238,LUCAS_point,0.9176214180839676,
0000000000000000a1e6_0,Artificial land,1,43942928,1350,-12479,2048,-9246,1471,1315,-15372,2451,-11690,2195,LUCAS_point,0.9174090234191434,
0000000000000000a296_0,Artificial land,1,43023048,-15572,-10460,2570,672,2667,4770,-14391,4269,-3017,2255,LUCAS_point,0.906173037017689,
0000000000000000a2b6_0,Artificial land,1,44002928,3906,-8707,1627,-2229,1771,2455,-15036,6803,-6123,6060,LUCAS_point,0.9034619625497174,
0000000000000000a2b8_0,Artificial land,1,42863130,2385,-11108,2845,-4658,3008,3730,-13198,3420,-3538,2570,LUCAS_point,0.9033592663644525,
0000000000000000a2cb_0,Artificial land,1,42963048,1725,-9209,2803,-5339,3697,2463,-11320,1500,-4596,1463,LUCAS_point,0.9023713883929421,
0000000000000000a39d_0,Artificial land,1,42623154,6477,-13938,2287,-2152,2854,-150,-361,2938,2417,1423,LUCAS_point,0.8888596168707406,
0000000000000000a3cb_0,Artificial land,1,43703092,-9870,-12100,2019,1226,3104,1379,-13712,2420,-9947,1723,LUCAS_point,0.8859708127826594,
0000000000000000a404_0,Artificial land,1,43962926,2079,-13429,2332,-6460,1828,2169,-13534,1745,-6239,1950,LUCAS_point,0.8820020138619379,
0000000000000000a44a_0,Artificial land,1,42602966,1471,-14389,1886,-9783,1945,2485,-12175,10225,-4899,12196,LUCAS_point,0.8770885142750717,
0000000000000000a49d_0,Artificial land,1,43283008,1828,-13973,9720,-7642,11184,1425,-12285,1518,-8622,1834,LUCAS_point,0.8706666387488331,
0000000000000000a4de_0,Artificial land,1,43223032,1852,-9585,1899,-5176,2145,2134,-15371,2110,-7203,1950,LUCAS_point,0.8657085519268303,
