system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
000000000000000082ad_0,Bare land,6,58342672,1584,-22124,3313,-13965,2564,1524,-23138,3632,-15178,2391,LUCAS_point,0.016477686150861023,
000000000000000082d9_0,Bare land,6,58362668,1426,-21304,3703,-14938,2392,1522,-22538,3678,-14807,2690,LUCAS_point,0.011119691119691119,
000000000000000093e8_0,Water,7,58422646,1345,-25643,4882,-19062,3796,1308,-28714,6762,-21961,2770,LUCAS_point,0.6830783636356392,
0000000000000000943b_0,Water,7,58162642,1523,-29539,4682,-19401,3237,1334,-27354,6872,-20511,3487,LUCAS_point,0.5707103462032335,
0000000000000000943d_0,Water,7,58242630,1467,-24150,6365,-16461,5246,1255,-23920,5850,-19062,6817,LUCAS_point,0.5672103586030788,
00000000000000009b66_0,Wetland,8,58382654,1440,-18432,3283,-12799,3630,1518,-17827,3773,-11744,3631,LUCAS_point,0.65853796672211,
00000000000000009b79_0,Wetland,8,58462630,1539,-17829,4484,-11582,2948,1619,-17543,4679,-10833,3745,LUCAS_point,0.6502540171788749,
00000000000000009b7a_0,Wetland,8,58262668,1513,-16977,3082,-11223,3453,1506,-16902,3457,-11223,3212,LUCAS_point,0.649994741341328,
00000000000000009bb5_0,Wetland,8,58322632,1439,-17053,3038,-11852,3061,1584,-17132,4645,-10818,2806,LUCAS_point,0.6329799104243301,
00000000000000009bda_0,Wetland,8,58322634,1462,-16096,3098,-11009,3098,1453,-16841,3070,-11588,2714,LUCAS_point,0.6219202933756541,
00000000000000009c3a_0,Wetland,8,58462648,1676,-17285,2286,-10314,2887,1689,-17631,3305,-10436,2740,LUCAS_point,0.5932535164603476,
00000000000000009ca4_0,Wetland,8,58442664,1870,-16224,3469,-8676,3648,1670,-16822,5197,-10074,3564,LUCAS_point,0.5619798729298088,
00000000000000009cbf_0,Wetland,8,58202676,1726,-16393,2790,-9498,3248,1617,-16810,3030,-10395,3113,LUCAS_point,0.5534319875108404,
00000000000000009d22_0,Wetland,8,58202636,1776,-16619,2693,-9355,2835,1596,-14923,2894,-9349,3325,LUCAS_point,0.5287326768995575,
00000000000000009d87_0,Wetland,8,58222650,1385,-19578,3294,-14138,3150,1340,-18420,3764,-13742,3178,LUCAS_point,0.5006235742473009,
00000000000000009dfe_0,Wetland,8,58362628,1474,-16203,2772,-10990,2891,1535,-14524,2350,-9460,2096,LUCAS_point,0.46626784112249225,
0000000000000000d0f0_0,Cropland,2,58102666,1568,-19758,4148,-12602,2298,1530,-19433,3128,-12699,2670,LUCAS_polygon,NA,
