system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000009e2d_0,Artificial land,1,46782784,367,4504,3613,12270,5240,9514,-11236,11069,-1181,13626,LUCAS_point,0.992296918767507,
00000000000000009e6d_0,Artificial land,1,46502886,6120,-11767,14936,-1923,17483,2965,-14164,2511,-4778,3079,LUCAS_point,0.9800110418860419,
00000000000000009ec9_0,Artificial land,1,47402834,5430,-14056,2151,-2589,2503,-163963,-11472,2037,70,2828,LUCAS_point,0.9708547877881001,
00000000000000009f10_0,Artificial land,1,46062770,-102,-1103,3025,10871,4009,-19208,-7932,2109,413,2075,LUCAS_point,0.9645722242673462,
0000000000000000a01b_0,Artificial land,1,46862862,1623,-14284,4370,-8804,2867,1621,-14086,4500,-8688,4144,LUCAS_point,0.9463751661569376,
0000000000000000a030_0,Artificial land,1,46042764,9077,-10986,2305,-1210,2338,2936,-7354,2732,-2504,2423,LUCAS_point,0.9449373444309931,
0000000000000000a139_0,Artificial land,1,46482884,1281,-6257,9604,-4883,5320,1599,-7460,1905,-4664,1847,LUCAS_point,0.9275116144018583,
0000000000000000a1fa_0,Artificial land,1,46322798,-38915,-16552,3569,425,5149,1582,-11609,2542,-7338,2998,LUCAS_point,0.9162401643040943,
0000000000000000a239_0,Artificial land,1,46882862,-9002,-10379,2478,1153,2358,2297,-10609,10941,-4619,12854,LUCAS_point,0.9123362266651707,
0000000000000000a268_0,Artificial land,1,46842790,2257,-14676,2454,-6503,2792,1533,-9094,1886,-5933,1906,LUCAS_point,0.9092585293254059,
0000000000000000a417_0,Artificial land,1,46222920,2521,-11480,2020,-4553,1614,1884,2054,1270,1090,1733,LUCAS_point,0.8809541593597321,
0000000000000000a429_0,Artificial land,1,47182912,1548,-14019,2215,-9055,2313,8035,-13473,2864,-1677,2473,LUCAS_point,0.8796204214610287,
0000000000000000a55f_0,Artificial land,1,45882844,1605,-13617,2043,-8481,1656,1459,-12169,2507,-8342,2108,LUCAS_point,0.8567767391185593,
0000000000000000a58d_0,Artificial land,1,46622804,1437,-18809,2538,-13091,1934,1359,-10161,2298,-7478,1849,LUCAS_point,0.8538167600940387,
0000000000000000a5a4_0,Artificial land,1,46122798,-316,-2272,3036,7182,3029,2878,-12542,4750,-4357,4399,LUCAS_point,0.8524891257315934,
0000000000000000a62a_0,Artificial land,1,47422834,1804,-13445,2288,-7452,1882,3356,-13956,3545,-4159,4444,LUCAS_point,0.8448640594323706,
0000000000000000a662_0,Artificial land,1,46502800,1928,-13902,1654,-7212,1804,7420,-14722,2131,-1984,1941,LUCAS_point,0.8406190232529422,
0000000000000000a68f_0,Artificial land,1,46222792,2189,-15808,2390,-7223,2140,4132,-10779,3469,-2609,3284,LUCAS_point,0.8369670509388762,
00000000000000006f59_0,Woodland,3,45842806,1861,-14722,1957,-7909,2034,1668,-14544,2153,-8718,2140,LUCAS_point,1,
00000000000000006f66_0,Woodland,3,45862820,1700,-14143,2001,-8322,4170,1857,-13199,2204,-7107,2285,LUCAS_point,1,
00000000000000006f67_0,Woodland,3,45862834,2127,-10465,2372,-4921,1937,1479,-17053,2470,-11529,2178,LUCAS_point,1,
00000000000000006f76_0,Woodland,3,45882824,1934,-14204,3879,-7343,4123,1739,-15237,2437,-8764,2097,LUCAS_point,1,
00000000000000006f81_0,Woodland,3,45902780,1807,-13548,2041,-7499,1932,1615,-15473,2320,-9583,1978,LUCAS_point,1,
00000000000000006f82_0,Woodland,3,45902832,1723,-14178,2459,-8231,2185,1783,-14771,2321,-8284,1983,LUCAS_point,1,
00000000000000006f83_0,Woodland,3,45902862,1876,-14224,2286,-7583,2091,1700,-14403,2738,-8472,2216,LUCAS_point,1,
00000000000000006f8d_0,Woodland,3,45922816,1656,-15869,3567,-9584,2305,1963,-13096,1972,-6670,2106,LUCAS_point,1,
