system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000009e46_0,Artificial land,1,45982526,2144,-12879,3011,-6006,2619,1985,-10527,2484,-5303,2557,LUCAS_point,0.9848463748107488,
00000000000000009e5b_0,Artificial land,1,47282584,2321,-13934,1811,-6005,1971,20056,-12384,3574,-617,4885,LUCAS_point,0.9813055903608229,
00000000000000009efa_0,Artificial land,1,46082448,1415,-6902,1763,-4877,1657,102927,-5157,1889,-50,4974,LUCAS_point,0.9666372025649955,
00000000000000009f44_0,Artificial land,1,47262584,9968,-12111,2004,-1215,2063,-3546,-9891,5033,2789,3090,LUCAS_point,0.9613381661611402,
00000000000000009f57_0,Artificial land,1,47382672,2648,-14070,2323,-5314,2524,2208,-8288,2338,-3754,2906,LUCAS_point,0.9599480310142074,
00000000000000009f6c_0,Artificial land,1,47342672,3352,-14573,2464,-4348,3195,1513,-12431,2684,-8218,2080,LUCAS_point,0.9588002169255714,
00000000000000009fd4_0,Artificial land,1,47542620,17550,-10675,1963,-608,2176,4408,-9911,3493,-2248,2847,LUCAS_point,0.9508021491052621,
0000000000000000a116_0,Artificial land,1,46242538,-1186,-12053,10491,10162,16755,6609,-17596,2857,-2662,5247,LUCAS_point,0.9301976976582429,
0000000000000000a182_0,Artificial land,1,46742554,3158,-14037,2447,-4444,3509,1700,-7965,1998,-4684,1896,LUCAS_point,0.9240252241001696,
0000000000000000a2e8_0,Artificial land,1,47502620,1524,-11703,1532,-7680,1733,2221,-15393,3493,-6929,1998,LUCAS_point,0.9005488980803328,
0000000000000000a31e_0,Artificial land,1,46522620,3752,-12120,4612,-3231,1703,1217,-8053,3681,-6615,2814,LUCAS_point,0.896863189949641,
0000000000000000a35e_0,Artificial land,1,46742560,2893,-12579,2034,-4348,2179,2601,-14694,2106,-5648,2015,LUCAS_point,0.8928156901932502,
0000000000000000a39a_0,Artificial land,1,46122538,1651,-9128,1716,-5527,1623,2276,-11030,1533,-4846,2286,LUCAS_point,0.8891169300819908,
0000000000000000a406_0,Artificial land,1,47282664,1557,-17925,2299,-11511,1536,1535,-12673,3263,-8257,2419,LUCAS_point,0.8816141796521053,
0000000000000000a42a_0,Artificial land,1,46602544,2413,-16616,3414,-6887,3826,1525,-16842,4414,-11042,2103,LUCAS_point,0.8794397070355324,
0000000000000000a4ed_0,Artificial land,1,46162476,2938,-14423,1885,-4909,1763,3406,-9326,2018,-2738,2666,LUCAS_point,0.8646073692083879,
0000000000000000a50a_0,Artificial land,1,46142514,5497,-12315,3800,-2241,956,1988,-10481,2382,-5271,2984,LUCAS_point,0.8622412649270235,
0000000000000000a51c_0,Artificial land,1,46162516,3927,-11321,1805,-2883,1577,2208,-12878,2456,-5832,2143,LUCAS_point,0.8613530674451572,
0000000000000000a582_0,Artificial land,1,46042466,3055,-9310,1551,-3047,1498,-102107,-10389,1457,102,3019,LUCAS_point,0.8546325702777315,
0000000000000000a5bf_0,Artificial land,1,47162584,-12679,-11379,14190,897,18608,2100,-12878,3808,-6132,4378,LUCAS_point,0.8513614224907039,
0000000000000000a5df_0,Artificial land,1,46142502,2621,-14242,2555,-5433,2349,9291,-12526,2460,-1348,2375,LUCAS_point,0.8491023217595897,
0000000000000000a609_0,Artificial land,1,46582580,2838,-12661,2639,-4461,3651,1855,-11844,2521,-6386,3680,LUCAS_point,0.8465288300567837,
0000000000000000a6bd_0,Artificial land,1,46102460,1289,-11095,1746,-8605,1422,1704,-12723,2123,-7467,1990,LUCAS_point,0.8332271276736565,
00000000000000006f8c_0,Woodland,3,45922654,1965,-13141,2217,-6689,2189,1663,-14658,2306,-8816,2136,LUCAS_point,1,
00000000000000006f9f_0,Woodland,3,45942656,1736,-14918,5368,-8594,11161,1962,-13421,2229,-6841,1634,LUCAS_point,1,
