system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000009f0c_0,Artificial land,1,42842898,-10991,-14517,2641,1321,3203,1800,-7694,1654,-4274,2171,LUCAS_point,0.9649974598658809,
00000000000000009faf_0,Artificial land,1,43942922,3051,-12025,1795,-3942,1723,-8906,-12765,1865,1433,3529,LUCAS_point,0.9538456794706794,
00000000000000009ffa_0,Artificial land,1,42542884,1624,-8793,1748,-5414,2120,1165,-7328,2514,-6289,1698,LUCAS_point,0.9485626688568829,
0000000000000000a038_0,Artificial land,1,42662904,3480,-8437,2150,-2425,2237,1461,-7542,1309,-5161,1641,LUCAS_point,0.944274935195323,
0000000000000000a063_0,Artificial land,1,43002842,3319,-13633,1753,-4107,3179,31321,-11112,2234,-355,2257,LUCAS_point,0.9412820163563871,
0000000000000000a0a5_0,Artificial land,1,42642898,-2178,-3631,1960,1667,2543,-500,-4092,1393,8182,1356,LUCAS_point,0.9371259194734805,
0000000000000000a0fd_0,Artificial land,1,43202810,3481,-12646,1901,-3632,2230,3185,-8834,2404,-2773,2491,LUCAS_point,0.9315208602273467,
0000000000000000a13f_0,Artificial land,1,42662844,-2047,-8661,4349,4230,3165,1087,-3186,1841,-2932,2503,LUCAS_point,0.9272196570196487,
0000000000000000a186_0,Artificial land,1,42602856,7273,-8360,2257,-1149,3920,1395,-11894,2391,-8527,1630,LUCAS_point,0.9237234115957619,
0000000000000000a246_0,Artificial land,1,43922880,1975,-13667,1621,-6919,1751,-34698,-12858,1648,371,2870,LUCAS_point,0.9115170945728329,
0000000000000000a2db_0,Artificial land,1,42562856,6348,-14246,1819,-2244,1912,3155,-11364,1791,-3602,1461,LUCAS_point,0.9015149693089918,
0000000000000000a3e6_0,Artificial land,1,43882810,2963,-11361,2119,-3834,1676,2439,-12025,1612,-4930,1445,LUCAS_point,0.883967912556599,
0000000000000000a3ef_0,Artificial land,1,43882804,5474,-16702,2172,-3051,2111,2818,-3097,1903,-1099,1713,LUCAS_point,0.8830912004263523,
0000000000000000a449_0,Artificial land,1,42642854,1719,-17828,2779,-10371,2460,1782,-17453,2319,-9793,2068,LUCAS_point,0.8770910992602169,
0000000000000000a45d_0,Artificial land,1,43402806,2524,-10815,3131,-4284,2632,1806,-9349,2440,-5176,2215,LUCAS_point,0.8756480774127833,
0000000000000000a48c_0,Artificial land,1,42662736,2631,-9675,1581,-3678,1721,323,1815,4436,5613,4144,LUCAS_point,0.8719983723390138,
0000000000000000a4d0_0,Artificial land,1,42842854,2379,-15532,1954,-6529,2055,2292,-14252,2682,-6219,2157,LUCAS_point,0.8667454879864612,
0000000000000000a532_0,Artificial land,1,42562846,1888,-10660,1871,-5647,1881,3098,-9386,1601,-3029,2460,LUCAS_point,0.859549776725805,
0000000000000000a548_0,Artificial land,1,43742914,2141,-15361,1627,-7174,2002,2175,-15125,1866,-6955,2449,LUCAS_point,0.8583490469358475,
0000000000000000a59d_0,Artificial land,1,42682826,3349,-13804,2293,-4122,1889,1403,-13202,1519,-9411,1559,LUCAS_point,0.8529978796114331,
0000000000000000a5d4_0,Artificial land,1,44062920,2049,-16924,3457,-8260,3265,2115,-16474,4513,-7790,5647,LUCAS_point,0.8499135756899094,
0000000000000000a5de_0,Artificial land,1,42982716,2484,-11655,2754,-4692,3805,3204,-15388,2219,-4803,1840,LUCAS_point,0.8491777865325345,
0000000000000000a5f1_0,Artificial land,1,42942842,1695,-9816,2704,-5791,1715,2255,-9776,2500,-4335,1753,LUCAS_point,0.8480667719377397,
0000000000000000a667_0,Artificial land,1,43082858,407855,-14467,2695,-35,2823,2159,-15065,2120,-6978,2242,LUCAS_point,0.8399856901139094,
0000000000000000a69d_0,Artificial land,1,43222746,2433,-15906,3025,-6537,3191,3936,-14212,1945,-3611,1774,LUCAS_point,0.8362285068115329,
0000000000000000a6ae_0,Artificial land,1,42642884,11549,-11956,3332,-1035,6847,2474,-12397,1743,-5011,1816,LUCAS_point,0.8345914067679843,
00000000000000006873_0,Woodland,3,42482768,1602,-14267,2175,-8905,1760,1769,-15448,2630,-8734,2170,LUCAS_point,1,
00000000000000006879_0,Woodland,3,42502784,1598,-15002,2187,-9387,2169,1869,-14005,2045,-7493,1756,LUCAS_point,1,
0000000000000000687a_0,Woodland,3,42502832,1877,-12247,2378,-6524,2000,1417,-16450,2189,-11610,2011,LUCAS_point,1,
0000000000000000687b_0,Woodland,3,42502838,1782,-13026,2161,-7308,1880,1675,-15772,1783,-9413,1828,LUCAS_point,1,
00000000000000006889_0,Woodland,3,42542790,1865,-13876,2284,-7439,2445,1613,-15824,2065,-9812,2624,LUCAS_point,1,
0000000000000000688a_0,Woodland,3,42542850,1794,-12843,2208,-7160,2004,1836,-14481,2370,-7889,1971,LUCAS_point,1,
00000000000000006892_0,Woodland,3,42562808,1625,-13923,2336,-8570,1833,1692,-12634,1718,-7465,2164,LUCAS_point,1,
00000000000000006894_0,Woodland,3,42582790,1997,-13511,2420,-6766,1956,1762,-15642,2186,-8875,2017,LUCAS_point,1,
0000000000000000689b_0,Woodland,3,42602804,1792,-14725,2112,-8216,1986,1652,-15716,1899,-9513,1881,LUCAS_point,1,
000000000000000068a8_0,Woodland,3,42642770,1774,-14843,2467,-8367,2126,1772,-15204,9134,-8583,11678,LUCAS_point,1,
000000000000000068aa_0,Woodland,3,42662880,1803,-12673,2132,-7028,2067,1687,-13610,2196,-8069,2033,LUCAS_point,1,
000000000000000068c7_0,Woodland,3,42762818,1599,-13219,2373,-8265,2200,1685,-14236,1953,-8448,1982,LUCAS_point,1,
000000000000000068c8_0,Woodland,3,42762884,1527,-14089,2024,-9224,1899,1635,-13268,1761,-8116,1690,LUCAS_point,1,
000000000000000068cf_0,Woodland,3,42782846,1685,-14299,1956,-8484,1869,1493,-13900,10144,-9310,11575,LUCAS_point,1,
000000000000000068d0_0,Woodland,3,42782886,1618,-12477,2024,-7713,2010,1623,-13442,2074,-8281,1751,LUCAS_point,1,
000000000000000068d5_0,Woodland,3,42802842,1781,-14086,1939,-7911,1946,1819,-13248,2147,-7281,2162,LUCAS_point,1,
000000000000000068d6_0,Woodland,3,42802910,1544,-15870,2048,-10277,1926,1609,-15314,2723,-9517,2443,LUCAS_point,1,
000000000000000068dc_0,Woodland,3,42822758,1739,-15243,2381,-8765,2013,1889,-13074,2378,-6921,2289,LUCAS_point,1,
000000000000000068e4_0,Woodland,3,42842906,1773,-14555,2158,-8210,1889,1665,-13848,2017,-8318,2044,LUCAS_point,1,
000000000000000068eb_0,Woodland,3,42862874,1597,-15270,1905,-9565,1910,1670,-14927,2232,-8936,1876,LUCAS_point,1,
00000000000000006904_0,Woodland,3,42922726,1530,-15935,2593,-10417,2194,1837,-13595,1917,-7401,1842,LUCAS_point,1,
00000000000000006905_0,Woodland,3,42922872,1799,-12276,2082,-6824,2103,1728,-15726,2260,-9103,2155,LUCAS_point,1,
0000000000000000690a_0,Woodland,3,42942820,1723,-13164,1928,-7641,2135,1586,-15100,2280,-9521,2027,LUCAS_point,1,
0000000000000000691b_0,Woodland,3,42982856,1899,-13282,1773,-6995,1962,1702,-14556,2150,-8551,1956,LUCAS_point,1,
00000000000000006925_0,Woodland,3,43002720,1824,-12376,2400,-6784,2045,1513,-14693,2125,-9714,1769,LUCAS_point,1,
0000000000000000692a_0,Woodland,3,43022694,1827,-15232,2662,-8335,2002,1824,-15138,2152,-8298,1878,LUCAS_point,1,
00000000000000006933_0,Woodland,3,43042866,1791,-13136,2322,-7335,1761,1603,-14757,2300,-9203,2235,LUCAS_point,1,
00000000000000006934_0,Woodland,3,43042872,1906,-13639,2134,-7155,2033,1701,-15525,1959,-9125,1859,LUCAS_point,1,
00000000000000006941_0,Woodland,3,43062698,1711,-14104,2475,-8243,1889,1947,-12965,2461,-6659,2018,LUCAS_point,1,
00000000000000006942_0,Woodland,3,43062870,1644,-15200,2360,-9245,1927,1911,-13405,2179,-7016,2093,LUCAS_point,1,
00000000000000006948_0,Woodland,3,43082710,2102,-13783,2003,-6558,1952,2090,-12064,2187,-5773,1985,LUCAS_point,1,
00000000000000006954_0,Woodland,3,43102850,1702,-13799,1991,-8108,2042,1807,-12979,2131,-7181,1840,LUCAS_point,1,
0000000000000000695c_0,Woodland,3,43122808,1730,-13214,1849,-7639,1707,1663,-14327,2316,-8614,1955,LUCAS_point,1,
00000000000000006976_0,Woodland,3,43162754,1668,-15427,2865,-9247,1834,1845,-13457,1997,-7292,1695,LUCAS_point,1,
00000000000000006977_0,Woodland,3,43162888,1542,-13775,2278,-8931,1865,1622,-13051,2106,-8046,1991,LUCAS_point,1,
00000000000000006982_0,Woodland,3,43182780,1544,-15172,2375,-9824,1998,1844,-13135,2262,-7122,2288,LUCAS_point,1,
00000000000000006991_0,Woodland,3,43222758,1439,-15022,2083,-10443,1928,1739,-13183,2516,-7582,1952,LUCAS_point,1,
00000000000000006992_0,Woodland,3,43222876,1638,-14508,2020,-8856,1945,1916,-12755,1995,-6657,2131,LUCAS_point,1,
0000000000000000699b_0,Woodland,3,43242784,1781,-15179,2254,-8522,2085,1827,-14374,2191,-7867,2095,LUCAS_point,1,
0000000000000000699c_0,Woodland,3,43242852,1677,-14516,2240,-8654,1751,1761,-14144,1971,-8034,1848,LUCAS_point,1,
000000000000000069a1_0,Woodland,3,43262876,1624,-14063,2061,-8659,1809,1706,-14873,2236,-8719,2020,LUCAS_point,1,
000000000000000069c8_0,Woodland,3,43382772,1787,-15302,2124,-8565,1765,1790,-15234,2246,-8512,1906,LUCAS_point,1,
000000000000000069c9_0,Woodland,3,43382784,1634,-14358,2101,-8787,1983,1825,-14092,2254,-7722,1815,LUCAS_point,1,
000000000000000069ca_0,Woodland,3,43382786,1672,-12084,2450,-7228,2019,1870,-13610,2445,-7277,2317,LUCAS_point,1,
000000000000000069cb_0,Woodland,3,43382804,1774,-13226,2079,-7454,1806,1647,-16208,2060,-9842,2096,LUCAS_point,1,
