system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
000000000000000082df_0,Bare land,6,36924212,1674,-26000,7331,-15528,4308,1392,-23807,3668,-17101,2332,LUCAS_point,0.010851722802942314,
000000000000000092c9_0,Water,7,37044178,1657,-30149,7205,-18192,4740,1707,-32167,7036,-18844,5589,LUCAS_point,0.9203437201254916,
0000000000000000ada3_0,Shrubland,4,36944200,1900,-19585,2232,-10305,2624,1673,-19832,2730,-11856,1984,LUCAS_polygon,NA,
0000000000000000bdd0_0,Shrubland,4,37024198,1527,-20645,2202,-13520,1985,1593,-22702,2601,-14252,11085,LUCAS_polygon,NA,
000000000000000049d0_0,Grassland,5,36884140,1507,-20175,2638,-13388,2212,1493,-18945,2660,-12686,3087,LUCAS_polygon,NA,
00000000000000005ecb_0,Grassland,5,36844206,1594,-18029,2097,-11311,2635,1843,-20436,3301,-11088,2483,LUCAS_polygon,NA,
00000000000000005ede_0,Grassland,5,36964174,1612,-17838,2404,-11066,2670,1429,-19714,2449,-13794,11332,LUCAS_polygon,NA,
0000000000000000abaf_0,Grassland,5,36764180,1557,-18644,2365,-11974,3047,1415,-21764,2608,-15384,2268,LUCAS_polygon,NA,
0000000000000000ac10_0,Grassland,5,36924174,1619,-17665,2419,-10910,2316,1563,-20103,2718,-12865,11800,LUCAS_polygon,NA,
0000000000000000ae84_0,Grassland,5,36944204,1689,-21450,3559,-12698,2163,1668,-19856,3126,-11906,2728,LUCAS_polygon,NA,
0000000000000000af29_0,Grassland,5,37084190,1509,-20536,2727,-13610,2299,1542,-19700,2785,-12778,2114,LUCAS_polygon,NA,
0000000000000000af30_0,Grassland,5,36944150,1501,-21076,2609,-14039,2502,1525,-20551,2646,-13472,2337,LUCAS_polygon,NA,
0000000000000000b98a_0,Grassland,5,36964202,1474,-20538,2614,-13930,2513,1618,-20316,3604,-12559,2101,LUCAS_polygon,NA,
0000000000000000ba33_0,Grassland,5,37024168,1565,-20589,2579,-13155,2569,1451,-21100,2422,-14543,2213,LUCAS_polygon,NA,
