system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000008001_0,Bare land,6,55862914,1736,-20784,4148,-11971,3440,1763,-20103,4913,-11405,2965,LUCAS_point,0.19942057827213375,
0000000000000000928a_0,Water,7,56182850,1451,-28994,6485,-19982,4342,1388,-28688,6989,-20673,5090,LUCAS_point,0.9454794830027028,
000000000000000093aa_0,Water,7,56322860,1374,-26740,4327,-19468,2712,1342,-26785,4353,-19965,2978,LUCAS_point,0.7513687082649865,
0000000000000000943e_0,Water,7,56042878,1455,-29032,6287,-19955,3795,1542,-27617,5711,-17911,3466,LUCAS_point,0.5652425464344969,
00000000000000009505_0,Water,7,56242856,1527,-25862,6171,-16940,4122,1689,-27020,6325,-16001,4319,LUCAS_point,0.30106617766187005,
00000000000000009e06_0,Wetland,8,56102854,1963,-15994,3229,-8147,3545,1995,-16995,2852,-8519,3101,LUCAS_point,0.46439307818618164,
0000000000000000059c_0,Cropland,2,56042852,1689,-22184,9872,-13137,10922,1513,-22344,4549,-14770,3054,LUCAS_polygon,NA,
00000000000000001249_0,Cropland,2,56302828,1706,-17389,5188,-10191,2709,2085,-18255,4434,-8757,2542,LUCAS_polygon,NA,
000000000000000013f2_0,Cropland,2,55802900,1669,-19418,4082,-11631,3161,1748,-19629,6150,-11230,3315,LUCAS_polygon,NA,
00000000000000001446_0,Cropland,2,55922880,1752,-18087,3983,-10325,3122,1794,-18525,3046,-10324,3084,LUCAS_polygon,NA,
000000000000000014bd_0,Cropland,2,56122836,1768,-20844,6851,-11787,11072,2022,-19384,4709,-9585,2920,LUCAS_polygon,NA,
00000000000000001c8c_0,Cropland,2,56102844,1758,-19669,7957,-11187,11285,1884,-18950,5079,-10056,2959,LUCAS_polygon,NA,
00000000000000001f09_0,Cropland,2,56182860,1729,-19446,4429,-11249,2769,1745,-19108,5075,-10950,3072,LUCAS_polygon,NA,
00000000000000001fa1_0,Cropland,2,56062880,2019,-20033,3832,-9923,3311,1651,-19185,3504,-11619,3564,LUCAS_polygon,NA,
00000000000000002261_0,Cropland,2,55862892,1695,-16719,3953,-9865,2968,2102,-18919,6214,-9001,7412,LUCAS_polygon,NA,
000000000000000025ba_0,Cropland,2,55862856,1775,-21377,5239,-12046,3192,1900,-20084,4456,-10569,2853,LUCAS_polygon,NA,
00000000000000002d07_0,Cropland,2,55822910,1743,-21255,9904,-12192,11092,1837,-21959,5925,-11954,3316,LUCAS_polygon,NA,
00000000000000003186_0,Cropland,2,55822914,1818,-18208,4355,-10015,11275,1685,-18281,4108,-10848,3032,LUCAS_polygon,NA,
00000000000000003244_0,Cropland,2,55902886,2134,-19137,9647,-8967,11833,1614,-18643,3028,-11550,3127,LUCAS_polygon,NA,
0000000000000000351f_0,Cropland,2,55982828,1688,-18684,4132,-11068,3217,1827,-18737,4784,-10255,3202,LUCAS_polygon,NA,
00000000000000003854_0,Cropland,2,56242836,1852,-16686,4026,-9010,3084,1686,-18085,3915,-10724,3223,LUCAS_polygon,NA,
000000000000000039a6_0,Cropland,2,56202866,1770,-18378,3887,-10382,3281,1959,-20064,4359,-10243,2871,LUCAS_polygon,NA,
00000000000000003af9_0,Cropland,2,56542838,1840,-16553,4422,-8998,3199,1878,-18714,4440,-9965,2929,LUCAS_polygon,NA,
00000000000000003b6d_0,Cropland,2,56082858,1813,-18536,4495,-10222,3231,1805,-18582,4340,-10297,3674,LUCAS_polygon,NA,
00000000000000003c6d_0,Cropland,2,55882884,1690,-18366,3995,-10868,2661,2052,-18364,3827,-8948,2215,LUCAS_polygon,NA,
00000000000000003f02_0,Cropland,2,56242830,1808,-20464,3669,-11319,2758,1959,-19881,4885,-10150,3096,LUCAS_polygon,NA,
00000000000000003ff8_0,Cropland,2,55922844,1629,-18621,4831,-11431,2707,1874,-18097,3515,-9658,2248,LUCAS_polygon,NA,
000000000000000040d6_0,Cropland,2,55822892,1754,-19259,5956,-10978,3404,1763,-18645,6540,-10573,3493,LUCAS_polygon,NA,
0000000000000000444e_0,Cropland,2,56122850,1993,-18775,4504,-9418,3812,1961,-18873,4133,-9623,3816,LUCAS_polygon,NA,
00000000000000004683_0,Cropland,2,55922866,1660,-18798,3519,-11327,3032,1744,-19537,3029,-11199,2334,LUCAS_polygon,NA,
0000000000000000c58e_0,Cropland,2,55922862,1774,-18516,4327,-10438,3231,1845,-18202,3888,-9865,2753,LUCAS_polygon,NA,
0000000000000000c881_0,Cropland,2,56462844,1957,-18869,3475,-9643,2433,1740,-17962,4325,-10325,2881,LUCAS_polygon,NA,
0000000000000000cfd5_0,Cropland,2,56082862,1935,-17909,5079,-9257,3202,1791,-18802,3720,-10496,3479,LUCAS_polygon,NA,
0000000000000000d3c2_0,Cropland,2,56162872,1858,-19666,5938,-10585,3573,1755,-19885,5410,-11328,2878,LUCAS_polygon,NA,
0000000000000000d63b_0,Cropland,2,55822898,1608,-18199,4268,-11321,2883,1900,-18696,4563,-9839,3237,LUCAS_polygon,NA,
0000000000000000d69e_0,Cropland,2,55922892,1780,-19288,4883,-10836,3013,1904,-19368,3880,-10175,2672,LUCAS_polygon,NA,
0000000000000000dbf8_0,Cropland,2,56002844,1666,-18879,5080,-11332,3029,1874,-19375,5930,-10339,2586,LUCAS_polygon,NA,
0000000000000000dca2_0,Cropland,2,55942824,2117,-17877,4190,-8446,2920,1858,-17499,3671,-9416,2413,LUCAS_polygon,NA,
0000000000000000dca4_0,Cropland,2,55842884,1901,-20397,5935,-10728,3514,2008,-20887,6331,-10402,3994,LUCAS_polygon,NA,
0000000000000000ddcb_0,Cropland,2,56302842,1749,-18224,3681,-10420,2545,1863,-18483,4226,-9923,2306,LUCAS_polygon,NA,
0000000000000000ddd1_0,Cropland,2,56242848,2114,-19878,4661,-9403,3070,1914,-20579,4999,-10754,2728,LUCAS_polygon,NA,
0000000000000000df6c_0,Cropland,2,55982884,1734,-17910,4347,-10328,3101,1878,-18870,4747,-10048,3182,LUCAS_polygon,NA,
0000000000000000e3cf_0,Cropland,2,55902908,1831,-17252,4558,-9423,2234,1781,-17306,3949,-9716,2521,LUCAS_polygon,NA,
0000000000000000e44a_0,Cropland,2,56162846,1961,-18907,5114,-9641,3200,2027,-19488,4781,-9614,3689,LUCAS_polygon,NA,
0000000000000000e80f_0,Cropland,2,55942864,1849,-19252,2929,-10414,3340,1759,-20530,3209,-11674,3029,LUCAS_polygon,NA,
0000000000000000eb3f_0,Cropland,2,55882862,1943,-17228,3845,-8868,2992,1724,-20232,3964,-11734,2412,LUCAS_polygon,NA,
0000000000000000ebd2_0,Cropland,2,55942860,1520,-19750,4143,-12995,2984,1584,-20647,4376,-13037,2824,LUCAS_polygon,NA,
0000000000000000ecab_0,Cropland,2,56262858,1856,-17699,3354,-9534,2536,2199,-18982,4707,-8631,2028,LUCAS_polygon,NA,
0000000000000000ecad_0,Cropland,2,55962874,1726,-22209,10501,-12868,11258,1496,-21150,4231,-14138,3190,LUCAS_polygon,NA,
0000000000000000eec9_0,Cropland,2,55902894,1555,-19802,8644,-12737,10523,1616,-16766,2531,-10372,2376,LUCAS_polygon,NA,
0000000000000000eee4_0,Cropland,2,56022858,2179,-20448,9822,-9384,11998,2006,-21747,6478,-10839,3664,LUCAS_polygon,NA,
0000000000000000f041_0,Cropland,2,56562836,1868,-17650,3896,-9447,2290,1805,-17951,3839,-9944,2735,LUCAS_polygon,NA,
0000000000000000f2cc_0,Cropland,2,56282854,1812,-19348,3200,-10675,2782,1720,-19363,3122,-11256,2812,LUCAS_polygon,NA,
0000000000000000f4e4_0,Cropland,2,55722922,1596,-19809,4097,-12412,2492,1631,-20909,5413,-12819,2578,LUCAS_polygon,NA,
0000000000000000f4ee_0,Cropland,2,55722918,1620,-18806,3549,-11607,2752,1641,-18292,4096,-11146,2707,LUCAS_polygon,NA,
0000000000000000f66f_0,Cropland,2,56062862,1955,-21271,5894,-10879,4133,1927,-20062,4802,-10412,4253,LUCAS_polygon,NA,
0000000000000000ff5b_0,Cropland,2,55842912,1650,-19594,7275,-11875,3700,1902,-18647,5251,-9803,3216,LUCAS_polygon,NA,
00000000000000010005_0,Cropland,2,55942854,1795,-18527,4265,-10321,3073,1911,-19373,4191,-10136,3453,LUCAS_polygon,NA,
000000000000000102b6_0,Cropland,2,55782892,1788,-18924,3759,-10586,2749,1745,-19968,3934,-11446,3055,LUCAS_polygon,NA,
0000000000000001097b_0,Cropland,2,55942872,1733,-19313,4053,-11146,2715,1970,-17726,3778,-8998,2351,LUCAS_polygon,NA,
000000000000000109ef_0,Cropland,2,55942836,1860,-15938,2537,-8570,2226,1979,-15260,2822,-7712,2706,LUCAS_polygon,NA,
00000000000000010f3a_0,Cropland,2,55962826,1677,-17266,3137,-10298,3172,1705,-16616,3043,-9744,2902,LUCAS_polygon,NA,
000000000000000112a4_0,Cropland,2,55762918,1630,-18569,3936,-11392,2440,1805,-19714,3413,-10924,2565,LUCAS_polygon,NA,
00000000000000011622_0,Cropland,2,55802902,1753,-19714,4728,-11249,2769,2205,-19146,5049,-8683,2995,LUCAS_polygon,NA,
0000000000000000ffdd_0,Woodland,3,55802884,1727,-13930,2345,-8067,2245,1676,-14527,2078,-8669,2014,LUCAS_polygon,NA,
0000000000000000071e_0,Grassland,5,56322844,1683,-23402,3149,-13905,2090,1528,-21190,3578,-13868,2505,LUCAS_polygon,NA,
00000000000000001704_0,Grassland,5,56062866,1633,-21448,5257,-13130,2719,1596,-23075,4615,-14460,2522,LUCAS_polygon,NA,
00000000000000002f7b_0,Grassland,5,56162836,1485,-20135,3325,-13560,2393,1538,-19638,3357,-12767,2367,LUCAS_polygon,NA,
000000000000000030a8_0,Grassland,5,56122842,1595,-23143,3630,-14511,2410,1682,-23148,5054,-13765,2609,LUCAS_polygon,NA,
000000000000000036c6_0,Grassland,5,56362842,1580,-16922,2549,-10709,2782,1475,-17672,3627,-11979,2481,LUCAS_polygon,NA,
00000000000000003cee_0,Grassland,5,55822888,1516,-22014,4151,-14523,2623,1512,-21094,5254,-13948,2585,LUCAS_polygon,NA,
0000000000000000433d_0,Grassland,5,55842898,1648,-22877,5111,-13886,2384,1720,-22624,5564,-13154,2816,LUCAS_polygon,NA,
0000000000000000474f_0,Grassland,5,55742916,1521,-20908,4096,-13749,2416,1999,-18285,2902,-9145,2427,LUCAS_polygon,NA,
0000000000000000cd9d_0,Grassland,5,55782910,1458,-19680,3664,-13501,2484,1523,-19070,2951,-12518,2215,LUCAS_polygon,NA,
0000000000000000d06e_0,Grassland,5,56102848,2101,-18577,2724,-8840,2720,1629,-20993,3525,-12884,2671,LUCAS_polygon,NA,
0000000000000000d20b_0,Grassland,5,56122824,1522,-20337,5326,-13362,2862,1763,-23828,6506,-13514,2475,LUCAS_polygon,NA,
0000000000000000dd0a_0,Grassland,5,56002880,1361,-19507,2727,-14331,1899,1558,-20393,3430,-13091,1826,LUCAS_polygon,NA,
0000000000000000df3c_0,Grassland,5,56222828,1740,-21437,3448,-12323,2139,1516,-22151,4507,-14616,2647,LUCAS_polygon,NA,
0000000000000000ea4f_0,Grassland,5,55882872,1696,-16750,2799,-9874,2153,1633,-17189,2428,-10529,2285,LUCAS_polygon,NA,
0000000000000000ec09_0,Grassland,5,55922848,1583,-22864,4632,-14446,2822,1570,-23735,3315,-15117,2422,LUCAS_polygon,NA,
0000000000000000edd4_0,Grassland,5,55902868,1480,-21691,4631,-14654,2719,1530,-23636,3761,-15445,2876,LUCAS_polygon,NA,
0000000000000000efcb_0,Grassland,5,56042838,1576,-21771,4281,-13813,2712,1686,-22671,4508,-13443,2579,LUCAS_polygon,NA,
0000000000000000f2df_0,Grassland,5,55982846,1527,-18115,3356,-11865,2693,1618,-21030,3476,-12995,2577,LUCAS_polygon,NA,
0000000000000000f44c_0,Grassland,5,56222838,1522,-20351,3553,-13374,2665,1936,-19806,3366,-10233,2195,LUCAS_polygon,NA,
0000000000000000f76f_0,Grassland,5,56182842,1736,-22516,4085,-12970,2606,1708,-23118,4669,-13533,3206,LUCAS_polygon,NA,
0000000000000000f788_0,Grassland,5,55802890,1518,-20547,3400,-13539,2128,1608,-21122,3545,-13135,2291,LUCAS_polygon,NA,
0000000000000001000f_0,Grassland,5,56182852,1518,-21327,3509,-14045,2270,1621,-22810,4413,-14071,2776,LUCAS_polygon,NA,
0000000000000001012e_0,Grassland,5,56162858,1576,-20141,4087,-12777,2338,1464,-19941,4004,-13618,2391,LUCAS_polygon,NA,
0000000000000001012f_0,Grassland,5,56222834,1778,-19690,3661,-11075,2454,1512,-20751,4650,-13724,3163,LUCAS_polygon,NA,
0000000000000001057e_0,Grassland,5,56142856,1641,-20771,3825,-12661,2806,1739,-22711,5806,-13058,2139,LUCAS_polygon,NA,
0000000000000001077e_0,Grassland,5,55942828,1507,-21707,3893,-14408,2628,1552,-22723,3761,-14642,2622,LUCAS_polygon,NA,
00000000000000010c56_0,Grassland,5,56402842,1574,-18940,2643,-12036,1808,1478,-18628,3160,-12599,2156,LUCAS_polygon,NA,
00000000000000010d5e_0,Grassland,5,56062830,1566,-18525,2751,-11826,2046,1525,-19196,3488,-12588,1923,LUCAS_polygon,NA,
00000000000000010f01_0,Grassland,5,56142844,1480,-20283,2538,-13708,2760,1641,-19989,4103,-12182,2586,LUCAS_polygon,NA,
00000000000000011313_0,Grassland,5,56002852,1446,-19181,4556,-13267,2537,1500,-20063,2998,-13373,1877,LUCAS_polygon,NA,
