system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009e23_0,Artificial land,1,36622084,1657000,1757000,1810000,1492000,1377000,79,-340,-365,-271,-221,-130,59,24,4,45,68,111,33,52,28,41,1994000,1795000,LUCAS_point,2466000,2074000,0.9975609756097561,
00000000000000009e29_0,Artificial land,1,36662068,1694000,1817000,2019000,1600000,1569000,81,-281,-329,-220,-89,76,50,22,-30,46,58,70,41,58,30,23,2130000,1928000,LUCAS_point,2270000,1720000,0.9943108974358974,
00000000000000009e44_0,Artificial land,1,36682082,2504000,2649000,2864000,1922000,1852000,58,-221,-242,-193,-160,-50,44,13,-13,22,29,58,22,22,24,22,2177000,2084000,LUCAS_point,2818000,2239000,0.9855268369974253,
00000000000000009e5a_0,Artificial land,1,36482076,2016000,2159500,2290000,1790250,1742000,69,-132,-159,-117,-53,81,53,25,4,38,50,77,26,41,80,30,2107000,1936000,LUCAS_point,2187000,1801000,0.9818978603235454,
00000000000000009e65_0,Artificial land,1,35742048,2442000,2593500,2728000,1908000,1973000,61,-222,-274,-166,-99,46,64,32,-13,51,68,113,38,52,39,50,2939500,2550500,LUCAS_point,3001000,2572500,0.9803683897801545,
00000000000000009e7e_0,Artificial land,1,36642080,1650000,1815000,1865500,1381000,1217000,64,-394,-440,-362,-306,-88,83,41,-23,50,58,90,50,51,59,43,1880000,1681500,LUCAS_point,2575000,2298000,0.9781582289892177,
00000000000000009ea2_0,Artificial land,1,36402106,1673000,1832667,1970500,1491500,1395500,68,-271,-320,-210,-150,24,72,51,-17,85,106,129,87,104,85,45,1903500,1573500,LUCAS_point,2248000,1965000,0.9746055738908075,
00000000000000009ec4_0,Artificial land,1,35982046,2202000,2407000,2585000,1527000,1444000,83,-405,-465,-381,-355,-276,79,44,-42,61,79,97,42,64,38,45,2088000,1858000,LUCAS_point,3261000,2600000,0.9713614507364507,
00000000000000009f06_0,Artificial land,1,35562038,2131333,2534500,2799000,1690667,1690000,68,-296,-334,-270,-218,-110,116,96,45,112,124,148,107,109,59,108,2614333,2114000,LUCAS_point,2910000,2231750,0.9654518021847932,
00000000000000009f31_0,Artificial land,1,36702070,2515000,2672500,2745000,2607500,2494500,68,-156,-240,-39,14,93,52,-43,-70,-25,26,72,-30,-35,27,14,2439500,2639500,LUCAS_point,2786000,2382500,0.9627884774660533,
00000000000000009f33_0,Artificial land,1,36642078,1433500,1672000,1869500,1241000,1055500,105,-329,-379,-279,-229,-99,127,52,-26,93,122,154,76,106,41,32,1477500,1249000,LUCAS_point,2066500,1586500,0.9625195495389183,
00000000000000009f34_0,Artificial land,1,36642066,1772000,2152500,2286000,1507000,1401000,85,-374,-398,-288,-141,-37,116,63,26,103,116,146,97,114,40,38,2322500,1892000,LUCAS_point,2482500,2022500,0.9624864328440766,
00000000000000009f46_0,Artificial land,1,36502058,1588000,1904000,2057000,1441000,1304000,65,-389,-434,-354,-270,-57,66,59,-32,70,92,134,67,73,29,72,1944000,1638000,LUCAS_point,2476000,1997000,0.9610805675916032,
00000000000000009f53_0,Artificial land,1,36582074,1474000,1728000,1944000,1503000,1289000,145,-189,-284,-119,4,190,59,28,-35,55,77,158,28,53,60,70,1394000,1295000,LUCAS_point,1784000,1317000,0.9603882239621404,
00000000000000009f64_0,Artificial land,1,36262052,1710333,1978250,2172000,1490000,1388000,63,-332,-380,-276,-222,-23,122,44,-2,84,131,170,57,123,29,37,2014500,1678000,LUCAS_point,2522500,2038500,0.9589876457105937,
00000000000000009fbf_0,Artificial land,1,36622082,1671000,1801000,1854500,1290500,1077500,116,-376,-423,-319,-277,-34,48,-35,-66,17,42,74,17,42,25,-41,1157000,1140000,LUCAS_point,2212500,1941500,0.9526611090001937,
0000000000000000a008_0,Artificial land,1,36482086,1574000,1758000,1873000,1448000,1260000,92,-309,-360,-276,-233,-160,131,46,-3,89,130,197,82,117,130,52,1539000,1276000,LUCAS_point,2145000,1899000,0.9478463990383494,
0000000000000000a073_0,Artificial land,1,36122060,1572333,2080250,2284500,1255500,1182250,77,-396,-430,-372,-340,-255,210,195,145,283,341,426,366,301,118,193,2274500,1261500,LUCAS_point,2612000,2000250,0.940381349412961,
0000000000000000a0c7_0,Artificial land,1,35842044,1844667,2004667,2134600,1484500,1387000,40,-261,-280,-241,-214,-164,62,32,8,47,64,89,46,47,19,37,1941600,1762500,LUCAS_point,2344250,1976000,0.9347550523490373,
0000000000000000a0e8_0,Artificial land,1,36442072,1698333,2187000,2489000,1430000,1367000,74,-302,-331,-276,-257,-70,180,160,124,183,201,244,192,172,92,195,2370250,1610500,LUCAS_point,2426667,1869000,0.9328403403403404,
0000000000000000a108_0,Artificial land,1,35802044,2979833,3061333,3227556,2491000,2670500,39,-83,-119,-41,-21,39,29,5,-5,17,29,43,15,7,18,25,3095333,2965400,LUCAS_point,2927500,2646500,0.931069657202054,
0000000000000000a164_0,Artificial land,1,36602062,1663000,1799000,1937000,1655000,1558000,44,-225,-232,-210,-187,-89,49,36,27,42,49,63,44,37,19,42,1855000,1682000,LUCAS_point,2365000,1958000,0.9251178426193665,
0000000000000000a17a_0,Artificial land,1,36242052,1988000,2249667,2487000,1540667,1478000,53,-360,-380,-336,-294,-234,134,93,61,108,125,151,104,100,111,98,2474000,1923000,LUCAS_point,2904400,2359500,0.9243731371299283,
0000000000000000a1d0_0,Artificial land,1,36682080,1702000,2114000,2330000,1490000,1435000,64,-300,-314,-266,-203,-18,124,83,58,105,135,160,127,102,82,84,2093000,1595000,LUCAS_point,2479000,1985000,0.9184784211171783,
0000000000000000a1d4_0,Artificial land,1,36422082,1913500,2420500,2728000,1384000,1418000,65,-349,-392,-323,-293,-215,189,168,101,196,221,237,211,197,60,171,2550000,1720000,LUCAS_point,2770500,2182500,0.918149476297696,
0000000000000000a304_0,Artificial land,1,36242060,1726000,2394000,2689000,1477000,1427000,86,-352,-392,-327,-294,-256,225,157,115,186,234,307,182,181,112,181,2412000,1578000,LUCAS_point,2803000,2150000,0.8984312592818426,
0000000000000000a367_0,Artificial land,1,36682072,1390500,1578000,1737500,1599000,1485500,57,-168,-197,-127,-83,41,64,38,7,59,72,109,62,68,92,22,1810000,1580500,LUCAS_point,1941000,1639500,0.8923364440843811,
0000000000000000a370_0,Artificial land,1,36702072,1459000,1805000,2035000,1505000,1323000,41,-220,-291,-195,-148,-80,67,44,15,65,105,223,105,79,141,49,1764000,1453000,LUCAS_point,1989000,1467000,0.8915104953052001,
0000000000000000a38c_0,Artificial land,1,36602084,1028000,1163000,1126000,1234000,923000,104,-226,-289,-197,12,98,56,-11,-74,20,41,84,26,31,49,-40,1017000,936000,LUCAS_point,1432000,1134000,0.8899745007638394,
0000000000000000a397_0,Artificial land,1,35402106,1654000,1880000,1993500,1446000,1446500,35,-266,-290,-237,-200,-157,108,65,34,90,110,134,100,90,30,62,1910000,1605000,LUCAS_point,2373500,1826500,0.889331970680655,
0000000000000000a3a9_0,Artificial land,1,34842036,2526000,2868000,3108000,1623000,1827000,58,-418,-428,-406,-382,-354,109,86,67,102,112,125,85,98,10,107,3000000,2440000,LUCAS_point,4327000,3714000,0.8880187648608701,
0000000000000000a3df_0,Artificial land,1,36562066,1201000,1867500,2089000,1401000,1318000,70,-183,-218,-83,11,107,192,66,-6,177,231,398,217,224,140,45,1954500,1240500,LUCAS_point,1518500,1057500,0.8843890620999891,
0000000000000000a3fa_0,Artificial land,1,35422106,1875000,2024000,2121000,1776000,1742000,71,-126,-140,-114,-99,-81,48,13,-20,27,47,71,14,30,44,27,2001000,1899000,LUCAS_point,2203000,1899000,0.8825492070466728,
0000000000000000a436_0,Artificial land,1,35682164,1286000,1912000,2164000,1394000,1305000,82,-242,-284,-204,-164,-14,141,117,38,190,241,299,280,201,120,73,1971000,1296000,LUCAS_point,2046000,1462000,0.8785305571288793,
0000000000000000a463_0,Artificial land,1,36322052,1623167,2157000,2387750,1332667,1212000,87,-390,-435,-350,-311,-142,237,178,125,222,284,359,219,277,66,174,2200000,1380000,LUCAS_point,2606000,1937500,0.8751108160258277,
0000000000000000a57f_0,Artificial land,1,35262012,4225000,4379000,4655000,3922000,4015000,86,-129,-170,-86,-15,136,8,-10,-32,3,17,44,-15,14,15,7,4426000,4287000,LUCAS_point,4446000,3698000,0.8547891758329348,
