system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009e3e_0,Artificial land,1,36162986,1863000,2164000,2278000,1830000,1882000,81,1,-54,56,113,228,64,-6,-41,10,50,148,5,10,131,6,2170000,2048000,LUCAS_point,1762000,1283000,0.9865390390390391,
00000000000000009e97_0,Artificial land,1,37283102,1213000,1327000,1401000,1427000,1206000,194,-185,-205,-172,-139,485,62,24,-116,48,62,81,30,34,19,68,1226000,1112000,LUCAS_point,1695000,1460000,0.9753946397696398,
00000000000000009ee3_0,Artificial land,1,36742966,1812000,1955000,2031000,2070000,1905000,93,-167,-222,-119,-96,77,21,-11,-34,8,26,93,-11,26,17,-7,2046000,1961000,LUCAS_point,2538000,2243000,0.9686336670812478,
00000000000000009f2e_0,Artificial land,1,37303098,1517500,1714000,1826000,1913000,1785500,154,-41,-98,36,127,347,55,0,-72,29,56,94,11,41,55,17,1953000,1886000,LUCAS_point,1731000,1358500,0.9630594895300778,
00000000000000009fe7_0,Artificial land,1,37523122,1414000,1768000,1936000,1446000,1245000,98,-275,-303,-240,-179,127,155,63,-23,106,135,194,99,115,55,21,1594000,1151000,LUCAS_point,2142000,1623000,0.9494362565272352,
00000000000000009ffb_0,Artificial land,1,36323202,1620000,1742000,1899000,1502000,1314000,126,-214,-242,-166,-118,262,51,-10,-115,24,47,82,15,25,115,-43,1382000,1293000,LUCAS_point,1908000,1616000,0.9484723128235549,
0000000000000000a089_0,Artificial land,1,36742962,1382000,1424500,1488000,1504500,1293500,171,-195,-266,-148,-110,271,22,-54,-97,-10,6,55,-34,4,48,-57,1093500,1115500,LUCAS_point,1742000,1695500,0.9391119224898878,
0000000000000000a0f9_0,Artificial land,1,36383198,1192500,1389500,1491000,1293000,1141500,87,-186,-210,-163,-69,116,241,101,7,139,203,306,105,146,107,218,1563500,1101500,LUCAS_point,1523000,1237000,0.9316448006105289,
0000000000000000a177_0,Artificial land,1,37583014,1418000,1737000,1935000,1222000,1084000,57,-395,-423,-369,-328,-245,203,116,72,145,172,256,120,146,100,120,1559000,1178000,LUCAS_point,2327000,1923000,0.9244684107109336,
0000000000000000a223_0,Artificial land,1,36303208,1002500,1172000,1253000,1284000,1051000,64,-95,-135,-43,68,179,83,22,-44,50,76,124,39,50,79,-9,1112000,982500,LUCAS_point,1182000,960000,0.9137624277382226,
