system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000008607_0,Grassland,5,35943872,1209000,3077000,3716000,1059000,977000,121,-376,-451,-339,-107,461,628,541,304,687,779,848,747,780,35,514,3627000,648000,LUCAS_point,1969000,891000,0.9891000227842333,
0000000000000000863d_0,Grassland,5,35943896,1179000,2413000,2840000,1067000,948000,127,-379,-423,-303,-148,277,581,531,353,581,674,811,598,621,14,525,2952000,715000,LUCAS_point,1797000,880000,0.988547434477667,
000000000000000086ab_0,Grassland,5,35843830,1114500,2903000,3564000,1021000,955500,88,-348,-388,-299,-201,430,752,547,296,728,761,821,745,743,24,529,3690000,561500,LUCAS_point,1772500,783000,0.9869263478818999,
000000000000000088cd_0,Grassland,5,36123890,1168500,3098500,4020500,1075500,972000,104,-371,-421,-318,-151,425,584,525,312,732,777,822,747,782,13,427,3845500,596000,LUCAS_point,1838500,793500,0.9809548683810086,
00000000000000008907_0,Grassland,5,36083886,1237500,3237000,4053500,1040000,995500,91,-385,-441,-345,-190,347,526,491,282,714,755,789,745,720,16,318,3896500,623000,LUCAS_point,2101500,925000,0.9803695253695254,
00000000000000008998_0,Grassland,5,35903850,1152000,2720000,3336000,1037000,963000,84,-356,-410,-319,-67,248,649,528,308,649,728,798,686,667,39,519,3352000,642000,LUCAS_point,1830000,863000,0.9784941520467836,
00000000000000005616_0,Cropland,2,36123892,1103000,2564000,2856000,1132000,994000,259,-312,-433,-223,-147,129,450,278,121,555,653,701,641,549,14,283,2735000,782000,LUCAS_polygon,1624000,846000,NA,
0000000000000000576a_0,Cropland,2,36023878,1177000,2479500,2979000,1045500,907000,128,-374,-437,-339,-126,617,471,462,90,579,641,691,596,651,35,396,2726000,717500,LUCAS_polygon,1806000,896500,NA,
00000000000000005adf_0,Cropland,2,35983888,1169000,2347000,2702000,1087000,990000,310,-331,-394,-287,-232,171,158,157,-6,508,711,780,745,618,54,46,2572000,749000,LUCAS_polygon,1869000,852000,NA,
0000000000000000aaa9_0,Cropland,2,35923870,1169000,1890000,2079000,1161500,1040000,289,-347,-405,-257,-178,213,149,140,102,202,607,788,290,741,94,124,2028500,876500,LUCAS_polygon,1597500,982000,NA,
0000000000000000b638_0,Cropland,2,36103894,1190000,1512000,1609000,1186000,1032000,202,-393,-430,-325,-56,469,237,166,-49,209,245,700,201,629,8,122,1646000,911000,LUCAS_polygon,1823000,1132000,NA,
