system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
0000000000000000a0c1_0,Artificial land,1,34983726,1973000,2078000,2190000,1995000,1778000,106,-232,-266,-164,-103,235,48,8,-46,22,41,86,14,23,83,3,1899000,1843000,LUCAS_point,2412000,2163000,0.9351757393606435,
0000000000000000a109_0,Artificial land,1,35023724,1032500,1320500,1456000,1638500,1299000,115,-93,-153,-50,9,516,75,37,-70,96,189,301,96,190,183,-14,1494000,1292500,LUCAS_point,1464000,1161500,0.9310157076560154,
0000000000000000a19d_0,Artificial land,1,34923520,2226000,2426000,2554000,2244000,2159000,87,-17,-51,22,105,343,64,14,-20,29,66,81,25,28,60,-11,2491000,2294000,LUCAS_point,2234500,1695000,0.9221612313590243,
0000000000000000a259_0,Artificial land,1,34603524,1116500,1159000,1254000,1294500,1034000,85,-163,-212,-125,-67,174,56,25,-46,45,64,86,30,59,12,21,1098000,978500,LUCAS_point,1364500,1136500,0.9102135702777493,
0000000000000000a400_0,Artificial land,1,34343726,1419000,1624000,1765500,1616500,1394000,116,-85,-105,-30,53,356,42,7,-43,33,68,131,28,55,105,-40,1574000,1432500,LUCAS_point,1580500,1226500,0.8821650625669291,
0000000000000000a538_0,Artificial land,1,35043610,1456000,1836000,1949000,1972000,1770000,83,-124,-150,-93,-62,31,29,15,-8,45,84,127,52,61,102,15,1953000,1756000,LUCAS_point,2075000,1929000,0.8592803710731645,
0000000000000000a544_0,Artificial land,1,34283726,1016000,1313000,1415000,1255000,1038000,88,-227,-277,-152,-26,322,181,89,14,139,176,241,104,174,94,86,1301000,984000,LUCAS_point,1334000,1043000,0.858613301592025,
000000000000000060a1_0,Woodland,3,34143638,625500,1407000,1624000,921500,706500,80,8,-80,189,442,645,633,485,216,616,669,716,617,697,18,500,1739500,401500,LUCAS_point,458000,177000,1,
00000000000000008ab8_0,Shrubland,4,35243626,955000,1507000,1748000,1059500,786000,176,-426,-487,-367,24,634,445,340,132,453,520,603,505,556,12,340,1820000,622500,LUCAS_point,1565500,811500,0.730041455041455,
00000000000000008bb3_0,Shrubland,4,35063698,1063000,2017500,2265500,1055000,774000,203,-432,-553,-320,508,856,420,119,-44,430,586,663,539,663,32,119,2207500,654500,LUCAS_point,1464000,772000,0.6581715115344873,
00000000000000008c14_0,Shrubland,4,35003700,1045500,1954000,2302500,983500,746000,186,-444,-539,-295,319,786,464,266,31,475,584,628,579,592,11,81,2192000,617000,LUCAS_point,1476500,802000,0.639077587652684,
00000000000000008c19_0,Shrubland,4,35323644,991000,1538000,1817000,1046500,811500,182,-415,-482,-236,-46,818,430,309,-11,402,490,531,445,503,13,329,1872000,708500,LUCAS_point,1415500,707000,0.638452590524062,
00000000000000008c23_0,Shrubland,4,35063638,889500,1342000,1556000,1060000,750500,145,-409,-466,-275,12,664,413,254,-77,375,484,573,379,539,31,216,1519000,627500,LUCAS_point,1295500,800500,0.6367609068070091,
00000000000000008c29_0,Shrubland,4,35203628,961000,1578000,1862000,1069000,776000,172,-396,-448,-295,73,709,385,314,113,417,514,583,509,565,27,339,1883000,647000,LUCAS_point,1456000,732000,0.6359661278122724,
