system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
000000000000000082ad_0,Bare land,6,58342672,1614500,2030500,2247500,1315500,1245000,127,-426,-436,-412,-387,-186,238,187,122,243,272,315,198,268,41,137,2241000,1332000,LUCAS_point,3053000,2341500,0.016477686150861023,
000000000000000082d9_0,Bare land,6,58362668,1337500,2012000,2330000,1179500,1098000,134,-450,-465,-431,-416,-181,384,241,127,329,383,437,224,373,97,154,2288000,1096500,LUCAS_point,2805500,1868500,0.011119691119691119,
000000000000000093e8_0,Water,7,58422646,487000,574000,593000,855000,638000,135,147,19,244,297,407,82,-8,-129,104,213,308,-8,199,211,-108,523000,434000,LUCAS_point,394000,202000,0.6830783636356392,
0000000000000000943b_0,Water,7,58162642,535000,618000,638000,895000,717000,102,295,83,446,663,882,-113,-182,-396,133,201,324,183,195,246,-318,608000,471000,LUCAS_point,247000,135000,0.5707103462032335,
0000000000000000943d_0,Water,7,58242630,999500,848000,970500,1233500,1169500,226,-75,-154,630,765,874,-286,-281,-347,-137,141,250,221,71,156,-314,836000,1044000,LUCAS_point,219000,138000,0.5672103586030788,
00000000000000009b66_0,Wetland,8,58382654,929000,1706000,2019000,918000,857000,124,-306,-340,-265,-8,384,113,149,-29,573,652,709,503,662,20,183,2048000,554000,LUCAS_point,1522000,638000,0.65853796672211,
00000000000000009b79_0,Wetland,8,58462630,933500,1556500,1847500,917000,833500,124,-307,-372,-255,-83,409,112,177,-33,512,609,665,432,609,36,149,1882000,598500,LUCAS_point,1526000,673500,0.6502540171788749,
00000000000000009b7a_0,Wetland,8,58262668,948500,1693000,1997500,991000,924500,157,-303,-357,-242,53,223,88,97,35,477,704,739,573,712,33,104,1925500,638000,LUCAS_point,1495500,686500,0.649994741341328,
00000000000000009bb5_0,Wetland,8,58322632,1093000,2240500,2625500,928500,933000,164,-294,-324,-282,-180,402,204,204,-85,609,706,746,489,709,36,136,2660000,557500,LUCAS_point,1676000,725500,0.6329799104243301,
00000000000000009bda_0,Wetland,8,58322634,903000,1541000,1848000,994000,858000,127,-312,-393,-255,-95,242,125,157,66,290,495,532,327,495,27,183,1873000,741000,LUCAS_point,1447000,818000,0.6219202933756541,
00000000000000009c3a_0,Wetland,8,58462648,1001000,2026000,2502000,948000,880000,151,-328,-363,-268,-74,58,290,210,31,590,658,715,534,643,23,122,2354000,625000,LUCAS_point,1624000,714000,0.5932535164603476,
00000000000000009ca4_0,Wetland,8,58442664,903000,1453000,1689000,935000,856000,139,-302,-348,-185,129,249,65,80,-45,439,551,628,333,556,17,56,1720000,613000,LUCAS_point,1354000,652000,0.5619798729298088,
00000000000000009cbf_0,Wetland,8,58202676,1006500,1631000,1819000,1047000,950500,154,-311,-354,-220,134,357,119,136,55,419,573,720,464,645,62,105,1915000,729000,LUCAS_point,1495000,720500,0.5534319875108404,
00000000000000009d22_0,Wetland,8,58202636,971000,1785000,2111000,1029000,912000,149,-318,-405,-272,-25,97,213,203,135,560,689,745,466,690,23,135,2210000,660000,LUCAS_point,1694000,724000,0.5287326768995575,
00000000000000009d87_0,Wetland,8,58222650,1077000,1969000,2406000,998000,923000,185,-361,-424,-312,-233,-20,237,239,166,540,644,691,540,651,18,186,2443000,779000,LUCAS_point,1713000,766000,0.5006235742473009,
00000000000000009dfe_0,Wetland,8,58362628,976000,2216500,2760500,964500,904500,147,-309,-342,-286,-170,176,534,372,143,607,700,746,511,685,47,178,2623500,622500,LUCAS_point,1574500,715000,0.46626784112249225,
0000000000000000d0f0_0,Cropland,2,58102666,1188000,2514000,2986000,1067000,997000,224,-418,-446,-391,-365,557,634,375,22,537,680,784,375,560,81,130,2961000,833000,LUCAS_polygon,2231000,1328000,NA,
