system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009f62_0,Artificial land,1,34923482,2005000,2291000,2341000,2110000,1973000,125,-27,-97,6,82,432,38,5,-73,16,45,121,16,17,22,5,2299000,2102000,LUCAS_point,1897000,1436000,0.9592176661990491,
00000000000000009f72_0,Artificial land,1,34623446,1685000,1741000,1830500,1674000,1552500,109,-199,-234,-169,-136,245,7,-24,-92,-3,11,32,-6,-3,19,-17,1575000,1566000,LUCAS_point,2253500,2045000,0.9584281652563511,
00000000000000009fd3_0,Artificial land,1,35183478,1531000,1705000,1802500,2056500,1883500,71,-78,-100,-33,33,326,80,33,-35,69,90,152,65,80,76,20,2219500,1844000,LUCAS_point,2002500,1793000,0.9509298384488138,
0000000000000000a062_0,Artificial land,1,34683428,1862000,1998000,2148000,2182000,2268000,139,46,-45,83,182,513,63,46,-43,59,76,102,47,62,20,63,2839000,2462000,LUCAS_point,1897000,1535000,0.941339091034213,
0000000000000000a06b_0,Artificial land,1,35063444,1514500,1630500,1781500,1598500,1571000,108,-47,-86,-17,74,453,56,18,-94,34,52,99,-14,39,90,41,1859500,1756500,LUCAS_point,1562000,1413000,0.9408526789118894,
0000000000000000a11b_0,Artificial land,1,34943452,1614000,1711000,1873000,1552000,1313000,76,-213,-292,-173,-83,-12,110,40,-19,49,77,112,-6,63,123,40,1649000,1366000,LUCAS_point,1967000,1660500,0.9298466627878392,
0000000000000000a157_0,Artificial land,1,35123456,1041000,1159000,1203000,1335000,1066000,102,-92,-166,-71,-13,388,100,55,-124,69,105,250,19,106,36,75,1269000,1021000,LUCAS_point,1281000,1151000,0.9260634229666185,
0000000000000000a1ac_0,Artificial land,1,33723262,1074000,1268500,1394000,1191500,960000,147,-197,-220,-170,14,532,104,59,-59,79,124,191,69,86,98,-27,1174500,993000,LUCAS_point,1377500,1035000,0.9209565243984961,
0000000000000000a217_0,Artificial land,1,34903480,1447000,1576000,1691000,1500000,1314500,88,-187,-206,-161,-65,168,79,37,-20,56,73,139,34,57,49,25,1543000,1375000,LUCAS_point,1887000,1592000,0.9142470111213439,
0000000000000000a287_0,Artificial land,1,34663452,2208000,2242000,2193000,2340000,2003000,158,-161,-260,-100,58,389,1,-50,-102,-11,23,73,-14,11,66,-52,2214000,2230000,LUCAS_point,2531000,2360000,0.9075429411640054,
