system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009f08_0,Artificial land,1,53662648,1556000,1821000,1990000,1455000,1276000,105,-234,-258,-207,-161,290,68,39,-8,62,79,130,54,72,70,35,1717000,1488000,LUCAS_point,1982000,1653000,0.9653235391347914,
0000000000000000a039_0,Artificial land,1,54302712,1991000,2240000,2444000,1862000,2008000,126,-184,-212,-126,-58,153,74,50,24,74,94,167,66,90,51,31,2669000,2280000,LUCAS_point,2638000,2154000,0.9441716546650757,
0000000000000000a3a0_0,Artificial land,1,54162626,1487000,2045000,2338000,1313000,1179500,187,-366,-406,-327,-225,354,177,105,9,248,331,424,190,363,121,3,2205500,1178500,LUCAS_point,2289000,1762500,0.8886064722550044,
0000000000000000a419_0,Artificial land,1,53582726,1458000,1904000,2086000,1260000,1180000,135,-365,-393,-323,-280,-19,170,115,40,156,180,216,114,176,51,-22,1855000,1343000,LUCAS_point,2320000,1887000,0.8808843356376563,
0000000000000000a49b_0,Artificial land,1,54142622,1192000,1634500,1819500,1226000,1040500,189,-333,-419,-268,-226,418,195,106,3,204,265,308,175,277,85,49,1501500,982000,LUCAS_point,1842500,1428500,0.8708944151823409,
0000000000000000a4e7_0,Artificial land,1,54142626,1336000,1747500,1842500,1243500,1136000,195,-325,-350,-285,-180,465,208,86,-3,202,259,325,121,289,83,24,1801500,1117000,LUCAS_point,1992500,1589000,0.8650325973182097,
0000000000000000a536_0,Artificial land,1,53822524,1304000,1767000,1985000,1263000,1054000,163,-347,-497,-285,-184,94,102,65,-48,126,155,199,112,152,126,-28,1243000,996000,LUCAS_point,1807000,1373000,0.8593273166514154,
0000000000000000a543_0,Artificial land,1,54382536,1511000,2116500,2419000,1401000,1351500,146,-310,-389,-287,-244,433,240,162,13,235,293,335,178,285,52,13,2262000,1372000,LUCAS_point,2469000,1937500,0.8586748893242951,
00000000000000007a2a_0,Woodland,3,52702750,870000,2247000,3106000,896000,790000,153,-399,-440,-326,-233,-116,821,437,253,753,795,852,538,785,11,251,3186000,486000,LUCAS_point,1598000,636000,1,
00000000000000007a59_0,Woodland,3,52822704,666000,1683500,2103000,842000,649000,72,-163,-210,-117,94,470,557,499,161,617,678,745,651,666,38,161,2043500,415000,LUCAS_point,847500,371500,1,
00000000000000007a65_0,Woodland,3,52862686,733500,1712000,2170500,834000,679500,110,-251,-311,-191,-151,328,617,526,110,628,671,756,628,658,57,87,2110000,452500,LUCAS_point,1103500,502500,1,
00000000000000007a66_0,Woodland,3,52862718,675000,1611500,1993500,872000,691500,132,-159,-192,-135,38,742,382,382,101,574,608,634,612,573,35,228,1950000,506500,LUCAS_point,948000,420000,1,
00000000000000007a95_0,Woodland,3,53002642,772000,2004000,2553000,873000,738000,126,-337,-420,-261,-100,264,734,433,97,705,766,811,488,761,13,105,2419000,453000,LUCAS_point,1302000,532000,1,
00000000000000007a9b_0,Woodland,3,53022540,680000,1460000,1836000,871000,648000,100,-212,-312,-138,40,500,615,414,226,600,671,703,561,671,61,390,1669000,435000,LUCAS_point,844000,388000,1,
00000000000000007aa2_0,Woodland,3,53042628,915000,2252000,2847000,913000,804000,212,-383,-429,-364,-325,-129,729,456,177,692,739,799,603,734,20,200,2657000,524000,LUCAS_point,1695000,697000,1,
00000000000000007aa6_0,Woodland,3,53062690,602000,1094000,1310000,832000,669000,95,-31,-122,140,355,821,571,337,77,530,582,648,463,558,25,77,1255000,430000,LUCAS_point,495000,233000,1,
00000000000000007aad_0,Woodland,3,53082592,742500,2026500,2506500,860000,692000,144,-363,-420,-274,22,536,777,244,31,741,789,828,550,782,12,45,2542500,416000,LUCAS_point,1257000,517000,1,
00000000000000007ab5_0,Woodland,3,53102564,500500,1164500,1439500,797500,595000,63,2,-74,95,357,778,603,445,53,590,657,684,593,629,38,422,1474000,355000,LUCAS_point,481000,207500,1,
00000000000000007ab6_0,Woodland,3,53102620,752000,1913000,2332500,884000,719500,202,-344,-391,-301,-241,25,726,390,120,686,744,772,422,730,22,70,2301500,454500,LUCAS_point,1385500,586000,1,
00000000000000007aca_0,Woodland,3,53162682,625000,1578000,1940000,812000,653000,85,-138,-190,-78,259,526,605,511,282,641,710,769,625,739,23,264,1918000,398000,LUCAS_point,683500,300000,1,
00000000000000007ad6_0,Woodland,3,53202688,585000,1230000,1453000,783000,603000,92,-27,-116,72,354,749,551,327,173,551,603,640,583,356,12,171,1389000,396000,LUCAS_point,543000,226000,1,
00000000000000007ade_0,Woodland,3,53222698,668000,1548500,1894000,825000,663000,86,-191,-215,-133,-6,564,522,467,204,577,633,680,611,599,40,297,1775500,417500,LUCAS_point,804000,355000,1,
00000000000000007af2_0,Woodland,3,53262546,833000,1507000,1670500,893000,728500,135,-302,-394,-236,175,463,377,328,166,514,661,746,441,668,34,298,1692500,550500,LUCAS_point,1173500,559000,1,
00000000000000007af9_0,Woodland,3,53282720,765000,1923000,2300000,880000,738000,165,-356,-381,-316,-255,476,640,391,87,640,707,755,615,682,19,73,2232000,480000,LUCAS_point,1377000,593000,1,
00000000000000007b03_0,Woodland,3,53302674,530500,1054000,1286000,843000,605500,94,-64,-151,41,277,765,522,362,4,559,648,700,467,643,36,4,1270000,362500,LUCAS_point,553500,244000,1,
00000000000000007b08_0,Woodland,3,53322608,766500,2035500,2560750,887500,739600,101,-303,-353,-250,-200,158,734,539,301,704,747,784,631,742,19,301,2633750,466583,LUCAS_point,1247000,528000,1,
00000000000000007b10_0,Woodland,3,53342706,551000,1408000,1902000,814000,628000,151,-239,-329,-40,226,846,717,136,-130,639,741,807,340,732,23,-130,1923000,391000,LUCAS_point,889000,350000,1,
00000000000000007b1a_0,Woodland,3,53382554,716500,1531000,1767500,874500,690000,110,-277,-378,-225,224,426,535,378,264,541,717,796,556,711,34,288,1679000,443500,LUCAS_point,975000,436500,1,
00000000000000007b20_0,Woodland,3,53402586,669000,1570000,1976000,838000,663000,111,-280,-341,-157,167,629,728,306,-35,613,751,802,455,743,19,30,1932000,397000,LUCAS_point,942000,401000,1,
00000000000000007b38_0,Woodland,3,53482552,588500,1301500,1584000,819000,649000,86,-189,-326,-76,210,656,610,303,42,630,717,780,485,717,34,42,1646000,404000,LUCAS_point,776500,337500,1,
00000000000000007b58_0,Woodland,3,53722604,605000,1380000,1722500,806500,650500,65,-49,-121,25,226,616,594,450,319,609,656,687,649,628,40,404,1815000,406000,LUCAS_point,572000,253000,1,
00000000000000007b59_0,Woodland,3,53742586,622000,1176500,1355500,826500,644500,83,-79,-135,-33,47,541,512,476,188,536,573,618,559,554,14,370,1418000,432500,LUCAS_point,651000,310500,1,
00000000000000007b5c_0,Woodland,3,53762626,791667,1895333,2437500,905500,744429,223,-370,-433,-339,-302,1,749,340,196,673,749,807,583,689,14,204,2371000,487000,LUCAS_point,1434000,579000,1,
00000000000000007b67_0,Woodland,3,53842560,709500,1873500,2329500,854500,676000,100,-229,-315,-183,62,424,669,536,179,682,718,793,643,743,90,502,2304000,412500,LUCAS_point,936000,424000,1,
00000000000000007b6c_0,Woodland,3,53942612,700000,1595000,1881000,845000,700000,58,-186,-231,-137,67,521,569,476,275,599,688,746,574,690,21,391,1970000,456000,LUCAS_point,838000,363500,1,
00000000000000007b70_0,Woodland,3,53982606,646000,1529000,1940000,830000,617000,43,-118,-185,-74,381,639,642,374,270,625,650,676,604,631,17,316,1743000,403000,LUCAS_point,639000,305000,1,
00000000000000007b78_0,Woodland,3,54082608,744000,1933000,2346000,824500,682500,98,-234,-355,-142,477,740,613,389,229,616,720,764,682,646,71,252,2300500,457000,LUCAS_point,801000,385000,1,
00000000000000007b7a_0,Woodland,3,54102590,630000,1478000,1786000,778000,624000,102,-164,-433,-69,41,586,552,552,357,640,695,768,627,704,48,386,1815000,383000,LUCAS_point,776000,311000,1,
00000000000000007b81_0,Woodland,3,54222754,862000,2017000,2647000,944000,790000,195,-355,-419,-303,-182,327,699,300,124,663,740,794,630,710,20,84,2484000,526000,LUCAS_point,1470000,654000,1,
00000000000000007b85_0,Woodland,3,54382674,862000,2173000,2639000,893000,769000,204,-362,-395,-318,-236,477,716,311,87,685,753,797,461,742,33,173,2590000,484000,LUCAS_point,1481000,660000,1,
00000000000000007b8d_0,Woodland,3,54522558,867000,2443000,3104000,894000,770000,217,-401,-461,-362,-328,242,522,502,122,710,764,809,592,753,14,80,2907000,489000,LUCAS_point,1593000,635000,1,
