system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
0000000000000000a2c1_0,Artificial land,1,57261954,1829000,2153600,2393000,1351000,1291333,82,-460,-479,-435,-409,-123,155,123,96,146,166,187,146,142,19,137,2363500,1755500,LUCAS_point,3337333,2807250,0.9029240508760882,
0000000000000000a50f_0,Artificial land,1,57461928,1622500,2278500,2634000,1559500,1461500,60,-294,-353,-271,-229,-145,139,106,84,133,152,177,119,139,130,89,2203000,1671500,LUCAS_point,2564500,1878500,0.861944174728186,
00000000000000008a6d_0,Shrubland,4,57221860,1894500,2363833,2617250,1634750,1650000,47,-363,-378,-350,-323,-261,233,171,143,199,223,265,190,180,21,224,2715000,1782500,LUCAS_point,3419500,2275000,0.7698680780641731,
00000000000000008a7b_0,Shrubland,4,57221858,1588500,1901000,2075000,1420667,1361333,69,-389,-405,-363,-292,-126,208,151,130,166,186,248,170,157,9,146,2084333,1435500,LUCAS_point,2954500,2023000,0.762420536903896,
00000000000000008a9b_0,Shrubland,4,57201854,1773750,2138000,2329400,1434000,1416500,60,-420,-432,-408,-394,-271,220,155,121,172,210,241,186,156,6,186,2343833,1617000,LUCAS_point,3399000,2454667,0.7419567644235576,
00000000000000008aaa_0,Shrubland,4,56801862,1557000,1933500,2190750,1299667,1206500,77,-400,-416,-376,-350,-246,313,170,142,198,290,340,169,181,14,293,2105333,1385667,LUCAS_point,2671833,1701000,0.7354271659333219,
00000000000000008ad3_0,Shrubland,4,57161858,1891333,2390200,2634000,1438500,1449000,50,-420,-432,-409,-388,-287,257,208,186,222,241,277,219,214,38,225,2613333,1634667,LUCAS_point,3384000,2522000,0.7218909834427075,
00000000000000008b3a_0,Shrubland,4,57161840,1355333,1670000,1848000,1299000,1201500,69,-318,-334,-299,-162,31,248,171,130,186,206,294,173,183,20,189,1803000,1210667,LUCAS_point,2089500,1450000,0.6876646664953695,
00000000000000008b6f_0,Shrubland,4,57221850,1829333,2276000,2504000,1573000,1576333,62,-389,-408,-373,-319,-188,224,181,131,210,249,277,225,187,97,251,2759000,1782333,LUCAS_point,3348333,2424600,0.6729821872591273,
00000000000000008b98_0,Shrubland,4,57121862,1545750,2000750,2234000,1255250,1218250,96,-385,-404,-361,-335,-279,345,175,159,195,288,414,195,173,20,352,2166500,1366917,LUCAS_point,2600000,1730500,0.6642502456042354,
00000000000000008bb4_0,Shrubland,4,57201840,2059000,2433500,2706500,1527000,1568000,61,-403,-421,-393,-384,-192,217,132,118,153,212,269,141,135,7,229,2633000,1922500,LUCAS_point,3600000,2505000,0.6575240290923942,
00000000000000008be7_0,Shrubland,4,57181834,1759500,2345500,2677000,1457400,1423500,41,-415,-427,-403,-379,-235,294,223,207,244,279,314,225,230,26,270,2535333,1481750,LUCAS_point,3238500,2224250,0.6462315970828487,
