system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
0000000000000000a1a6_0,Artificial land,1,34102850,1093500,1240500,1342500,1330500,1082500,98,-256,-287,-222,-203,-90,144,79,36,123,134,200,102,107,113,187,1285500,1026000,LUCAS_point,1765000,1369500,0.9213370888370889,
0000000000000000a211_0,Artificial land,1,33702894,1084000,1268000,1291000,1496000,1263000,152,-117,-214,-6,125,295,81,1,-24,43,70,104,10,50,54,20,1266000,1144000,LUCAS_point,1250000,1118000,0.9146091256584064,
0000000000000000a255_0,Artificial land,1,33222830,1209000,1419000,1586000,1282000,1074000,55,-375,-402,-354,-312,-219,205,146,58,167,189,217,146,177,38,159,1420000,1013000,LUCAS_point,2271000,1788000,0.9105403972331968,
0000000000000000a388_0,Artificial land,1,33822904,1121000,1439000,1629000,1301000,1100000,71,-305,-341,-270,-184,-66,236,154,74,200,227,310,174,217,127,152,1685000,1075000,LUCAS_point,1966000,1376000,0.8901154246270525,
0000000000000000a3b3_0,Artificial land,1,32562914,1235500,1429000,1517000,1337000,1090500,142,-141,-217,-93,141,796,171,76,-50,155,233,401,75,233,62,72,1379500,966000,LUCAS_point,1385000,1088500,0.887348646098646,
0000000000000000a3c3_0,Artificial land,1,33162930,1461500,1694000,1848500,1491000,1388000,152,-210,-233,-192,-130,566,122,69,38,89,121,176,71,82,41,79,1722500,1448000,LUCAS_point,2101500,1680500,0.8865596693543643,
0000000000000000a457_0,Artificial land,1,33682908,1438000,1869000,2046000,1482000,1399000,144,-306,-361,-231,-110,104,244,135,49,213,252,295,177,245,55,129,2036000,1337000,LUCAS_point,2183000,1741000,0.8759344288504055,
00000000000000006089_0,Woodland,3,32842868,701000,1918500,2579000,918000,752000,79,-208,-252,-119,-73,338,686,640,303,733,771,803,710,780,32,436,2753500,439000,LUCAS_point,990500,394000,1,
0000000000000000608e_0,Woodland,3,33302852,835000,1918000,2374000,907000,727000,126,-374,-413,-329,-242,24,701,451,327,647,729,769,639,732,18,413,2238000,486000,LUCAS_point,1464000,618000,1,
0000000000000000608f_0,Woodland,3,33462884,853500,2506000,3370000,931000,796500,141,-322,-366,-273,-184,273,709,507,297,709,780,806,702,791,34,420,3151000,505000,LUCAS_point,1324500,561000,1,
00000000000000006090_0,Woodland,3,33522876,760000,2115000,2809000,921000,758000,137,-299,-372,-262,-218,53,732,507,307,715,778,822,684,799,17,474,2959000,503000,LUCAS_point,1292000,510000,1,
00000000000000006091_0,Woodland,3,33582830,706500,1702000,2173500,910500,713000,109,-238,-307,-217,-112,161,529,480,416,668,711,747,676,720,19,436,2209500,459500,LUCAS_point,1058000,448000,1,
00000000000000006092_0,Woodland,3,33662826,640000,1502000,1834000,952000,735000,118,-258,-331,-171,15,393,555,432,348,656,715,796,653,771,40,425,2327000,493000,LUCAS_point,987000,407000,1,
00000000000000006093_0,Woodland,3,33762888,671000,1694000,2196000,933000,730000,125,-276,-350,-194,-83,74,530,479,397,675,766,807,683,781,54,449,2299000,471000,LUCAS_point,1076000,409000,1,
00000000000000006095_0,Woodland,3,33802808,693500,1595000,1824000,903000,689000,70,-269,-309,-139,-5,451,462,566,322,602,619,646,598,627,57,521,1955000,463500,LUCAS_point,895000,414500,1,
00000000000000006099_0,Woodland,3,33942798,749000,1819000,2200000,918000,701000,168,-301,-344,-261,-197,-143,446,444,249,555,687,734,510,706,51,305,1694000,456000,LUCAS_point,1142000,541000,1,
0000000000000000609a_0,Woodland,3,34082834,878000,1663000,1939000,964000,815000,157,-340,-369,-284,-131,334,442,414,280,533,713,783,507,779,53,447,2187000,575000,LUCAS_point,1519000,594000,1,
00000000000000008516_0,Grassland,5,33642908,1205000,2437000,2923000,1080000,973000,145,-454,-491,-374,-283,34,698,520,418,571,698,746,545,462,22,717,2994000,738000,LUCAS_point,2110000,998000,0.9920906432748537,
00000000000000008762_0,Grassland,5,33562882,1226500,2658000,3276000,1071500,998000,137,-423,-466,-336,-277,67,785,537,429,641,718,814,546,575,34,669,3432500,724500,LUCAS_point,2020500,1017000,0.985113815641199,
00000000000000008859_0,Grassland,5,33282828,1311000,2609000,3080000,1145000,1050000,145,-439,-468,-355,-298,-157,699,470,355,544,667,728,479,487,22,676,3072000,836000,LUCAS_point,2251000,1131000,0.9821617027063784,
00000000000000008994_0,Grassland,5,34082886,1171500,2517500,3105000,1057000,943000,165,-439,-481,-346,-252,22,668,505,360,580,691,798,530,539,39,774,3029500,709500,LUCAS_point,2040000,974500,0.9785110677852613,
000000000000000081d2_0,Bare land,6,32742850,2236000,2788000,3172000,1377000,1339000,86,-467,-490,-451,-419,-256,301,280,216,308,351,379,296,351,93,283,2722000,1387000,LUCAS_point,3569000,2377000,0.050347288375539145,
00000000000000008355_0,Bare land,6,33702882,1008000,2071000,2453000,1049000,911000,117,-339,-372,-307,-250,172,489,408,210,476,543,666,487,501,144,307,2337000,766000,LUCAS_point,1731000,868000,0,
00000000000000009315_0,Water,7,33642858,609000,817000,971000,974000,727000,172,32,-71,97,219,488,190,-20,-110,46,96,256,-17,64,205,-14,514000,500000,LUCAS_point,583000,297000,0.883384215508454,
00000000000000009365_0,Water,7,33362818,543000,482000,537000,1066000,835000,163,310,134,526,686,812,-72,-210,-322,-130,-17,268,-160,-89,136,-211,414000,546000,LUCAS_point,244000,147000,0.8174531500259943,
0000000000000000948f_0,Water,7,33682848,813000,965000,1080500,1047000,811000,147,-72,-145,172,259,532,219,68,18,192,415,607,430,234,127,69,770000,565000,LUCAS_point,692500,437000,0.4560613860613861,
0000000000000000b8e9_0,Artificial land,1,33182914,1435000,1912000,2198000,1371000,1344000,124,-356,-404,-303,-192,176,237,214,151,226,239,274,215,227,116,205,2419000,1461000,LUCAS_polygon,2506000,1715000,NA,
00000000000000004a5f_0,Cropland,2,33822874,1166500,1912000,2237500,1123500,992500,165,-407,-456,-242,-141,51,528,335,98,440,477,627,445,391,24,448,2156500,828500,LUCAS_polygon,1737000,1086000,NA,
00000000000000004aee_0,Cropland,2,32942926,1156000,2111000,2445000,1071000,952000,316,-438,-465,-363,-307,-76,180,177,140,383,602,786,364,736,19,457,2388000,896000,LUCAS_polygon,1966000,1147000,NA,
00000000000000004af1_0,Cropland,2,33942800,1166000,2195000,2580000,1068000,983000,249,-316,-435,-219,-180,-35,632,234,186,366,606,770,366,236,45,587,2445000,798000,LUCAS_polygon,1509000,784000,NA,
00000000000000004af4_0,Cropland,2,33182896,1139000,2006000,2524000,1074000,980000,377,-405,-472,-331,-179,83,231,193,115,247,735,837,180,813,19,730,2333000,780000,LUCAS_polygon,1916000,987000,NA,
00000000000000004b5d_0,Cropland,2,33602938,1403500,2265500,2537000,1247000,1127500,309,-403,-438,-320,-269,173,178,182,156,234,598,800,197,784,11,336,2547000,1171000,LUCAS_polygon,2131000,1334000,NA,
00000000000000004b63_0,Cropland,2,33602908,1178000,2151000,2445000,1129000,978000,288,-363,-467,-306,-261,-164,754,209,132,313,647,793,169,276,23,386,2333000,902000,LUCAS_polygon,1887500,1173000,NA,
00000000000000004b6f_0,Cropland,2,33762894,1221500,2292000,2579000,1146500,1018500,274,-369,-444,-303,-263,-39,255,222,179,446,662,808,301,801,47,397,2511000,898500,LUCAS_polygon,1815500,1042500,NA,
00000000000000004b70_0,Cropland,2,32682916,1317500,2236500,2470500,1182500,1091000,334,-421,-442,-346,-234,252,186,174,143,204,676,817,222,807,20,169,2489000,1182500,LUCAS_polygon,1927500,1132500,NA,
00000000000000004bc0_0,Cropland,2,33382836,1164000,1844000,2108000,1119000,976000,393,-493,-527,-375,-296,15,234,207,169,307,704,827,185,771,14,678,2128000,809000,LUCAS_polygon,2017000,1271000,NA,
00000000000000004bdd_0,Cropland,2,32902930,1191000,2547500,3131000,1114000,989500,321,-413,-463,-290,-230,158,787,334,148,612,768,818,540,204,48,758,2962000,659000,LUCAS_polygon,1716500,821000,NA,
00000000000000004bf0_0,Cropland,2,33462942,1151000,2376500,2738000,1168000,1007000,222,-333,-398,-293,-236,240,498,319,168,531,685,793,417,726,31,525,2703500,757500,LUCAS_polygon,1703500,897500,NA,
00000000000000004bfb_0,Cropland,2,32782888,1106000,2332000,2660000,1116000,949000,277,-385,-418,-339,-251,409,186,197,154,426,722,798,733,710,43,197,2517000,797000,LUCAS_polygon,1921000,918000,NA,
00000000000000004c0b_0,Cropland,2,33902888,1121000,2373000,2817000,1067000,922000,221,-315,-386,-255,-118,21,681,381,165,573,697,731,710,229,24,550,2742000,681000,LUCAS_polygon,1514000,735000,NA,
00000000000000004c14_0,Cropland,2,32802922,1188500,2704500,3371500,1131000,1032500,322,-381,-463,-299,-242,485,330,181,120,549,752,803,209,753,20,751,3183500,738500,LUCAS_polygon,1758000,853000,NA,
00000000000000004c5d_0,Cropland,2,34042842,1166000,2208500,2656000,1181500,1021000,276,-338,-376,-303,-212,195,480,130,94,394,598,658,108,522,39,584,2501000,875000,LUCAS_polygon,1942500,1020000,NA,
00000000000000004c9e_0,Cropland,2,33402908,1137000,2665000,3103000,1108000,930000,224,-373,-426,-345,-248,285,307,313,237,455,731,825,731,710,66,536,3091000,831000,LUCAS_polygon,1831000,894000,NA,
00000000000000004ca0_0,Cropland,2,34122882,1242000,1985000,2245000,1178000,1098000,199,-288,-326,-235,-177,301,362,255,115,338,448,593,327,375,20,260,2240000,964000,LUCAS_polygon,1819000,1115000,NA,
00000000000000004cfa_0,Cropland,2,33422920,1031000,2580500,3255000,1067000,929000,240,-383,-464,-295,-249,0,526,404,239,592,739,827,404,642,56,723,3240000,630500,LUCAS_polygon,1653500,819500,NA,
00000000000000004d1c_0,Cropland,2,32922892,1214000,2359000,2991000,1090000,1020000,220,-294,-409,-248,-138,328,738,340,186,620,754,784,746,227,44,444,2863000,677000,LUCAS_polygon,1550000,722000,NA,
00000000000000004d43_0,Cropland,2,33762832,1240500,1626000,1920000,1151500,1018000,266,-423,-501,-356,-268,229,576,164,29,237,353,758,164,353,7,318,1904500,1038000,LUCAS_polygon,2138500,1365000,NA,
00000000000000004dbb_0,Cropland,2,33982850,1217000,2699000,3247000,1110000,1025000,186,-406,-430,-360,-273,-183,248,270,188,617,708,772,687,617,15,270,3195000,663000,LUCAS_polygon,2128000,1068000,NA,
00000000000000004ecc_0,Cropland,2,33142910,1156500,2145500,2437500,1093000,1007000,303,-367,-446,-310,-235,325,221,210,121,493,657,801,368,754,29,519,2348500,728500,LUCAS_polygon,1664500,757000,NA,
00000000000000004ed2_0,Cropland,2,32862918,1081000,2235000,2744000,1053000,942000,261,-370,-394,-323,-228,489,258,263,194,354,649,777,301,716,109,649,2706000,767000,LUCAS_polygon,1682000,965000,NA,
00000000000000004ef9_0,Cropland,2,34042906,1316000,1926000,2120000,1200000,1108000,226,-394,-426,-316,-199,7,593,164,108,342,455,625,160,342,62,397,2084000,1015000,LUCAS_polygon,2055000,1282000,NA,
0000000000000000504c_0,Cropland,2,33722874,1148500,2142000,2566500,1109500,995500,266,-319,-473,-226,-159,62,743,240,140,420,711,770,603,248,10,420,2474500,820000,LUCAS_polygon,1431000,820000,NA,
000000000000000051ce_0,Cropland,2,33722882,954000,2373000,2752000,1047000,894000,268,-372,-395,-300,-164,436,235,218,118,577,675,816,430,747,19,590,2679000,679000,LUCAS_polygon,1543000,781000,NA,
000000000000000051e5_0,Cropland,2,32822914,1253000,2439000,2877000,1067000,972000,238,-387,-421,-365,-294,-139,297,297,161,544,695,779,533,697,36,724,2909000,812000,LUCAS_polygon,2021000,1088000,NA,
000000000000000051ec_0,Cropland,2,33442882,1305500,1908500,2122500,1168000,1084000,257,-370,-455,-274,-176,161,709,221,164,300,429,766,240,296,70,337,2119500,966000,LUCAS_polygon,1725000,1095500,NA,
0000000000000000524c_0,Cropland,2,32862930,1224500,1989500,2272000,1212500,1051000,317,-439,-468,-333,-247,173,171,169,115,226,568,801,197,780,12,239,2115000,986000,LUCAS_polygon,1784000,1197500,NA,
00000000000000005265_0,Cropland,2,33582840,1047000,2133500,2523500,1051500,886000,283,-395,-427,-370,-287,357,293,232,189,391,746,824,233,806,70,588,2430000,659500,LUCAS_polygon,1780500,907000,NA,
00000000000000005299_0,Cropland,2,33562926,1062000,2276000,2605500,1119500,931500,303,-383,-460,-316,-256,230,229,217,153,430,707,800,320,760,26,619,2598500,759000,LUCAS_polygon,1659500,819500,NA,
