system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009e45_0,Artificial land,1,30962166,3014000,3158000,3313000,3066000,2949000,88,-82,-225,-56,-26,250,32,-3,-31,11,24,33,13,8,36,2,3186000,3176000,LUCAS_point,3341000,2724000,0.9850594227504245,
00000000000000009eb4_0,Artificial land,1,30122182,2229000,2436000,2569000,2469000,2367000,94,-264,-368,-157,-87,-32,34,-12,-68,13,52,103,-2,9,38,-31,2719000,2585000,LUCAS_point,3541000,3016000,0.9728225177710063,
00000000000000009f07_0,Artificial land,1,30482298,2045667,2194000,2315500,1318000,1251000,87,-386,-493,-327,-290,-133,75,32,-15,53,77,108,49,58,15,24,1934000,1732500,LUCAS_point,2577000,2146000,0.965425407925408,
00000000000000009f88_0,Artificial land,1,31022174,1620000,1620000,1640000,1870000,1697000,40,-97,-116,-72,-49,8,-19,-67,-83,-57,-50,-3,-62,-57,64,-67,1460000,1630000,LUCAS_point,1962000,1828000,0.9569358910892736,
00000000000000009fb6_0,Artificial land,1,31182222,2401500,2788000,2999500,1616500,1715000,74,-352,-411,-287,-232,-207,124,76,54,96,110,197,85,86,65,110,2550000,2124000,LUCAS_point,3231000,2564500,0.9533449986755507,
0000000000000000a010_0,Artificial land,1,30162118,1972000,2287000,2511500,1419000,1432500,69,-398,-422,-377,-330,-134,147,114,56,147,173,201,146,170,31,105,2411000,1735000,LUCAS_point,3281500,2667000,0.9473128902760017,
0000000000000000a08d_0,Artificial land,1,31222212,1556000,1894000,2139000,1455000,1475000,55,-172,-207,-155,-83,89,119,82,49,98,121,208,88,108,132,68,2298000,1888000,LUCAS_point,2022000,1529000,0.9388620034630222,
0000000000000000a091_0,Artificial land,1,30482296,1507500,1660000,1757500,1282250,1236000,77,-263,-299,-208,-132,42,48,8,-24,33,53,65,5,44,17,9,1488000,1420000,LUCAS_point,1994000,1730000,0.9387116682846514,
0000000000000000a19b_0,Artificial land,1,30502298,1589250,1914500,2084250,1199667,1181750,63,-423,-477,-395,-347,-237,127,91,1,121,163,223,102,143,55,80,1991000,1548500,LUCAS_point,2702000,2412500,0.9223908118025765,
0000000000000000a1a2_0,Artificial land,1,31222216,1419000,1742000,1861000,1314000,1175000,104,-225,-315,-139,-24,212,87,2,-57,42,67,135,25,47,69,4,1693000,1536000,LUCAS_point,1723000,1465000,0.9216099462405644,
0000000000000000a306_0,Artificial land,1,31002180,1992500,2493000,2744500,1423500,1500500,66,-353,-395,-321,-276,-220,243,123,58,194,249,310,178,197,51,103,2833000,1873000,LUCAS_point,3048000,2566500,0.8983007829983637,
0000000000000000a338_0,Artificial land,1,30062122,1816000,2296500,2525000,1201000,1127000,93,-456,-508,-412,-402,-113,166,98,68,147,172,247,98,163,191,110,2253500,1687000,LUCAS_point,2824000,2306500,0.8952380433788971,
0000000000000000a41f_0,Artificial land,1,30462286,1606625,1967500,2130667,1431250,1382250,75,-314,-361,-288,-263,-191,143,82,47,97,136,226,88,90,52,101,1943250,1576167,LUCAS_point,2600800,2045200,0.8803321521163022,
0000000000000000a456_0,Artificial land,1,30462298,1658250,2137000,2315000,1323600,1347000,54,-218,-247,-186,-167,6,111,81,50,107,151,228,81,152,167,66,2341000,1769667,LUCAS_point,1977333,1476667,0.8759772829509671,
0000000000000000a596_0,Artificial land,1,30642106,2220000,2515000,2786000,1780000,1845000,100,-282,-343,-241,-212,-161,154,105,68,124,146,164,108,120,73,115,2770000,2235000,LUCAS_point,3070000,2370000,0.8533671308884201,
0000000000000000a698_0,Artificial land,1,30122114,2176000,2484000,2712000,1457000,1492000,83,-406,-503,-386,-360,-318,118,103,69,124,143,180,134,124,31,101,2660000,2054000,LUCAS_point,3388000,2771000,0.8365173614740885,
00000000000000006078_0,Woodland,3,31302288,650000,1551000,1927000,827000,667000,103,-172,-241,-97,-26,380,536,552,258,605,643,682,645,632,17,545,1942000,442000,LUCAS_point,804000,365000,1,
00000000000000006079_0,Woodland,3,31322280,700000,1525000,1810000,823000,682000,71,-203,-232,-134,-70,248,537,548,409,590,632,650,609,607,9,553,1815000,453000,LUCAS_point,866000,389000,1,
00000000000000008acc_0,Shrubland,4,30222296,893000,1340000,1562500,943000,788000,86,-474,-490,-446,-380,-134,413,282,211,314,397,457,284,383,54,280,1572000,766500,LUCAS_point,2089000,1273000,0.7229547914491896,
00000000000000008b11_0,Shrubland,4,29742256,885000,1307750,1498000,920000,766000,64,-440,-466,-419,-395,-283,346,354,315,372,398,422,385,383,23,359,1490750,681000,LUCAS_point,1846500,1067500,0.6968657676978198,
00000000000000008b17_0,Shrubland,4,29802256,909000,1269500,1424500,937600,763000,69,-465,-480,-449,-417,-124,366,312,203,337,364,404,331,322,6,379,1421000,690500,LUCAS_point,2011714,1193250,0.6946637527863458,
00000000000000008b33_0,Shrubland,4,29722274,844500,1379500,1536000,858000,721000,90,-369,-393,-351,-326,166,364,361,245,412,427,480,420,412,35,451,1519000,648500,LUCAS_point,1591000,847500,0.6900760202629506,
00000000000000008b36_0,Shrubland,4,29802254,809111,1157500,1304250,918800,759167,74,-407,-432,-385,-322,-153,336,267,159,304,342,400,276,314,11,241,1284500,664667,LUCAS_point,1727000,1020000,0.6890550659995686,
00000000000000008b5e_0,Shrubland,4,29802280,866938,1681667,1891556,852250,719857,142,-388,-447,-357,-306,520,409,426,73,497,545,585,541,507,16,429,1801143,610455,LUCAS_point,1500000,785000,0.6781492714204336,
00000000000000008b65_0,Shrubland,4,29942310,820500,1331000,1522500,837000,697500,91,-378,-424,-336,-261,166,409,398,248,450,483,508,469,472,16,373,1525667,549333,LUCAS_point,1441000,794500,0.6749514609692585,
00000000000000008b76_0,Shrubland,4,29602244,772500,1177000,1308500,822500,669500,67,-430,-450,-412,-373,-262,361,376,307,395,421,453,412,392,12,436,1294000,555000,LUCAS_point,1645000,917500,0.6716303877175699,
00000000000000008be9_0,Shrubland,4,30002306,887143,1469500,1656000,885333,742500,95,-434,-458,-418,-387,-169,394,409,248,451,470,499,471,455,29,428,1638167,599167,LUCAS_point,1778500,986200,0.6457854601769409,
00000000000000008bfa_0,Shrubland,4,29702246,866500,1464000,1688000,873667,736000,82,-466,-498,-435,-402,-204,468,383,310,410,488,548,398,498,53,350,1610000,602667,LUCAS_point,1882667,1105500,0.643385050077615,
00000000000000008c3f_0,Shrubland,4,29862276,924500,1556500,1765000,863000,731167,98,-418,-442,-402,-375,-70,430,440,259,475,506,556,500,470,11,502,1731667,596500,LUCAS_point,1700250,907000,0.6307231463402648,
00000000000000008c4a_0,Shrubland,4,29502256,762000,1507000,1749000,850000,689000,85,-354,-378,-311,-282,21,412,438,269,485,525,552,510,519,27,457,1650000,539000,LUCAS_point,1393000,717000,0.6290618939006036,
00000000000000008c82_0,Shrubland,4,29482248,1018500,1792000,2066000,891500,820000,89,-420,-444,-396,-346,-85,393,393,298,447,499,537,437,508,37,372,1980000,710000,LUCAS_point,1866500,1061000,0.6198662532279349,
00000000000000008c8d_0,Shrubland,4,29662246,848250,1368667,1584500,866333,724000,90,-458,-484,-429,-389,-147,379,402,214,439,471,509,474,443,50,423,1607000,607500,LUCAS_point,1793000,1009250,0.618426919377831,
00000000000000008cb0_0,Shrubland,4,29442224,868000,1182000,1319000,909000,771000,63,-435,-444,-419,-390,-199,308,226,205,250,309,378,226,295,42,228,1300000,709000,LUCAS_point,1928000,1179000,0.6117116247486184,
00000000000000008d0e_0,Shrubland,4,29742306,759500,1294500,1472500,836500,710500,82,-347,-360,-307,-198,229,441,343,217,392,459,523,372,466,46,242,1484000,593500,LUCAS_point,1401500,775000,0.5974511503747048,
00000000000000008d32_0,Shrubland,4,30442304,930000,1538500,1767000,887000,771000,87,-427,-456,-400,-370,-196,388,373,318,422,453,495,435,469,54,362,1761500,693600,LUCAS_point,1802500,1027000,0.5918227631315273,
00000000000000008d43_0,Shrubland,4,29482168,881000,1423167,1643000,989333,817500,83,-411,-435,-386,-353,-197,268,242,175,276,324,364,254,324,81,223,1368500,769500,LUCAS_point,1848500,1058250,0.5899968380115591,
00000000000000008d4a_0,Shrubland,4,29682242,948167,1369000,1555000,953000,813000,61,-433,-457,-417,-373,-286,337,337,282,362,403,434,388,371,51,327,1548000,698000,LUCAS_point,1911000,1149500,0.5889923258520241,
00000000000000008d57_0,Shrubland,4,29462246,798000,1203000,1360000,869000,719000,78,-435,-454,-424,-379,-302,319,319,286,354,379,434,384,353,19,376,1326000,635000,LUCAS_point,1811000,1075000,0.5878550698316471,
