system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
000000000000000081d0_0,Bare land,6,52924548,1424000,1792000,1957000,1478000,1333000,267,-108,-143,-50,714,826,34,25,-28,73,268,394,20,311,40,55,2133000,1276000,LUCAS_point,1397000,1070000,0.05067170891753245,
000000000000000091d3_0,Water,7,53484562,348500,372500,385000,880000,565000,150,624,301,702,766,921,-75,-128,-215,-71,7,46,-162,-55,30,30,337000,376000,LUCAS_point,119000,76000,0.9825341655787766,
000000000000000095f8_0,Wetland,8,53784578,2062500,2872500,3409000,1232500,1304000,184,-207,-458,-34,710,899,12,11,-70,405,455,538,405,422,15,11,3649000,1501000,LUCAS_point,1144000,774500,0.9526732471082316,
00000000000000009711_0,Wetland,8,53804572,847400,1102750,1342583,974400,720167,386,-515,-641,-233,648,948,8,15,-76,211,315,364,278,316,17,22,1391500,714800,LUCAS_point,1226000,926500,0.9043663450900293,
000000000000000097ba_0,Wetland,8,53684568,1381625,2078571,2445600,1039250,880000,131,-160,-261,-27,660,945,14,17,-63,427,485,530,422,490,16,18,2615500,869400,LUCAS_point,1066667,674500,0.8743132831880704,
00000000000000009a56_0,Wetland,8,53664562,1778200,2833600,3330000,1163333,1133200,176,-368,-435,-285,656,915,32,29,-54,431,510,538,460,510,11,30,3518333,1204250,LUCAS_point,1898000,1142500,0.729869205531024,
00000000000000009b15_0,Wetland,8,53764554,990667,1700200,2025800,1071800,888875,262,-374,-504,484,715,946,-12,-6,-77,66,494,549,417,498,26,19,2084667,670857,LUCAS_point,1097750,905500,0.6789526692877366,
00000000000000009b3a_0,Wetland,8,53784552,885500,1692000,2025000,1009333,831500,276,-453,-558,372,652,937,26,20,-69,72,488,604,343,527,71,26,2021000,677000,LUCAS_point,1013000,897000,0.6707084357084357,
00000000000000009dc8_0,Wetland,8,53284546,1464000,2132000,2616000,1010000,855000,148,-274,-425,-153,746,938,18,15,-47,478,542,584,528,542,29,-43,2740000,869000,LUCAS_point,1042000,616000,0.4822375718973922,
00000000000000004210_0,Cropland,2,53504414,1899000,2178000,2540000,1465000,1361000,310,-250,-418,-98,723,938,40,25,-48,113,259,558,255,310,35,32,2443000,1705000,LUCAS_polygon,1313000,1036000,NA,
0000000000000000c8de_0,Cropland,2,53084518,1497000,2860500,3511000,1178000,1143000,218,-400,-457,-345,698,939,19,17,-38,453,664,761,510,602,23,14,3438000,1024500,LUCAS_polygon,1965500,1033500,NA,
00000000000000000be8_0,Woodland,3,53844580,852500,1828500,2106000,1016000,832000,116,-264,-301,75,525,777,272,192,44,398,660,717,259,693,36,167,2073000,584000,LUCAS_polygon,738000,442000,NA,
00000000000000000d0b_0,Woodland,3,53424516,1062000,3047000,3723000,1017000,846000,224,-430,-515,-349,671,868,66,62,-22,499,759,813,516,796,21,78,3557000,679000,LUCAS_polygon,1611000,731000,NA,
00000000000000001235_0,Woodland,3,53484544,761000,1620000,1897000,991000,775000,113,-217,-263,27,397,629,327,301,126,467,584,655,508,585,25,129,1896000,527000,LUCAS_polygon,710000,400000,NA,
0000000000000000124d_0,Woodland,3,53044554,817500,2057500,2448000,931000,763500,63,-175,-248,-136,372,559,397,347,155,606,742,783,700,745,45,211,2460000,464500,LUCAS_polygon,906000,383000,NA,
00000000000000001332_0,Woodland,3,53384406,746500,1990000,2404000,1136500,810000,95,-187,-280,94,499,654,364,257,117,466,715,768,430,756,35,178,2233000,552500,LUCAS_polygon,758500,361500,NA,
000000000000000016a8_0,Woodland,3,53104540,1025000,2124000,2560000,1042000,863000,227,-436,-469,-360,724,868,37,38,-30,488,590,677,524,590,44,42,2437000,702000,LUCAS_polygon,1630000,796000,NA,
00000000000000001abb_0,Woodland,3,53204560,686000,1715000,2067000,909000,708000,65,-156,-179,-35,364,696,338,332,188,581,691,732,604,680,21,157,2048000,424000,LUCAS_polygon,755000,344000,NA,
00000000000000002167_0,Woodland,3,53524490,1351500,2912500,3491500,1112000,978500,219,-413,-490,-249,757,927,43,38,-58,423,688,788,399,705,29,42,3574500,837000,LUCAS_polygon,1393000,798000,NA,
00000000000000002356_0,Woodland,3,53664476,743000,1886000,2409500,949000,742000,143,-267,-410,-68,566,717,163,155,82,566,752,778,534,756,83,105,2537500,501000,LUCAS_polygon,882000,409667,NA,
0000000000000000240d_0,Woodland,3,53564434,758000,1864000,2267000,983000,783000,55,-112,-158,56,471,699,477,395,109,618,690,764,527,705,31,128,2235000,496000,LUCAS_polygon,709000,310000,NA,
00000000000000002cee_0,Woodland,3,53244448,978000,2547000,3185000,925000,777000,135,-340,-450,-265,590,794,162,126,47,583,774,816,391,782,40,100,3179000,535000,LUCAS_polygon,1272000,581000,NA,
000000000000000032a3_0,Woodland,3,53224446,789500,1815500,2242500,1002000,769000,107,-258,-297,-163,395,665,401,318,192,524,638,696,492,653,14,233,2329500,583000,LUCAS_polygon,1108000,492500,NA,
00000000000000003367_0,Woodland,3,53664554,760000,1527250,1754000,984500,764000,130,-245,-300,39,501,649,257,189,78,383,536,609,171,574,57,193,1711000,558333,LUCAS_polygon,866500,432500,NA,
00000000000000003422_0,Woodland,3,53484436,704000,1759500,2146000,990500,736000,108,-168,-276,129,514,767,405,321,46,542,700,742,368,705,66,103,2009000,441500,LUCAS_polygon,676000,336000,NA,
000000000000000034e6_0,Woodland,3,53424498,885500,2402500,3156000,936500,792500,102,-290,-324,-113,428,683,368,348,195,575,740,805,578,754,36,332,2780500,555500,LUCAS_polygon,1021500,460500,NA,
0000000000000000364d_0,Woodland,3,53004528,742500,1566000,1861500,977500,756500,101,-206,-253,-78,445,682,311,273,136,528,575,621,504,593,12,155,1774000,528500,LUCAS_polygon,909000,419000,NA,
000000000000000038b5_0,Woodland,3,53924556,712000,1573667,1880000,944000,722000,104,-237,-269,47,401,567,313,264,164,458,568,644,352,599,31,223,1739667,491000,LUCAS_polygon,759000,412000,NA,
000000000000000043d9_0,Woodland,3,53544432,741000,1639000,1969000,1078000,793000,86,-200,-233,68,376,626,388,336,105,490,638,727,449,665,15,154,1917000,540000,LUCAS_polygon,861000,378000,NA,
000000000000000043df_0,Woodland,3,53704530,717667,1449333,1748667,954500,729500,105,-224,-262,-94,325,564,335,294,173,488,577,631,448,574,12,293,1686667,484000,LUCAS_polygon,910000,419000,NA,
00000000000000004737_0,Woodland,3,53664464,912500,2357500,2956000,990800,862333,124,-206,-290,-107,654,788,187,162,68,519,751,803,472,769,41,144,3221000,626500,LUCAS_polygon,967500,427500,NA,
0000000000000000c629_0,Woodland,3,53504492,713000,1842000,2327000,916000,716000,79,-136,-163,-77,322,652,452,442,156,641,706,758,544,721,15,305,2295000,460000,LUCAS_polygon,769000,316000,NA,
0000000000000000c64b_0,Woodland,3,53844566,987000,1575000,1878000,1110500,925000,185,-338,-373,-178,549,755,254,210,90,419,466,493,411,455,17,247,1924000,779000,LUCAS_polygon,1280000,737000,NA,
0000000000000000c6f6_0,Woodland,3,53584456,1050000,2532000,3173000,957000,821000,141,-350,-458,-273,556,680,164,157,75,639,760,800,567,774,89,172,3234000,618000,LUCAS_polygon,1273000,608000,NA,
0000000000000000cb55_0,Woodland,3,53724546,826500,2036000,2357750,986333,769000,78,-245,-286,-53,449,678,221,184,103,532,742,776,490,747,29,110,2277000,494250,LUCAS_polygon,904500,423500,NA,
0000000000000000cf2d_0,Woodland,3,53484548,1098000,2467500,3088500,1040000,915500,182,-275,-408,-145,597,722,139,131,84,421,701,808,609,723,40,101,2970000,733000,LUCAS_polygon,1114000,579500,NA,
0000000000000000d0b1_0,Woodland,3,53504420,626000,1422000,1695000,992000,681000,68,-21,-71,195,600,799,508,268,82,554,645,711,449,643,22,96,1636000,420000,LUCAS_polygon,502000,211000,NA,
0000000000000000d0c3_0,Woodland,3,53524440,733500,1712500,2070000,1057500,760500,120,-259,-307,-52,390,666,318,258,123,448,655,700,380,661,44,126,1980000,516000,LUCAS_polygon,912500,432000,NA,
0000000000000000d40e_0,Woodland,3,53924550,866250,1693333,1978500,1040000,820500,135,-279,-349,-103,506,666,212,187,96,443,526,612,438,559,15,202,1957500,594500,LUCAS_polygon,1002500,552500,NA,
0000000000000000d8ec_0,Woodland,3,53404536,701000,1542000,1863000,917000,722000,116,-212,-249,-31,403,584,395,344,194,489,605,675,530,609,37,344,1921000,518000,LUCAS_polygon,768000,369000,NA,
0000000000000000dc01_0,Woodland,3,53484422,887000,2171000,2572500,1027000,841000,149,-253,-429,-48,529,632,132,130,26,411,727,788,295,733,82,138,2733000,647500,LUCAS_polygon,1027500,508000,NA,
0000000000000000e374_0,Woodland,3,53124512,1131000,3143000,3852000,989000,891500,212,-442,-481,-400,726,898,45,32,-43,576,750,797,469,757,72,27,3676500,688000,LUCAS_polygon,1946500,849500,NA,
0000000000000000e768_0,Woodland,3,53144468,632000,1608000,2014000,867000,700000,66,-103,-154,-56,386,661,492,418,175,628,697,729,586,700,63,241,2047000,416000,LUCAS_polygon,727000,305000,NA,
0000000000000000e7d8_0,Woodland,3,53224500,780000,2311000,2781000,906000,746000,98,-274,-301,-233,432,534,304,279,175,714,768,810,543,768,37,263,2863000,470000,LUCAS_polygon,1118000,434000,NA,
0000000000000000e8c3_0,Woodland,3,53604520,917000,2102000,2578500,976500,834000,132,-278,-353,-192,407,702,265,239,132,478,710,765,388,734,44,239,2649500,608000,LUCAS_polygon,1173500,505000,NA,
0000000000000000effb_0,Woodland,3,53584474,688000,1631000,1999000,905000,735000,103,-186,-264,-102,536,762,302,285,93,580,732,764,517,740,83,93,2029000,486000,LUCAS_polygon,812000,394000,NA,
0000000000000000f276_0,Woodland,3,53744506,903000,2348000,2961500,946000,794500,148,-291,-437,-157,526,678,279,264,148,574,752,800,613,777,31,231,3051000,550500,LUCAS_polygon,981500,465500,NA,
0000000000000000f2a1_0,Woodland,3,53344480,683500,1575500,1830000,928500,737500,78,-152,-186,-20,389,624,361,304,119,551,658,704,385,659,16,165,1867500,460000,LUCAS_polygon,785500,344000,NA,
0000000000000000f73d_0,Woodland,3,53004546,660000,1439000,1742000,946000,713000,80,-79,-126,-19,407,744,405,342,163,560,649,687,592,650,12,149,1676000,461000,LUCAS_polygon,670000,276000,NA,
000000000000000101fe_0,Woodland,3,53564484,739000,1718500,2005500,936000,732500,91,-229,-253,-97,322,616,421,319,165,508,663,718,457,681,19,250,2014500,496500,LUCAS_polygon,866500,414000,NA,
00000000000000010c51_0,Woodland,3,53324406,596000,1413500,1690000,1057500,700000,138,32,-44,226,479,713,545,280,122,506,648,684,203,648,28,192,1602000,413500,LUCAS_polygon,489500,214000,NA,
00000000000000011416_0,Woodland,3,53464432,1047000,2644500,3371500,1103000,906000,219,-381,-487,-217,705,890,44,36,-27,318,678,799,295,760,27,32,3526500,798500,LUCAS_polygon,1431500,731000,NA,
0000000000000001155a_0,Woodland,3,53564424,1062500,2164500,2528500,1089500,923500,166,-281,-336,-34,726,850,54,39,-12,421,551,604,348,582,58,39,2498000,737000,LUCAS_polygon,1132500,640000,NA,
000000000000000115f1_0,Woodland,3,53744538,1292000,2925000,3485500,1082167,980750,216,-386,-465,-166,721,926,22,17,-52,361,709,800,384,759,36,4,3497500,820500,LUCAS_polygon,1303000,666000,NA,
0000000000000000f38f_0,Shrubland,4,53304548,970000,1886000,2225000,1106000,1031000,158,-169,-222,-87,568,769,203,201,84,357,432,496,484,422,68,210,2328000,1001000,LUCAS_polygon,1124000,584000,NA,
0000000000000000113a_0,Grassland,5,53384506,1202000,2698000,3279000,1108000,1010000,215,-381,-452,-289,670,915,80,27,-37,426,670,763,508,680,35,22,3176000,870000,LUCAS_polygon,1632000,850000,NA,
00000000000000001e59_0,Grassland,5,53064556,1768000,2867500,3318000,1332000,1309000,239,-379,-430,-301,715,947,13,16,-59,403,544,726,601,491,10,16,3355000,1374500,LUCAS_polygon,2002000,1081000,NA,
00000000000000001f26_0,Grassland,5,53384398,1340000,2724000,3257000,1150000,1053000,219,-408,-474,-309,705,927,179,20,-51,384,569,665,415,536,37,25,3128000,940000,LUCAS_polygon,1930000,983000,NA,
000000000000000046e7_0,Grassland,5,53264500,1343500,2166000,2565000,1285500,1156500,278,-251,-293,-220,704,902,21,26,-62,179,486,624,399,497,21,31,2495500,1126500,LUCAS_polygon,1638000,936500,NA,
0000000000000000e08d_0,Grassland,5,53484418,1467500,2830000,3459000,1272500,1115500,210,-379,-432,-296,623,914,40,45,-24,342,603,727,302,661,76,48,3395500,1102500,LUCAS_polygon,1873500,954000,NA,
0000000000000000e7db_0,Grassland,5,52944534,1248125,3048750,3788000,1186250,1032500,200,-348,-386,-254,710,927,20,10,-65,382,681,760,152,705,19,17,3651500,853250,LUCAS_polygon,1685500,885500,NA,
00000000000000010312_0,Grassland,5,53884570,1395500,2974000,3626000,1188000,1035000,219,-423,-496,-196,620,819,73,58,-53,355,649,772,487,687,35,75,3576000,971000,LUCAS_polygon,1522000,1026000,NA,
