system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009e3a_0,Artificial land,1,37382208,1828000,2015000,2199000,1489000,1410000,67,-263,-301,-230,-199,-143,63,44,-3,67,94,133,74,66,51,64,1724000,1545500,LUCAS_point,2243500,1744500,0.9874056725794531,
00000000000000009f2b_0,Artificial land,1,38122294,1608000,2010500,2310000,1340500,1377000,73,-323,-356,-301,-230,-52,161,117,74,139,153,194,142,141,108,117,2285500,1738500,LUCAS_point,2440000,1934000,0.9632610907001151,
00000000000000009f47_0,Artificial land,1,38102276,1363000,1508000,1660000,1538000,1346000,76,-103,-141,-57,7,191,26,29,-12,59,86,221,102,74,28,34,1752000,1330000,LUCAS_point,1573000,1228000,0.9610603977901644,
00000000000000009f6d_0,Artificial land,1,38362302,1381000,1501000,1599000,1611000,1444000,30,-178,-195,-160,-132,-85,57,7,-5,20,34,81,0,21,38,10,1502000,1444000,LUCAS_point,2046000,1656000,0.9586257720468246,
00000000000000009f8e_0,Artificial land,1,37482266,1842000,2247000,2473000,1470000,1375000,74,-342,-382,-322,-308,-114,178,120,86,139,154,183,118,142,74,103,1997000,1526000,LUCAS_point,2776000,2234000,0.9566948945442919,
0000000000000000a0a6_0,Artificial land,1,37502260,1580500,1738500,1965000,1443000,1332000,89,-387,-420,-359,-312,-183,148,113,74,130,149,171,121,136,61,117,1815000,1367500,LUCAS_point,2860000,2368500,0.9370824367381039,
0000000000000000a1b6_0,Artificial land,1,38502292,2013750,2400000,2678333,1635000,1631500,63,-368,-416,-334,-276,-210,165,127,87,156,178,198,129,164,46,130,2472000,1795000,LUCAS_point,3344000,2656000,0.9202207331619097,
0000000000000000a2a8_0,Artificial land,1,37482240,1966000,2230000,2539000,1446000,1452000,71,-412,-440,-399,-365,-158,150,115,49,140,176,218,143,176,54,74,2284500,1676000,LUCAS_point,3344500,2781000,0.9043966042624605,
0000000000000000a41a_0,Artificial land,1,37782282,1449000,2005000,2256000,1259000,1220000,64,-337,-374,-315,-254,-139,191,123,57,165,188,226,169,175,149,86,2070000,1493000,LUCAS_point,2291000,1726000,0.8808025589161492,
0000000000000000a43c_0,Artificial land,1,38542316,1989000,2521000,2824000,1630000,1721000,69,-271,-298,-230,-167,-31,119,102,67,138,157,186,144,157,72,84,2685000,2058000,LUCAS_point,2811500,2094000,0.8782142245863359,
0000000000000000a479_0,Artificial land,1,38262296,1485000,2042500,2144000,1357000,1229500,80,-261,-287,-238,-205,14,197,154,76,254,319,396,299,313,75,150,2111500,1181000,LUCAS_point,1978500,1451500,0.8732695631984873,
0000000000000000a4ad_0,Artificial land,1,37322260,1750000,2193000,2559000,1303500,1250500,85,-394,-450,-360,-340,56,236,174,47,213,243,276,215,236,63,170,2172500,1421000,LUCAS_point,2710500,2192000,0.8692682262389803,
0000000000000000a51e_0,Artificial land,1,37302222,1963000,2326000,2523000,1191000,1145000,104,-502,-524,-485,-460,97,120,100,-30,119,144,186,133,119,72,105,2083000,1548000,LUCAS_point,3237000,2691000,0.8610326498523093,
0000000000000000a550_0,Artificial land,1,38622312,2934333,3066000,3192500,3644333,3543500,43,124,42,163,189,251,-4,-31,-41,-20,-7,18,-21,-24,22,-16,3572400,3706000,LUCAS_point,2570500,2184500,0.8578033547581391,
0000000000000000a5d1_0,Artificial land,1,37742280,1888500,2400500,2760500,1606500,1671000,60,-278,-318,-245,-225,-144,202,136,105,168,204,261,161,198,77,136,2552000,1887000,LUCAS_point,2834000,2154500,0.849965467854399,
0000000000000000a63c_0,Artificial land,1,38622372,1496000,1893500,2118500,1205500,1142500,87,-433,-471,-398,-336,19,237,170,113,214,271,306,212,253,71,170,2208000,1342000,LUCAS_point,2703500,2082500,0.8437989795397117,
0000000000000000a64a_0,Artificial land,1,37322202,1811000,2512000,2777500,1218000,1169000,71,-442,-486,-388,-349,-297,206,202,163,242,270,303,243,271,71,206,2653500,1566000,LUCAS_point,2793000,2215500,0.8430418337420746,
0000000000000000a66a_0,Artificial land,1,37102372,1379000,1532000,1612000,1400000,1271000,145,-143,-259,-87,-6,187,91,-2,-43,31,72,167,21,24,169,0,1241000,1151000,LUCAS_point,1583000,1207000,0.8399155347989896,
000000000000000061aa_0,Woodland,3,36922212,544000,1326000,1637000,775500,573500,78,-195,-241,-90,311,539,580,477,338,648,730,758,687,747,20,441,1715500,345500,LUCAS_point,622500,269000,1,
000000000000000061d2_0,Woodland,3,37062284,523000,1368500,1786000,769500,594500,61,-42,-100,21,109,295,671,618,476,671,690,713,662,685,7,563,1775000,350500,LUCAS_point,557500,235500,1,
000000000000000061e4_0,Woodland,3,37142302,580000,1704000,2155000,758000,610000,51,-215,-256,-159,-94,62,656,648,526,713,746,784,713,750,8,630,2111000,352000,LUCAS_point,840000,327000,1,
000000000000000061ea_0,Woodland,3,37162378,632000,1525000,1995000,813000,650000,113,-338,-428,-225,-26,305,616,431,325,650,770,822,588,773,49,395,2125000,424000,LUCAS_point,1152000,483000,1,
000000000000000061f1_0,Woodland,3,37182394,790000,2092000,2733000,846000,731000,138,-353,-384,-282,-215,79,606,465,319,716,749,789,661,741,52,348,2551000,466000,LUCAS_point,1327000,557000,1,
000000000000000061f2_0,Woodland,3,37182426,647500,1230500,1429500,853000,699000,118,-280,-329,-168,139,580,595,255,1,621,765,803,547,771,38,107,1733500,408500,LUCAS_point,937500,411500,1,
000000000000000061f3_0,Woodland,3,37182438,623500,1564000,1946500,801500,617500,64,-169,-202,-86,39,439,673,614,387,677,705,733,679,706,26,546,1941000,382500,LUCAS_point,731500,319500,1,
0000000000000000621b_0,Woodland,3,37322328,700000,1667000,2056000,853000,699000,57,-182,-217,-159,-55,54,601,604,526,639,657,685,649,649,14,612,2085000,489000,LUCAS_point,924000,397000,1,
00000000000000006224_0,Woodland,3,37342414,790500,2063000,2674000,856000,703500,135,-364,-407,-317,-233,56,540,509,363,681,745,777,628,754,16,441,2432000,465000,LUCAS_point,1350000,568000,1,
00000000000000006252_0,Woodland,3,37502332,709000,1734000,2113000,842000,688000,169,-359,-404,-307,-158,230,361,330,152,626,731,779,562,733,25,229,2018000,471000,LUCAS_point,1372000,547000,1,
0000000000000000626e_0,Woodland,3,37622332,647000,1790000,2383000,825000,645000,61,-239,-285,-150,63,392,650,560,330,714,768,805,669,770,18,356,2267000,376000,LUCAS_point,906000,321000,1,
0000000000000000627e_0,Woodland,3,37722344,624000,1656000,2263500,790500,629500,59,-253,-305,-173,-4,286,659,643,510,692,736,789,644,736,39,618,2051000,405000,LUCAS_point,884500,354500,1,
00000000000000006281_0,Woodland,3,37742390,640000,1419000,1693000,812000,671000,71,-189,-236,-121,-39,225,547,546,394,582,630,675,582,639,18,539,1759000,443000,LUCAS_point,840000,385000,1,
0000000000000000629a_0,Woodland,3,37822436,705000,1655000,2040000,807000,680500,115,-330,-366,-283,-211,136,516,529,227,658,735,769,638,734,43,523,2256000,465000,LUCAS_point,1202000,543000,1,
000000000000000062a9_0,Woodland,3,37862364,671000,1361000,1618000,853000,679000,93,-162,-229,-106,57,517,556,438,340,569,595,639,494,608,15,447,1669000,468000,LUCAS_point,821000,395000,1,
000000000000000062ba_0,Woodland,3,37922418,681500,1512500,1892500,850500,679500,80,-201,-269,-166,-8,442,556,533,319,600,620,640,582,627,12,520,1818500,472500,LUCAS_point,900500,443000,1,
000000000000000062cc_0,Woodland,3,38002396,601500,1422000,1722500,827500,626000,59,-148,-211,-87,137,373,617,533,396,621,653,698,577,654,11,514,1681000,394500,LUCAS_point,733500,332500,1,
000000000000000062e4_0,Woodland,3,38062352,693000,1484500,1896000,809000,607500,82,-287,-351,-156,170,369,650,527,436,616,751,808,619,773,38,524,2035500,396000,LUCAS_point,821500,361000,1,
000000000000000062e5_0,Woodland,3,38062442,656000,1571000,2116000,811000,675500,75,-213,-241,-147,-65,250,582,568,310,626,680,715,629,684,24,418,1959000,432500,LUCAS_point,820500,368500,1,
000000000000000062ea_0,Woodland,3,38082420,797500,1812500,2075500,860500,701500,129,-362,-390,-308,-7,486,376,350,191,512,725,748,512,734,22,370,2193500,542500,LUCAS_point,1230500,573000,1,
000000000000000062f0_0,Woodland,3,38102420,633000,1823000,2316000,763500,647500,70,-19,-60,60,232,534,652,649,400,716,760,773,744,766,18,676,2321000,368500,LUCAS_point,528000,194000,1,
0000000000000000631d_0,Woodland,3,38242400,653500,1639000,2091500,765000,615500,82,-77,-119,-13,126,601,658,626,264,682,698,725,688,690,14,525,2037500,373500,LUCAS_point,615000,263500,1,
00000000000000006343_0,Woodland,3,38362422,589000,1468000,1689000,790000,619000,71,-237,-262,-106,255,580,596,474,184,628,698,724,563,710,28,225,1589000,366000,LUCAS_point,804000,375000,1,
00000000000000006375_0,Woodland,3,38502404,587000,1367000,1682000,743000,599000,74,-239,-271,57,382,516,580,510,359,599,754,777,403,759,22,522,1651000,369000,LUCAS_point,476000,313000,1,
00000000000000008bfd_0,Shrubland,4,37322224,1337000,2173000,2516000,1190000,1113000,33,-396,-417,-387,-368,-347,458,424,398,449,464,496,450,430,48,464,2528000,989000,LUCAS_point,2524000,1618000,0.6431081227924534,
00000000000000008d50_0,Shrubland,4,37442234,1289500,2316500,2703500,1219500,1160500,32,-410,-438,-390,-376,-271,426,392,334,413,449,502,377,408,72,475,2641000,1050500,LUCAS_point,2607500,1570500,0.5884868239261652,
00000000000000009092_0,Shrubland,4,37362228,1691000,2425000,2844000,1449000,1418000,31,-399,-438,-382,-363,-342,324,320,284,341,365,383,336,353,63,312,2735000,1347000,LUCAS_point,3173000,2266000,0.4970128241178748,
00000000000000007ec4_0,Bare land,6,37622250,2137500,2277000,2415000,1749500,1877500,67,-237,-250,-220,-190,-63,33,13,-1,17,23,60,16,16,2,15,2231500,2144500,LUCAS_point,2965500,2621500,0.38063369534432157,
0000000000000000812b_0,Bare land,6,38662330,1826000,2274500,2519333,1433500,1457750,155,-277,-340,-223,-176,-29,92,72,-147,174,227,287,211,222,64,72,2241500,1487250,LUCAS_point,2442500,1746500,0.08728288344424952,
0000000000000000814b_0,Bare land,6,37502304,1333000,1859000,2147000,1323000,1264000,61,-343,-364,-328,-308,-213,199,221,193,268,299,313,257,299,43,206,2244000,1266000,LUCAS_point,2529000,1713000,0.0781328985795281,
00000000000000008311_0,Bare land,6,37822368,1077000,1986000,2330000,999000,889000,64,-424,-467,-404,-377,-61,419,447,275,496,539,569,495,543,30,454,2166000,711000,LUCAS_point,2091000,1161000,0.005634920634920635,
0000000000000000835c_0,Bare land,6,38642282,1586000,2118500,2325500,1483000,1410000,285,-306,-337,-248,-166,-15,78,88,71,118,206,774,106,483,7,136,2212000,1416000,LUCAS_point,2190000,1639000,0,
000000000000000090d9_0,Water,7,37402372,320000,338000,315000,832000,586000,189,424,116,650,803,881,-3,-217,-297,-123,-24,100,-182,-93,8,-257,281000,361000,LUCAS_point,123000,89000,1,
00000000000000009168_0,Water,7,38282426,365000,326000,324000,842000,616000,156,523,284,668,744,837,-106,-217,-307,-158,-75,41,-187,-129,5,-261,281000,406000,LUCAS_point,112000,80000,0.9945787545787546,
0000000000000000925d_0,Water,7,37642280,539000,522500,575000,961500,740500,135,535,312,648,763,862,-197,-262,-381,-28,70,345,-196,64,26,-259,419500,480000,LUCAS_point,153500,95500,0.9570741765527961,
00000000000000009316_0,Water,7,38582280,665000,423500,431750,1136000,918667,138,664,420,762,814,872,-319,-371,-448,-331,-248,-161,-309,-333,122,-369,341800,687333,LUCAS_point,126250,81000,0.8827453968120735,
00000000000000009359_0,Water,7,38622332,813500,725500,763000,1129500,1074000,171,195,36,328,427,576,-84,-269,-404,-213,-113,65,-224,-201,143,-253,484500,724600,LUCAS_point,535000,361000,0.8275645311888196,
00000000000000009360_0,Water,7,38542286,751250,448250,440000,1198500,1054000,204,661,344,837,888,928,-367,-419,-484,-366,-267,-74,-342,-344,12,-415,354875,796250,LUCAS_point,93000,54000,0.8199487925482791,
