system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009d86_0,Wetland,8,30523642,1248500,1915000,2318500,1084500,879500,131,-360,-467,-288,9,423,462,304,71,459,494,615,519,508,24,221,2521500,808000,LUCAS_point,1708000,856000,0.5007075772857695,
00000000000000009e1a_0,Wetland,8,30523622,1220000,1663000,1985000,1163000,914000,123,-413,-482,-286,5,331,357,217,154,347,368,461,355,461,6,203,2010000,874000,LUCAS_point,1700000,872000,0.4579815339188129,
0000000000000000aeb8_0,Woodland,3,30743602,1090000,2048000,2489000,1082000,920000,118,-302,-381,-254,42,715,584,407,23,521,702,749,519,737,104,236,2362000,606000,LUCAS_polygon,1635000,790000,NA,
000000000000000053db_0,Grassland,5,30663634,1302000,2020000,2356000,1137000,945000,194,-456,-461,-436,-255,806,389,360,-63,398,428,604,360,604,10,398,2528000,980000,LUCAS_polygon,2221000,1028000,NA,
00000000000000005597_0,Grassland,5,30923606,1192000,3069000,3786000,1074000,995000,70,-316,-377,-217,-49,472,719,613,303,705,749,815,680,793,22,666,3610000,626500,LUCAS_polygon,1508000,680500,NA,
0000000000000000560e_0,Grassland,5,30803590,1151500,3082000,3835500,1138500,1022000,164,-291,-504,-230,-147,672,766,453,178,655,763,815,715,604,20,634,3593000,613500,LUCAS_polygon,1634000,722500,NA,
000000000000000058d7_0,Grassland,5,30283632,1417000,2628000,2992000,1170000,1107000,171,-389,-458,-367,-231,527,523,369,55,523,699,740,613,660,32,284,3223000,814000,LUCAS_polygon,2196000,1131000,NA,
00000000000000005a8d_0,Grassland,5,30343638,1416000,2976000,3491000,1142500,1080000,126,-396,-435,-360,-230,267,546,476,314,607,693,790,702,679,33,568,3822000,869000,LUCAS_polygon,2308000,1174500,NA,
00000000000000006039_0,Grassland,5,30883614,1171000,2268000,2678000,1132000,977000,107,-300,-379,-206,-91,616,723,488,79,599,672,746,552,625,20,529,2840000,651000,LUCAS_polygon,1480000,749000,NA,
0000000000000000a93c_0,Grassland,5,30723610,1236500,2635000,3112000,1125500,1013500,109,-315,-379,-264,-59,736,662,452,118,588,686,777,571,686,26,441,2972500,686000,LUCAS_polygon,1724500,804000,NA,
0000000000000000af44_0,Grassland,5,30423622,1302000,1820000,2078000,1149000,935000,90,-405,-474,-337,-277,396,351,342,62,363,417,508,397,476,11,342,2276000,977000,LUCAS_polygon,1999000,1051000,NA,
0000000000000000b21f_0,Grassland,5,30483644,1087000,1444000,1626000,1211000,936000,182,-374,-459,-204,-111,347,289,270,41,297,325,385,308,328,36,274,1707000,867000,LUCAS_polygon,1410000,775000,NA,
0000000000000000b233_0,Grassland,5,30663602,1286000,2170000,2643500,1104500,980000,94,-347,-367,-288,-9,524,564,413,259,534,598,657,494,655,32,329,2589000,778500,LUCAS_polygon,1655500,807500,NA,
0000000000000000be28_0,Grassland,5,30803634,1131500,2406000,2866000,1138500,1004000,148,-335,-465,-238,-83,764,678,449,109,511,673,797,551,466,20,491,2784500,725500,LUCAS_polygon,1649500,729500,NA,
000000000000000049ec_0,Wetland,8,30843616,1256000,2024500,2351000,1191000,923000,169,-452,-499,-421,-303,654,408,348,68,396,443,589,405,565,31,348,2359000,947500,LUCAS_polygon,2214500,1086000,NA,
0000000000000000a819_0,Wetland,8,30523638,1251000,1855000,2146000,1190000,985000,144,-404,-432,-303,-60,614,341,271,107,365,406,533,388,436,22,189,2318000,970000,LUCAS_polygon,1902000,1003000,NA,
0000000000000000ba30_0,Wetland,8,30703618,1242500,1757500,1987500,1136000,970500,136,-426,-464,-320,-146,260,303,287,149,336,375,509,346,493,19,299,2085500,949000,LUCAS_polygon,1861000,1017500,NA,
