system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
0000000000000000016e_0,Cropland,2,48281674,1221000,1815250,2113400,1090000,1021750,129,-303,-326,-256,-186,-131,402,258,227,309,480,524,328,246,29,494,1984667,1023500,LUCAS_polygon,1708000,956500,NA,
000000000000000021ac_0,Woodland,3,48361696,713000,1468000,1724500,831500,636000,84,-275,-306,-178,-55,471,591,497,223,614,674,723,622,706,51,463,1785500,422000,LUCAS_polygon,918500,422500,NA,
0000000000000000cb6c_0,Woodland,3,48261690,1193667,2058500,2390000,1070500,1003500,120,-287,-315,-259,-232,-185,436,403,343,464,537,654,565,408,58,508,2372250,862500,LUCAS_polygon,1684000,1060500,NA,
0000000000000000ccfd_0,Shrubland,4,48481686,850000,1899000,2218000,945000,787000,89,-315,-348,-301,-241,-49,631,491,411,598,631,663,613,622,43,454,2144000,552000,LUCAS_polygon,1490000,671000,NA,
