system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000007b5a_0,Woodland,3,53743794,794500,1871500,2256500,971500,746000,116,-288,-330,-226,94,526,504,377,163,537,659,706,503,669,36,168,2071500,509500,LUCAS_point,1172500,523000,1,
00000000000000007b62_0,Woodland,3,53803770,727500,1547000,1806500,982500,775000,91,-182,-221,-84,109,301,505,461,208,527,636,685,519,637,13,383,1893000,512000,LUCAS_point,926000,425500,1,
00000000000000007b68_0,Woodland,3,53863768,666000,1431000,1707000,943000,714000,89,-127,-170,-27,180,603,570,462,228,542,599,637,495,618,16,403,1743000,485000,LUCAS_point,785000,368000,1,
00000000000000007b7e_0,Woodland,3,54143788,823000,1916000,2233000,958000,789000,138,-326,-367,-260,135,378,469,279,147,627,782,821,627,803,21,200,2079000,528000,LUCAS_point,1273000,554000,1,
00000000000000009129_0,Water,7,54043798,416000,417500,383000,970000,669000,154,621,451,724,787,896,-89,-215,-272,-110,-35,15,-204,-92,7,10,333000,453500,LUCAS_point,109500,64000,1,
0000000000000000912d_0,Water,7,53803796,372000,431000,406000,954000,625000,129,617,405,660,766,863,-71,-180,-240,-71,1,109,-169,-49,18,-84,346000,396000,LUCAS_point,105000,67000,0.9979591836734694,
000000000000000093b9_0,Water,7,53923786,540000,547000,642000,974000,749000,152,263,29,440,568,812,-101,-112,-204,-26,96,227,36,105,169,-42,532000,511000,LUCAS_point,329000,180000,0.7381100022070858,
00000000000000004061_0,Cropland,2,54243806,1508000,2193000,2479000,1210000,1146000,314,-395,-418,-346,232,738,186,102,13,198,263,729,185,495,123,23,2243000,1275000,LUCAS_polygon,2114000,1395000,NA,
0000000000000000d11f_0,Cropland,2,53843788,1212000,2157000,2471000,1095000,988000,218,-376,-413,-334,195,642,265,193,39,327,487,635,336,557,127,48,2525000,932000,LUCAS_polygon,1910000,1129000,NA,
0000000000000000e880_0,Cropland,2,54023770,1434000,2598500,3202000,1164000,1085000,270,-436,-455,-389,-123,729,305,242,-9,456,629,748,692,628,29,17,3186500,1025000,LUCAS_polygon,2299000,1479500,NA,
0000000000000000eab4_0,Cropland,2,53983768,1118000,2327000,2796000,1088000,982000,268,-406,-440,-360,-230,717,219,170,18,464,631,704,659,553,62,23,2469000,824000,LUCAS_polygon,1881000,1011000,NA,
00000000000000001f52_0,Woodland,3,53743770,831000,1878500,2190500,967000,765000,194,-336,-385,-267,129,478,302,125,43,506,735,795,504,752,69,52,2148000,541500,LUCAS_polygon,1215500,557500,NA,
00000000000000002415_0,Woodland,3,53663790,916000,2025000,2454000,1036000,844000,169,-345,-390,-285,127,432,441,314,132,574,753,804,547,772,33,153,2495500,595500,LUCAS_polygon,1442000,680500,NA,
