system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
000000000000000075e3_0,Woodland,3,50044220,704000,1639000,1829000,919000,726000,81,-164,-196,-101,310,505,468,369,173,501,703,732,429,712,58,173,1720000,472000,LUCAS_point,797000,379000,1,
0000000000000000760a_0,Woodland,3,50324194,715500,1643000,1975500,949000,728000,74,-168,-224,-100,308,464,543,417,183,544,598,652,487,608,14,411,1815500,470500,LUCAS_point,884000,395000,1,
00000000000000007611_0,Woodland,3,50344222,801000,1668000,1968000,980000,786000,106,-203,-249,-107,434,599,445,279,217,491,606,649,382,606,23,261,1913000,542000,LUCAS_point,978000,467000,1,
00000000000000007621_0,Woodland,3,50404200,628000,1367000,1580000,976000,755000,88,-48,-119,22,452,572,510,335,209,518,583,649,331,607,17,331,1569000,471000,LUCAS_point,654000,294000,1,
0000000000000000762e_0,Woodland,3,50424024,696000,1804000,2203500,964000,732000,78,-180,-232,-133,112,584,558,396,150,622,702,751,409,703,16,267,2163000,464500,LUCAS_point,918500,396500,1,
00000000000000007638_0,Woodland,3,50444004,701000,1831000,2355000,871000,697000,120,-231,-261,-185,20,356,449,388,168,680,738,778,464,728,30,218,2282000,434000,LUCAS_point,981000,404000,1,
00000000000000007641_0,Woodland,3,50464168,612000,1230000,1500000,926000,686000,99,-93,-147,19,450,680,480,335,173,493,565,627,368,568,33,261,1378000,446000,LUCAS_point,583000,311000,1,
00000000000000007642_0,Woodland,3,50464176,740500,1560000,1897500,943000,721000,120,-222,-252,-115,248,577,453,378,207,528,584,681,464,603,47,364,1755500,479000,LUCAS_point,867000,426500,1,
00000000000000007643_0,Woodland,3,50464194,678500,1467000,1736500,915500,714500,101,-115,-156,-13,417,620,467,367,168,525,594,625,378,594,16,323,1601500,456500,LUCAS_point,716000,329000,1,
00000000000000007654_0,Woodland,3,50504166,678000,1450000,1736000,932000,727000,73,-56,-98,-7,309,563,489,420,270,543,604,660,450,607,20,300,1684000,480000,LUCAS_point,678000,297000,1,
00000000000000007655_0,Woodland,3,50504170,717000,1483000,1790000,943000,748000,89,-99,-155,-29,358,617,481,366,214,534,608,644,469,614,27,322,1789000,499000,LUCAS_point,772000,358000,1,
00000000000000007656_0,Woodland,3,50504176,759000,1669000,2017000,934000,731000,85,-191,-219,-125,225,457,551,443,260,568,615,661,508,620,26,392,1911000,494000,LUCAS_point,930000,427000,1,
0000000000000000765b_0,Woodland,3,50524158,690000,1372000,1632000,954000,728000,90,-80,-112,36,413,675,440,324,91,491,617,647,453,622,40,184,1572000,457000,LUCAS_point,675000,314000,1,
0000000000000000765c_0,Woodland,3,50524170,832500,1678000,1993000,985000,790500,130,-259,-286,-196,417,628,460,343,203,491,568,608,445,568,17,290,1908500,575500,LUCAS_point,1119000,537500,1,
0000000000000000765d_0,Woodland,3,50524188,640000,1399000,1738000,917000,685000,75,-82,-131,-18,388,636,541,413,146,539,604,637,500,591,46,406,1732000,457000,LUCAS_point,725000,352000,1,
0000000000000000766d_0,Woodland,3,50564182,706000,1418000,1723000,953000,725000,77,-122,-169,-61,277,427,495,410,210,523,568,613,339,569,11,417,1657000,507000,LUCAS_point,777000,373000,1,
0000000000000000766e_0,Woodland,3,50564208,766000,1568000,1780000,954000,764000,123,-242,-287,-101,420,614,444,255,185,464,580,638,268,580,15,221,1694000,531000,LUCAS_point,926000,431000,1,
0000000000000000767d_0,Woodland,3,50583988,652000,1740000,2148000,913000,707000,120,-148,-191,-99,220,601,483,322,122,634,725,771,694,700,33,245,2175000,461000,LUCAS_point,855000,373000,1,
0000000000000000767e_0,Woodland,3,50584178,777000,1802500,2232000,982500,752000,86,-164,-207,-119,285,712,522,386,162,555,686,744,410,687,27,343,2048500,527500,LUCAS_point,893000,384000,1,
0000000000000000768f_0,Woodland,3,50604184,806000,1591000,1928000,1003000,793000,141,-236,-284,-144,425,589,440,282,115,467,506,602,252,505,39,300,1789000,610000,LUCAS_point,1045000,499000,1,
000000000000000076a0_0,Woodland,3,50644008,661500,1615500,1976500,911000,719500,76,-198,-235,-161,30,396,524,496,298,600,664,689,641,649,11,409,1964500,470500,LUCAS_point,949500,424000,1,
000000000000000076a1_0,Woodland,3,50644012,646500,1475500,1726000,919500,699500,79,-180,-215,-93,205,514,518,428,283,553,624,669,572,629,35,370,1718000,454000,LUCAS_point,807500,396000,1,
000000000000000076a2_0,Woodland,3,50644182,820500,1530500,1805500,989000,767000,126,-243,-277,-155,459,623,457,282,180,481,542,576,282,538,10,297,1776000,558500,LUCAS_point,1043000,502500,1,
000000000000000076ac_0,Woodland,3,50664188,757000,1594000,1935000,947000,741000,74,-132,-156,-91,309,532,521,416,166,545,589,635,416,587,122,402,1804000,508000,LUCAS_point,817000,407000,1,
000000000000000076b7_0,Woodland,3,50684188,706500,1402000,1613000,952500,751000,113,-140,-183,-7,406,613,399,295,121,441,503,553,265,503,33,296,1527500,542500,LUCAS_point,752500,368500,1,
000000000000000076b8_0,Woodland,3,50684192,793000,1453000,1673000,994000,773000,117,-164,-222,-40,393,614,391,319,211,437,537,555,422,521,28,311,1637000,549500,LUCAS_point,826500,403000,1,
000000000000000076c0_0,Woodland,3,50704188,741000,1590000,1936000,948000,760000,82,-204,-243,-135,185,587,521,431,232,542,640,689,512,634,23,458,2074000,511000,LUCAS_point,980000,450000,1,
000000000000000076c1_0,Woodland,3,50704190,745500,1625500,1961500,957000,755500,106,-186,-222,-89,150,439,474,433,271,553,639,687,506,639,23,441,2040500,496500,LUCAS_point,907000,431500,1,
000000000000000076c2_0,Woodland,3,50704210,708000,1466500,1680500,979000,747500,102,-150,-191,-1,414,588,448,338,132,471,574,642,281,611,15,339,1570000,480500,LUCAS_point,715000,346500,1,
000000000000000076c3_0,Woodland,3,50704216,728500,1773000,2076000,918500,736000,77,-136,-169,-21,369,621,511,417,107,604,714,768,574,715,27,388,2158000,475000,LUCAS_point,801500,305500,1,
000000000000000076c9_0,Woodland,3,50724232,675000,1364500,1562000,940000,725000,146,-88,-151,5,343,677,468,359,189,486,558,589,482,564,22,323,1590500,500000,LUCAS_point,707000,347000,1,
000000000000000076d3_0,Woodland,3,50744242,817000,1808000,2032000,962000,778000,94,-238,-267,-166,247,421,464,368,234,541,700,736,666,714,40,354,2232000,549000,LUCAS_point,1008000,443000,1,
000000000000000076d9_0,Woodland,3,50764160,666000,1373000,1608000,941000,733000,83,-128,-189,-22,357,607,489,333,84,505,593,630,343,594,28,298,1641000,485000,LUCAS_point,741000,350000,1,
000000000000000076da_0,Woodland,3,50764208,661000,1345000,1595000,921000,730000,87,-70,-132,36,293,569,464,400,166,494,591,661,431,614,20,400,1644000,487000,LUCAS_point,697000,306000,1,
000000000000000076db_0,Woodland,3,50764222,770500,1536000,1793000,951000,747500,107,-198,-235,-116,398,589,409,345,228,499,608,640,454,618,18,309,1801500,511500,LUCAS_point,891500,409500,1,
000000000000000076e5_0,Woodland,3,50784190,638000,1413000,1606000,942000,703000,79,-128,-180,122,451,559,488,320,177,469,593,657,322,601,41,314,1533000,453000,LUCAS_point,657000,309000,1,
000000000000000076ee_0,Woodland,3,50804220,624000,1252000,1481000,904000,697000,124,-94,-123,35,379,573,412,329,128,455,548,604,417,570,43,316,1431000,449000,LUCAS_point,623000,306000,1,
000000000000000076ef_0,Woodland,3,50804234,731500,1641000,1934500,994000,736000,137,-220,-245,-54,382,560,386,314,182,439,600,671,414,617,26,321,1904500,523000,LUCAS_point,827000,384500,1,
000000000000000076f6_0,Woodland,3,50824234,686000,1610000,1923000,1008000,767000,99,-157,-198,-41,336,566,462,353,287,492,618,672,487,630,21,317,1855000,514000,LUCAS_point,731000,334000,1,
000000000000000076fb_0,Woodland,3,50844180,763500,1630500,1959000,943500,753000,128,-230,-285,-128,340,698,425,304,134,503,577,629,467,576,24,238,1872000,518000,LUCAS_point,971000,440500,1,
0000000000000000770c_0,Woodland,3,50884174,653000,1467000,1745000,945000,686333,75,-145,-206,-63,330,560,425,271,100,439,616,660,371,615,46,261,1638667,439500,LUCAS_point,763000,334000,1,
0000000000000000770d_0,Woodland,3,50884192,713000,1734000,2182000,940000,736000,67,-119,-167,-29,262,441,581,497,283,599,671,707,538,677,31,499,2233000,501000,LUCAS_point,760000,320000,1,
0000000000000000770e_0,Woodland,3,50884242,639000,1362000,1587000,962000,716000,94,-35,-90,127,474,670,433,282,153,457,611,689,371,644,21,167,1475000,484000,LUCAS_point,603000,261000,1,
00000000000000007718_0,Woodland,3,50904190,715500,1571000,1794333,929500,704000,77,-148,-203,-60,351,532,497,312,172,503,657,742,386,671,14,269,1752000,465000,LUCAS_point,829500,369000,1,
00000000000000007719_0,Woodland,3,50904244,687000,1313000,1559500,962500,703000,96,-136,-171,19,370,539,417,337,219,459,541,612,376,585,34,307,1475000,477500,LUCAS_point,696500,324500,1,
0000000000000000772f_0,Woodland,3,50964218,770000,1453500,1739000,946000,724000,108,-214,-285,-77,448,581,466,309,175,486,560,607,399,560,18,269,1598000,492500,LUCAS_point,788000,405500,1,
0000000000000000773c_0,Woodland,3,50984196,691500,1625500,1961000,908000,723333,65,-140,-170,-58,361,580,545,387,190,574,722,764,470,726,24,301,1928500,458750,LUCAS_point,722000,313500,1,
00000000000000007740_0,Woodland,3,51004190,733500,1720000,2043333,928000,716000,73,-190,-223,-104,372,538,517,373,216,539,671,713,463,673,17,346,2039250,475500,LUCAS_point,856000,373500,1,
00000000000000007741_0,Woodland,3,51004196,701500,1648000,1958000,915500,706667,90,-76,-115,6,325,664,573,428,118,586,676,738,578,684,12,322,2025500,457000,LUCAS_point,662000,273000,1,
0000000000000000774b_0,Woodland,3,51024052,821500,2148000,2604000,971000,778500,125,-306,-340,-262,100,426,386,344,158,632,736,784,421,737,16,201,2561500,532000,LUCAS_point,1275500,534500,1,
0000000000000000774c_0,Woodland,3,51024188,653500,1334000,1524000,923000,692667,72,-73,-142,50,389,672,491,310,172,515,596,665,501,605,16,206,1426000,459000,LUCAS_point,610000,273333,1,
0000000000000000774d_0,Woodland,3,51024200,692250,1467000,1658500,937750,721000,75,-178,-225,-76,249,481,449,368,262,524,667,704,425,674,17,294,1693333,489500,LUCAS_point,781750,366500,1,
00000000000000007762_0,Woodland,3,51084090,671000,1655000,2029000,925500,708000,101,-231,-263,-161,223,506,475,395,228,551,680,749,489,688,28,288,1963000,473000,LUCAS_point,944000,389500,1,
0000000000000000776c_0,Woodland,3,51104232,753500,1702000,1969000,950000,758000,79,-136,-182,-74,264,446,506,447,279,566,663,701,587,664,38,446,2149000,513000,LUCAS_point,843750,389333,1,
0000000000000000776f_0,Woodland,3,51124196,833333,1868667,2309000,933286,743429,100,-252,-300,-144,352,551,544,383,215,580,637,677,479,625,55,326,2165000,520429,LUCAS_point,1036500,462000,1,
00000000000000007770_0,Woodland,3,51124208,789667,2107667,2517500,968000,776000,130,-286,-335,-172,481,632,371,224,95,432,749,798,328,752,57,216,2504000,554667,LUCAS_point,1013000,434000,1,
00000000000000007771_0,Woodland,3,51124230,786250,1697000,1990000,995000,740500,103,-265,-305,-141,332,555,342,231,126,418,681,748,330,703,38,140,1633000,484667,LUCAS_point,953000,386500,1,
0000000000000000777b_0,Woodland,3,51144196,788000,1812000,2266333,920000,729000,85,-250,-287,-159,356,627,497,328,207,538,654,710,500,644,50,286,2141000,513833,LUCAS_point,1037167,467500,1,
0000000000000000777c_0,Woodland,3,51144214,743000,1526800,1828333,964000,745800,118,-206,-270,-96,435,587,441,337,204,486,569,608,344,571,16,337,1792667,532333,LUCAS_point,899000,412000,1,
0000000000000000777d_0,Woodland,3,51144216,736667,1556667,1809500,951500,727500,94,-162,-213,-64,357,557,456,345,201,498,643,692,305,652,19,307,1764000,489500,LUCAS_point,808000,376000,1,
00000000000000007789_0,Woodland,3,51184018,801500,2180000,2685000,972500,757500,169,-304,-338,-227,226,542,316,226,105,500,752,780,426,754,25,126,2513500,553000,LUCAS_point,1255000,514500,1,
0000000000000000778a_0,Woodland,3,51184252,632500,1295000,1510750,945667,710500,83,-37,-119,97,407,669,507,336,193,509,596,698,436,567,37,211,1467667,473000,LUCAS_point,533500,249500,1,
00000000000000007792_0,Woodland,3,51204080,703000,1444000,1698000,941500,751000,66,-75,-116,-6,352,518,527,438,159,541,606,662,517,645,11,340,1761000,473500,LUCAS_point,726500,344000,1,
00000000000000007793_0,Woodland,3,51204088,709500,1662500,1917500,915500,741500,81,-181,-229,-127,174,556,484,381,176,554,705,757,394,713,25,232,1969000,466500,LUCAS_point,910000,400000,1,
00000000000000007794_0,Woodland,3,51204226,583000,1265000,1479250,936000,680333,71,14,-18,140,452,665,503,317,190,506,600,664,417,602,21,210,1445500,439500,LUCAS_point,494000,225333,1,
0000000000000000779c_0,Woodland,3,51224210,808667,1791000,2212333,985000,777750,121,-229,-278,-143,390,533,342,256,108,470,658,724,451,661,20,256,2172250,584667,LUCAS_point,1029000,470000,1,
000000000000000077a4_0,Woodland,3,51244008,684000,1532000,1699000,906000,720000,120,-184,-253,-125,256,389,447,385,277,492,713,781,618,721,19,281,1705000,462000,LUCAS_point,902000,379000,1,
000000000000000077a5_0,Woodland,3,51244222,727083,1671500,1899500,948500,727500,74,-185,-238,-62,349,588,517,310,173,530,661,720,294,685,25,234,1720000,479000,LUCAS_point,825250,357500,1,
000000000000000077a6_0,Woodland,3,51244236,682000,1556500,1928000,947500,715500,65,-102,-147,-3,396,649,464,353,150,576,684,757,474,705,27,230,1823000,475200,LUCAS_point,712000,290667,1,
000000000000000077ae_0,Woodland,3,51264222,695600,1507500,1671000,937000,769250,112,-140,-213,-58,393,616,455,325,179,497,707,791,619,707,36,248,1693250,483333,LUCAS_point,781000,353500,1,
000000000000000077b1_0,Woodland,3,51284088,628000,1543000,1675000,900000,673000,72,-159,-198,-62,260,569,481,369,196,518,653,715,451,683,18,223,1564000,413000,LUCAS_point,746000,343000,1,
000000000000000077be_0,Woodland,3,51304016,824000,1970000,2404000,959000,772000,129,-255,-306,-204,269,539,370,320,166,495,694,737,477,725,22,202,2376000,588000,LUCAS_point,1098000,453000,1,
000000000000000077bf_0,Woodland,3,51304090,653000,1648000,1968000,884000,687000,77,-159,-174,-97,221,511,497,397,180,542,680,718,429,687,12,244,1798000,438000,LUCAS_point,841000,365000,1,
000000000000000077cb_0,Woodland,3,51344030,795000,1750000,2028000,977000,783000,142,-308,-366,-230,102,566,437,396,176,514,626,663,504,631,57,287,1974000,552000,LUCAS_point,1276000,552000,1,
000000000000000077da_0,Woodland,3,51404072,731500,1625000,1946500,953500,755000,98,-165,-183,-68,348,574,504,361,78,514,621,678,489,650,30,264,1776500,532500,LUCAS_point,747000,375000,1,
000000000000000077db_0,Woodland,3,51404080,756000,1648000,1796000,938000,736000,118,-221,-287,-120,296,548,479,329,202,508,632,692,517,678,29,275,1900000,512000,LUCAS_point,939000,426000,1,
000000000000000077e6_0,Woodland,3,51444080,687500,1626000,1839500,946000,730000,116,-278,-307,-172,295,434,440,311,167,466,667,749,391,711,44,212,1766500,469000,LUCAS_point,980500,448000,1,
000000000000000077ef_0,Woodland,3,51464054,749500,1604500,1816500,931500,736500,129,-263,-330,-207,363,511,418,315,194,449,676,742,308,722,49,186,1641500,476000,LUCAS_point,959500,489500,1,
000000000000000077f0_0,Woodland,3,51464068,836000,2212000,2602000,975000,778000,160,-303,-352,-251,100,453,336,279,142,470,751,808,330,765,30,170,2477000,597000,LUCAS_point,1276000,563000,1,
000000000000000077f1_0,Woodland,3,51464116,788000,1714500,2046000,933500,753000,100,-246,-286,-187,290,637,474,321,147,534,633,655,470,635,18,157,1999000,523500,LUCAS_point,1094000,495500,1,
000000000000000077f8_0,Woodland,3,51484098,731000,1612000,1976000,933000,746000,98,-219,-250,-173,81,467,487,395,212,499,626,657,451,645,22,168,1865000,520000,LUCAS_point,1008000,478000,1,
00000000000000007802_0,Woodland,3,51544072,832000,1772000,2031000,963000,794000,128,-241,-286,-194,187,438,433,363,221,464,626,678,522,664,16,233,2077000,577000,LUCAS_point,1137000,500500,1,
00000000000000007821_0,Woodland,3,51644032,770000,1480000,1799500,944000,746000,115,-276,-315,-191,234,690,493,320,174,506,554,593,507,574,16,174,1757500,544000,LUCAS_point,1015000,526500,1,
00000000000000007cb0_0,Woodland,3,51024246,826750,1661000,1951833,965000,779500,124,-241,-291,-86,467,611,439,319,218,464,573,647,493,600,12,319,1962000,599833,LUCAS_point,900333,425000,0.9978723404255319,
00000000000000007ebe_0,Bare land,6,51044022,2729000,2896000,3064000,2281000,2451000,297,-188,-243,-143,213,745,8,-11,-82,11,25,52,-3,13,3,15,2950000,2851000,LUCAS_point,2843000,2417000,0.3869721100971101,
00000000000000007f7a_0,Bare land,6,50924224,2271000,2527000,2698000,1634500,1726000,371,-321,-340,-247,603,837,82,51,-3,84,96,136,104,91,38,51,2567000,2148000,LUCAS_point,2540000,1972000,0.2643909848321613,
00000000000000007feb_0,Bare land,6,51064240,2086000,2234950,2400400,1821357,1830600,323,-185,-221,-146,441,754,33,25,-4,40,49,80,42,44,6,35,2272000,2142167,LUCAS_point,2192750,1943000,0.21067756566385176,
00000000000000008042_0,Bare land,6,50404194,2693500,3004000,3240000,1825000,1945000,365,-340,-364,-296,321,826,81,27,-20,89,111,138,59,106,8,21,3004000,2439000,LUCAS_point,3139500,2537000,0.16998643976115815,
0000000000000000809b_0,Bare land,6,51024250,1753000,2134167,2328500,1425000,1422400,376,-354,-386,-277,655,816,113,34,3,123,170,275,167,168,56,33,2189667,1618500,LUCAS_point,2270000,1710000,0.13712445797222367,
0000000000000000822b_0,Bare land,6,50684014,1282000,1923000,2245000,1257000,1185000,174,-227,-308,-128,239,799,147,68,-59,286,386,605,359,369,185,2,2241000,1087000,LUCAS_point,1411000,877000,0.03276935472057423,
00000000000000008270_0,Bare land,6,50564202,1061000,1684000,1934000,1155000,1005000,194,-254,-310,-146,312,772,293,217,99,330,385,408,329,348,54,124,2017000,945000,LUCAS_point,1333000,735000,0.023148469425666965,
0000000000000000827b_0,Bare land,6,50624200,1186000,2165000,2554000,1086000,956000,195,-426,-441,-327,516,734,428,109,46,512,616,671,516,621,86,78,2811000,798000,LUCAS_point,1849000,1185000,0.022154366101734522,
000000000000000082ac_0,Bare land,6,50944194,1246714,1828833,2136000,1161000,1040714,262,-409,-464,-302,532,792,309,87,26,327,385,467,434,351,37,69,2207500,1064222,LUCAS_point,1992000,1214000,0.016563044768369124,
000000000000000082e5_0,Bare land,6,50764192,930000,1489000,1790000,1118000,923000,214,-338,-370,-265,187,700,326,218,50,327,365,405,327,357,49,156,1718000,827000,LUCAS_point,1479000,838000,0.01042548802466723,
0000000000000000837e_0,Bare land,6,50284164,853000,1822000,2164000,1058000,878000,154,-236,-271,-198,241,658,205,131,4,382,563,655,285,587,134,65,2051000,701000,LUCAS_point,1245000,646000,0,
0000000000000000837f_0,Bare land,6,51144198,1065750,1683000,1938000,1075600,923800,193,-294,-324,-198,490,764,374,258,130,381,435,502,357,416,74,258,1970250,806333,LUCAS_point,1361000,804000,0,
0000000000000000912f_0,Water,7,50804240,362000,388000,397000,912000,591000,151,646,379,754,799,852,-42,-152,-228,-85,10,70,-181,-89,6,16,324000,411000,LUCAS_point,127000,87000,0.9978723404255319,
00000000000000009147_0,Water,7,51224240,338182,347933,344938,946200,653800,180,676,264,776,837,876,-98,-202,-266,-130,4,54,-240,-142,5,9,281357,404000,LUCAS_point,112125,80700,0.9972972972972973,
