system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009eb6_0,Artificial land,1,47961940,2012500,2423000,2649500,1574000,1580500,76,-352,-395,-322,-294,-188,157,83,58,119,150,202,119,84,80,136,2382000,1928000,LUCAS_point,3224000,2412500,0.9722069180862506,
00000000000000009fd5_0,Artificial land,1,48101696,1475500,1767500,1879667,1599000,1496000,100,-158,-266,-108,-57,321,51,20,-50,44,77,142,57,48,66,2,1808000,1605000,LUCAS_point,1947500,1468000,0.9507230292714164,
0000000000000000a2f1_0,Artificial land,1,47921698,2169200,2391000,2655000,1661000,1661333,76,-303,-334,-267,-232,-61,85,71,54,87,97,118,76,81,57,103,2488500,2108000,LUCAS_point,2932500,2324000,0.8998298302574619,
0000000000000000a679_0,Artificial land,1,47981936,1820000,2119500,2289500,1952000,1881500,38,-188,-218,-153,-107,-43,81,40,0,79,95,124,83,90,79,34,2346500,1950000,LUCAS_point,2556000,2041500,0.8387265766154418,
00000000000000007486_0,Woodland,3,48041938,677000,1494000,1882500,807000,641500,162,-347,-379,-277,-1,378,359,293,65,615,763,811,602,768,27,134,1878000,390000,LUCAS_point,1149000,471000,1,
00000000000000008194_0,Bare land,6,47681906,1374500,2197500,2566500,1617000,1554000,106,-56,-176,-3,40,107,83,81,-1,125,232,476,191,94,315,180,2111000,1481000,LUCAS_point,1565000,927500,0.06341701252187186,
0000000000000000832a_0,Bare land,6,48081900,657500,1026000,1210000,976333,694000,143,-236,-308,-101,269,475,371,212,88,313,370,484,256,366,24,143,1002000,495500,LUCAS_point,839500,459000,0.0038461538461538464,
00000000000000004143_0,Cropland,2,48061928,1111000,2552000,3044000,996000,932000,145,-404,-480,-353,-313,-128,680,538,389,639,709,767,654,662,24,540,3027000,661000,LUCAS_polygon,1921000,939000,NA,
0000000000000000fdb4_0,Cropland,2,47521918,1259000,2766500,3345500,1059500,962000,127,-393,-434,-359,-326,-299,707,568,406,647,702,724,638,449,91,703,3315500,716000,LUCAS_polygon,2065500,1049500,NA,
00000000000000010c91_0,Cropland,2,48041926,1258000,2821500,3278000,1027000,1003000,138,-408,-482,-369,-315,-171,711,553,235,637,689,754,609,583,114,617,3262000,691000,LUCAS_polygon,2167000,1124000,NA,
00000000000000003b26_0,Woodland,3,48081898,877000,1749333,2137000,1103000,894000,80,-262,-290,-223,-154,17,504,445,222,488,540,611,516,463,81,538,2180000,684667,LUCAS_polygon,1385000,773000,NA,
0000000000000000c6ef_0,Woodland,3,48101904,921750,1964500,2460500,910500,757000,142,-420,-463,-366,-175,737,601,508,-76,678,766,809,702,770,51,209,2623500,489333,LUCAS_polygon,1702000,819667,NA,
000000000000000048a1_0,Shrubland,4,47801902,1340000,2142000,2447000,1177500,1106000,63,-375,-410,-357,-327,-11,420,342,255,374,426,486,351,363,58,388,2399000,1042500,LUCAS_polygon,2367000,1458500,NA,
000000000000000026c3_0,Grassland,5,47481936,1225000,2353500,2843000,1138500,1109000,124,-357,-385,-309,-214,-75,488,432,304,492,583,654,624,506,81,374,3005000,903000,LUCAS_polygon,2090500,1110500,NA,
000000000000000030d0_0,Grassland,5,47981928,1028500,2116000,2485000,983000,855500,139,-398,-437,-376,-301,321,417,375,110,535,583,665,570,576,93,314,2307000,725500,LUCAS_polygon,1859500,951000,NA,
